N	4gram	Tiupa_Hudo	Dialekti
1	в то же время	11	14
2	одна и та же	1	8
3	и в то же	2	6
4	имеет ничего общего с	1	5
5	не имеет ничего общего	1	5
6	не в том что	1	5
7	с этой точки зрения	1	4
8	в связи с этим	2	4
9	и то и другое	1	4
10	с одной стороны и	1	4
11	и в этом смысле	1	4
12	несмотря на то что	1	3
13	на самом же деле	1	3
14	одних и тех же	2	3
15	но в то же	3	3
16	во что бы то	1	2
17	не потому что он	1	2
18	мы уже знаем что	1	2
19	что бы то ни	1	2
20	дело в том что	1	2
21	ни в чем не	1	2
22	бы то ни стало	1	2
23	так же как и	1	2
24	но тем не менее	2	1
25	нет ничего удивительного в	1	1
26	в том что сам	1	1
27	и т д он	1	1
28	ни то ни другое	1	1
29	в том смысле как	1	1
30	не мешает ему быть	1	1
31	все более и более	1	1
32	в том что в	1	1
33	удивительного в том что	1	1
34	на то что я	1	1
35	содержит в себе момент	1	1
36	можно было бы дать	1	1
37	в такой же мере	2	1
38	мы еще ничего не	1	1
39	заключается в том что	1	1
40	уходит своими корнями в	1	1
41	то же время нельзя	1	1
42	если бы не было	1	1
43	точно так же как	1	1
44	в том случае если	2	1
45	в том что она	1	1
46	и о том что	2	1
47	ничего удивительного в том	1	1
48	отличаются друг от друга	1	1
49	в них нет ничего	1	1
50	в этом и заключается	1	1
51	с самого начала есть	1	1
52	о том что в	3	1
53	не чем иным как	1	1
54	а между тем в	1	1
55	нас и т д	1	1
56	в том что он	1	1
57	лишь в том случае	1	1
58	только для того чтобы	1	1
59	приводит к тому что	2	1
60	и начинает говорить о	1	1
61	и в этом отношении	1	1
