N	2gram	Ircho_Kome	DiskursI
1	в качестве	8	72
2	а не	1	60
3	может быть	16	56
4	не только	12	49
5	и в	40	49
6	как и	12	47
7	при этом	5	46
8	и не	19	44
9	в том	19	44
10	представляет собой	1	41
11	то есть	1	41
12	том что	19	40
13	в этом	9	38
14	в себе	3	37
15	состоит в	1	37
16	в частности	7	36
17	но и	14	35
18	но не	3	31
19	отличие от	4	28
20	со стороны	3	28
21	но в	6	28
22	так и	17	28
23	в отличие	3	27
24	не может	3	27
25	по своей	2	26
26	как в	8	25
27	такого рода	6	24
28	отнюдь не	2	23
29	еще не	7	23
30	в рамках	3	23
31	а также	5	20
32	в своей	3	19
33	все же	7	19
34	в нем	8	19
35	прежде всего	8	19
36	далеко не	1	18
37	в основе	1	18
38	то же	7	17
39	в данном	1	17
40	с другой	7	17
41	в мире	3	17
42	по отношению	5	17
43	отношению к	5	17
44	точки зрения	7	16
45	только в	6	16
46	о том	12	15
47	то что	8	15
48	роль в	2	15
49	в его	8	15
50	не менее	6	14
51	одной стороны	5	14
52	с одной	5	14
53	не в	8	14
54	не является	2	14
55	это не	2	14
56	или иной	1	14
57	как бы	3	13
58	для него	1	13
59	в целом	6	13
60	в своих	2	12
61	ведет к	1	12
62	в своем	6	12
63	того же	4	12
64	и на	9	12
65	и все	4	12
66	данном случае	1	12
67	как правило	5	11
68	не было	1	11
69	столь же	9	11
70	что в	12	11
71	с его	4	11
72	и как	3	11
73	в тексте	1	11
74	не столько	1	10
75	той или	1	10
76	а с	1	10
77	для себя	2	10
78	а в	9	10
79	же время	5	10
80	также и	1	10
81	высказывания в	1	10
82	в них	7	9
83	себя в	2	9
84	внимание на	1	9
85	между тем	9	9
86	в силу	4	9
87	в то	14	9
88	сводится к	1	9
89	еще в	9	9
90	тем самым	1	9
91	в этих	5	8
92	и даже	5	8
93	в соответствии	2	8
94	к тому	15	8
95	в котором	6	8
96	в противоположность	2	8
97	в одном	10	8
98	из них	16	8
99	хотя и	6	8
100	в себя	3	8
101	он не	5	8
102	если в	3	8
103	не на	1	8
104	не следует	2	8
105	жизни в	1	8
106	совпадает с	1	8
107	потому что	8	8
108	соответствии с	2	8
109	этом отношении	3	8
110	человека в	2	8
111	как уже	1	8
112	не с	1	8
113	и о	3	8
114	о чем	2	7
115	другой стороны	6	7
116	на сцене	5	7
117	таким образом	13	7
118	в русской	1	7
119	одной из	6	7
120	что и	10	7
121	тому же	14	7
122	его в	6	7
123	к этому	8	7
124	в этой	9	7
125	могут быть	3	7
126	например в	1	7
127	ни в	9	7
128	приводит к	1	7
129	перед нами	1	7
130	той же	3	7
131	но это	2	7
132	и для	4	7
133	нового времени	7	7
134	в пределах	1	7
135	определена как	1	7
136	в ходе	1	7
137	и ее	5	7
138	и его	17	7
139	мира в	5	7
140	одно из	1	6
141	именно в	5	6
142	времени в	2	6
143	в контексте	1	6
144	одна из	4	6
145	то в	1	6
146	в принципе	3	6
147	сказать и	1	6
148	в ее	2	6
149	не знает	1	6
150	во всех	4	6
151	героя и	1	6
152	однако в	4	6
153	в особенности	1	6
154	в сущности	3	6
155	и одновременно	3	6
156	что он	11	6
157	к его	3	6
158	в которых	1	6
159	в истории	10	6
160	что же	2	6
161	в трагедии	3	6
162	в эпоху	1	6
163	времени и	2	6
164	в одной	1	6
165	тому как	1	6
166	отношение к	3	6
167	одного из	7	6
168	в период	5	6
169	в той	2	5
170	можно говорить	1	5
171	зрения на	2	5
172	исходя из	1	5
173	может служить	2	5
174	в виду	2	5
175	из двух	2	5
176	по своим	1	5
177	к своим	1	5
178	на мой	1	5
179	в первую	5	5
180	было в	1	5
181	в другом	5	5
182	не всегда	2	5
183	но они	2	5
184	говорить о	3	5
185	значительной степени	1	5
186	не вполне	2	5
187	сказать что	1	5
188	на протяжении	14	5
189	к себе	1	5
190	несмотря на	5	5
191	проявляется в	1	5
192	как раз	4	5
193	для своего	2	5
194	же касается	1	5
195	мой взгляд	1	5
196	на этом	3	5
197	но при	1	5
198	следует признать	2	5
199	с ее	2	5
200	тем что	5	5
201	во второй	4	5
202	первую очередь	6	5
203	один из	9	5
204	жанра и	1	5
205	подобно тому	1	5
206	за пределы	2	5
207	претендует на	1	5
208	в свою	2	5
209	в значительной	1	5
210	принадлежит к	2	5
211	к той	1	5
212	ничего не	4	5
213	того что	1	5
214	в литературе	2	5
215	того как	3	5
216	о нем	1	5
217	здесь в	4	5
218	в ней	2	5
219	мира и	1	5
220	в их	6	5
221	и потому	1	5
222	из этих	5	5
223	что касается	5	5
224	же самое	2	5
225	как будто	3	5
226	не к	2	5
227	в самом	5	4
228	и к	2	4
229	по свидетельству	3	4
230	общения и	1	4
231	в году	3	4
232	в результате	5	4
233	а напротив	1	4
234	в первом	2	4
235	ни одна	2	4
236	или на	2	4
237	в жизни	1	4
238	в речах	1	4
239	отличается от	1	4
240	во всяком	4	4
241	восходит к	4	4
242	из жизни	1	4
243	между двумя	1	4
244	следует отнести	1	4
245	только на	2	4
246	а сам	2	4
247	и представляет	1	4
248	что они	4	4
249	тем не	3	4
250	аналогии с	2	4
251	к жизни	1	4
252	связи с	3	4
253	не о	1	4
254	будто бы	2	4
255	одним из	3	4
256	что не	1	4
257	одном из	4	4
258	по себе	2	4
259	в исторической	1	4
260	и это	3	4
261	частной жизни	1	4
262	в наше	1	4
263	и весьма	1	4
264	и тем	2	4
265	как это	7	4
266	хотя в	1	4
267	это в	1	4
268	или иного	1	4
269	наше время	2	4
270	однако и	1	4
271	опирается на	1	4
272	с ним	1	4
