N	3gram	Berdyaev_O	Narrotol
1	в том что	1	18
2	о том что	1	9
3	не может быть	2	8
4	в этом отношении	1	8
5	для того чтобы	3	5
6	но и в	2	5
7	и все же	1	5
8	во всяком случае	1	4
9	заключает в себе	1	3
10	в самом деле	1	3
11	и не может	1	3
12	не было и	1	3
13	на то что	1	3
14	по природе своей	1	3
15	так и не	1	3
16	и то что	1	3
17	и не в	1	2
18	бы и не	1	2
19	не в том	1	2
20	что у него	2	2
21	хотя и не	1	2
22	в человеке в	3	2
23	которым можно было	1	2
24	он и не	1	2
25	как бы в	1	2
26	что это за	1	2
27	в самом начале	1	1
28	и когда он	1	1
29	о том как	1	1
30	ни с какой	1	1
31	ничего не делает	1	1
32	по сравнению с	1	1
33	всех действующих лиц	1	1
34	что есть на	1	1
35	и он не	1	1
36	ни у кого	2	1
37	был для него	1	1
38	ни с чем	1	1
39	потому что в	1	1
40	самим собой в	1	1
41	сам по себе	1	1
42	и все что	1	1
43	друг с другом	1	1
44	в том случае	1	1
45	сказать про него	1	1
46	в его жизни	1	1
47	с его собственным	1	1
48	в строгом смысле	1	1
49	бросается в глаза	1	1
50	само по себе	1	1
51	и в этот	1	1
52	было для него	1	1
53	но он и	1	1
54	том что в	1	1
55	жизни а не	1	1
56	преступление и наказание	1	1
57	а не в	2	1
58	а не только	1	1
59	никогда не было	2	1
60	и богаче чем	1	1
61	и в самом	1	1
62	как и в	1	1
63	и был для	1	1
64	о бессмертии души	1	1
65	на людей и	1	1
66	не растворяется в	1	1
67	все та же	1	1
68	как и все	2	1
69	я верю в	1	1
70	изнутри а не	1	1
71	том случае если	1	1
72	вместо того чтобы	1	1
73	искать ключ к	1	1
74	должен был бы	1	1
75	все что было	1	1
