N	3gram	Savitsky_E	EvropaiC
1	в том что	6	16
2	друг с другом	3	9
3	с точки зрения	16	8
4	более или менее	1	8
5	на то что	2	7
6	для того чтобы	5	7
7	друг от друга	2	6
8	по сравнению с	2	5
9	к тому же	1	5
10	к европейской культуре	1	4
11	не может быть	2	4
12	народов и культур	1	4
13	с другой стороны	2	4
14	в своем развитии	1	4
15	о которых мы	1	4
16	в том случае	1	4
17	том случае если	1	4
18	с течением времени	2	4
19	может быть и	1	4
20	заключается в том	2	3
21	в том же	1	3
22	одного и того	1	3
23	так же как	5	3
24	то ни было	4	3
25	в данном случае	2	3
26	и того же	1	3
27	не может не	1	3
28	в связи с	1	3
29	бы то ни	4	3
30	ли объективно доказать	1	2
31	в свою очередь	2	2
32	рано или поздно	2	2
33	отрицательных последствий европеизации	1	2
34	так и для	1	2
35	культур и народов	3	2
36	во всяком случае	3	2
37	европейцев над дикарями	1	2
38	равноценности и качественной	7	2
39	во всех этих	1	2
40	несмотря на то	1	2
41	не более как	1	2
42	заключает в себе	3	2
43	что же касается	1	2
44	можно ли объективно	1	2
45	далеко не в	1	2
46	в то время	1	2
47	культур ныне существующих	1	2
48	всех прочих культур	1	2
49	в то же	15	2
50	и качественной несоизмеримости	6	2
51	ныне существующих или	1	2
52	именно потому что	1	2
53	большего или меньшего	1	2
54	совершеннее всех прочих	1	2
55	прочих культур ныне	1	2
56	доказать что культура	1	2
57	многие из них	1	2
58	и культур по	1	2
59	с одной стороны	8	2
60	то же время	14	2
61	тех народов которые	2	2
62	как бы то	1	2
63	но так как	1	2
64	объективно доказать что	1	2
65	друг к другу	1	2
66	бы обильно иллюстрировать	1	1
67	военного снаряжения и	2	1
68	мы видели что	1	1
69	того что прежде	1	1
70	племен которые создали	1	1
71	всех культур и	3	1
72	народов земного шара	2	1
73	были разрушены именно	1	1
74	постоянно приходится признавать	1	1
75	славян китайцев индусов	1	1
76	менее культурных чем	1	1
77	мы говорили в	1	1
78	можно представить себе	1	1
79	были расположены в	1	1
80	насколько поклонение грубой	1	1
81	и наивность этого	1	1
82	долю народов менее	1	1
83	то есть в	1	1
84	совершенства новый принцип	1	1
85	самих себя как	1	1
86	развитии представителей человеческого	1	1
87	о котором мы	1	1
88	сравнению с культурой	1	1
89	выпадает на долю	2	1
90	по степеням совершенства	1	1
91	это должно быть	1	1
92	снаряжения и механические	1	1
93	безусловным благ европейской	1	1
94	благ европейской цивилизации	3	1
95	культуры между тем	1	1
96	фактически побеждают дикарей	1	1
97	твердо помнить что	1	1
98	норма права и	1	1
99	что прежде казалось	1	1
100	та же культура	1	1
101	европейской культуры вполне	1	1
102	на своем пути	1	1
103	переворота является сознание	1	1
104	от гипноза благ	1	1
105	все другие народы	2	1
106	истории и русской	1	1
107	воспринимании европейской культуры	1	1
108	области культуры он	1	1
109	вопрос можно ли	1	1
110	всегда и твердо	1	1
111	та или иная	1	1
112	вопрос мы должны	1	1
113	культуры не будет	1	1
114	представителей человеческого рода	1	1
115	славян германцам или	1	1
116	европа и человечество	5	1
117	сознание относительности того	1	1
118	очищать ее от	1	1
119	и различие между	1	1
120	часто выпадает на	1	1
121	быть проведено с	1	1
122	характера тех племен	1	1
123	этого переворота является	1	1
124	в сознании каждого	1	1
125	и все другие	2	1
126	по сие время	1	1
127	степеням совершенства новый	1	1
128	признаваемые европейской наукой	1	1
129	или туранцев арийцам	1	1
130	и техническое приспособление	1	1
131	вполне могут очищать	1	1
132	наивность этого доказательства	1	1
133	когда дело идет	1	1
134	культур по признаку	1	1
135	не есть ли	1	1
136	на вопрос можно	1	1
137	приходится признавать что	1	1
138	другие народы мира	1	1
139	этой точки зрения	5	1
140	еще далеко не	1	1
141	сущностью этого переворота	1	1
142	свой народ и	3	1
143	с этой точки	5	1
144	более близкие к	1	1
145	это может быть	1	1
146	тем меньше чем	1	1
147	всех элементах этой	1	1
148	вместо лестницы мы	1	1
149	в том числе	1	1
150	земного шара и	2	1
151	есть ли это	1	1
152	только в том	2	1
153	во внимание что	1	1
154	высшее и совершенное	2	1
155	или вовсе не	1	1
156	и русской действительности	1	1
157	и норма права	1	1
158	и для того	1	1
159	казалось безусловным благ	1	1
160	что победа весьма	1	1
161	в области культуры	1	1
162	живет и по	1	1
163	надо всегда и	1	1
164	чтобы ответить на	1	1
165	независимо от того	1	1
166	своем развитии представителей	1	1
167	истинного решения проблемы	2	1
168	и что истинное	1	1
169	абсолютно высшее и	2	1
170	хотя бы с	1	1
171	культуры нечто абсолютно	1	1
172	и по сие	1	1
173	должна быть ясна	1	1
174	ее от эгоцентризма	1	1
175	говоря уже о	1	1
176	не говоря уже	2	1
177	представителей данного народа	2	1
178	ясна для всякого	1	1
179	прежде казалось безусловным	1	1
180	мира европа и	1	1
181	не будет уже	1	1
182	во многих отношениях	1	1
183	побеждаемые ими туземцы	1	1
184	же темпе как	1	1
185	грубость и наивность	1	1
186	хотя и не	1	1
187	сильнее чем в	1	1
188	дают истинного решения	2	1
189	есть только одно	1	1
190	проблемы и что	2	1
191	лучше и совершеннее	1	1
192	из русской истории	1	1
193	мы получаем горизонтальную	1	1
194	приспособления для передвижения	1	1
195	тех племен которые	1	1
196	чем побеждаемые ими	1	1
197	для удовлетворения своих	1	1
198	и наиболее распространенное	1	1
199	будет тем меньше	1	1
200	культуры и в	1	1
201	или частью представителей	2	1
202	народов менее культурных	1	1
203	весьма часто выпадает	1	1
204	и механические приспособления	1	1
205	все признаваемые европейской	1	1
206	каких бы то	2	1
207	негров и других	1	1
208	между отцами и	1	1
209	с культурой дикарей	1	1
210	того что в	2	1
211	горизонтальную плоскость вместо	1	1
212	и с точки	1	1
213	всеми или частью	2	1
214	дело в том	1	1
215	в области техники	1	1
216	победы европейцев над	2	1
217	смысле этого слова	1	1
218	признавать что победа	1	1
219	того чтобы ответить	1	1
220	в лучшем случае	1	1
221	при воспринимании европейской	1	1
222	как мы видели	2	1
223	и твердо помнить	1	1
224	на самих себя	1	1
225	и сейчас в	1	1
