N	3gram	Potebnia_M	Sotsiolo
1	по отношению к	10	2
2	в том что	22	2
3	не в том	6	2
4	и должны служить	1	1
5	конечно не в	1	1
6	в то же	8	1
7	друг от друга	2	1
8	как бы он	1	1
9	а между тем	6	1
10	сказать и о	1	1
11	дает нам право	1	1
12	с одной стороны	4	1
13	быть не только	1	1
14	то же самое	3	1
15	отношению к субъекту	1	1
16	это дает нам	1	1
17	то что в	2	1
18	это зависит от	1	1
19	по крайней мере	8	1
20	то же время	8	1
21	в противном случае	1	1
22	только то что	1	1
23	бы он ни	1	1
24	что он говорит	1	1
25	сама по себе	3	1
26	и стало быть	2	1
27	во всяком случае	3	1
28	а в том	5	1
29	том что это	1	1
30	в сущности есть	1	1
31	и в этом	1	1
32	в том и	1	1
33	между ними в	1	1
34	а тем более	2	1
35	именно в том	3	1
36	в настоящее время	1	1
37	не было бы	2	1
