N	3gram	Bakhtin_Pr	Stilisti
1	в то же	3	9
2	для того чтобы	2	7
3	то же время	3	7
4	того или иного	2	5
5	с точки зрения	6	5
6	в свою очередь	1	4
7	той или иной	2	4
8	то или иное	2	4
9	то же самое	2	4
10	но и в	2	3
11	во всех своих	2	3
12	как мы уже	1	3
13	на самом деле	3	3
14	не только в	2	3
15	и тем самым	2	3
16	которое может быть	1	3
17	что у нас	1	2
18	в самом деле	3	2
19	есть не что	1	2
20	к миру и	2	2
21	все то что	3	2
22	приходится иметь дело	2	2
23	художественное творчество и	3	2
24	к чему не	1	2
25	не может быть	11	2
26	по отношению к	19	2
27	можно сказать что	2	2
28	и как бы	1	2
29	не было бы	1	2
30	не что иное	1	2
31	смысле этого слова	1	2
32	но в то	1	2
33	и в то	2	2
34	равно как и	1	2
35	как мы увидим	3	2
36	в связи с	1	2
37	к тому что	1	2
38	что иное как	1	2
39	ни к чему	1	2
40	в этом отношении	2	2
41	в значительной степени	1	2
42	и в области	2	2
43	или хотя бы	1	2
44	отношению к действительности	2	1
45	в нашем случае	1	1
46	в том что	3	1
47	в том и	1	1
48	а в этом	1	1
49	и в романе	1	1
50	миру и к	1	1
51	из всего сказанного	1	1
52	будем в дальнейшем	1	1
53	это как бы	1	1
54	в конечном счете	4	1
55	вследствие того что	1	1
56	в себе все	1	1
57	и для выражения	1	1
58	в большинстве случаев	5	1
59	и завершение и	1	1
60	ни в какой	1	1
61	точка зрения не	1	1
62	хотя бы и	1	1
63	как и в	1	1
64	уже не к	1	1
65	не только его	1	1
66	и во всех	2	1
67	тем не менее	3	1
68	художественного творчества и	3	1
69	здесь же мы	1	1
70	в одном и	1	1
71	в ней как	1	1
72	по сравнению с	1	1
73	таким образом в	1	1
74	на этот вопрос	1	1
75	находит свое отражение	1	1
76	это возможно лишь	1	1
77	не говоря уже	1	1
78	как это ни	1	1
79	всего сказанного нами	1	1
80	до сих пор	1	1
81	же мы должны	1	1
82	с помощью которого	1	1
83	иметь в виду	1	1
84	о том какое	1	1
85	к личности говорящего	1	1
86	ни от чего	1	1
87	в дальнейшем называть	1	1
88	какое значение имеет	1	1
89	является как бы	1	1
90	и от всех	1	1
91	как мы это	1	1
92	мы будем называть	1	1
93	о чем говорится	1	1
94	самом широком смысле	1	1
95	по себе не	1	1
96	лишь там где	2	1
97	может обойтись без	1	1
98	и как мы	1	1
99	хотя бы в	1	1
100	не может обойтись	1	1
101	в высшей степени	5	1
102	хотя бы только	1	1
103	к которому он	1	1
104	та или иная	1	1
105	не нуждается в	1	1
106	но каким образом	1	1
107	войти в историю	1	1
108	и в таких	1	1
109	в нем и	1	1
110	с другой стороны	4	1
111	то есть к	1	1
112	вопрос о том	1	1
113	в самом широком	1	1
114	но как только	1	1
115	в виду что	1	1
116	можно было бы	3	1
117	значение имеет язык	1	1
118	и не может	2	1
119	и в этом	1	1
120	до того времени	1	1
121	только в этих	1	1
122	отнюдь не является	1	1
