N	3gram	Bakhtin_KF	PoTuStor
1	с точки зрения	10	6
2	на самом деле	3	4
3	до сих пор	1	3
4	не может быть	11	3
5	в большинстве случаев	1	3
6	в чем не	4	3
7	в этом смысле	3	3
8	во всяком случае	1	3
9	ни в чем	4	3
10	и пр и	1	3
11	в конечном счете	1	2
12	в нем нет	1	2
13	и может быть	2	2
14	но отнюдь не	1	2
15	во всех его	1	2
16	и только для	1	2
17	в его целом	10	2
18	связанных с ними	1	2
19	и в этом	3	2
20	со всех сторон	1	1
21	он может быть	2	1
22	быть не может	1	1
23	и на своем	1	1
24	в том что	2	1
25	и связанных с	1	1
26	не имеет места	1	1
27	своем месте и	1	1
28	со всем его	1	1
29	мы не можем	1	1
30	и та же	2	1
31	дело в том	1	1
32	оно ни было	1	1
33	той или иной	2	1
34	изнутри ее самой	1	1
35	вместе с тем	1	1
36	в него т.е	1	1
37	моей жизни и	1	1
38	и говорить о	1	1
39	в основных чертах	1	1
40	том что мы	1	1
41	ничего общего не	2	1
42	в единую ткань	1	1
43	в этот момент	1	1
44	в том смысле	1	1
45	конечно не может	1	1
46	как это было	1	1
47	в себя и	1	1
48	он не дает	1	1
49	не может иметь	1	1
50	все что есть	1	1
51	то ни было	2	1
52	имеем в виду	2	1
53	с ним и	1	1
54	и того же	1	1
55	одна и та	2	1
56	на своем месте	2	1
57	то же самое	1	1
58	она может быть	1	1
59	ориентируется в нем	1	1
60	для того чтобы	1	1
61	что может быть	1	1
62	сводится к следующему	1	1
63	в нем и	3	1
64	то что я	2	1
65	на этом пути	1	1
66	форму и содержание	1	1
67	и ни в	2	1
68	бы оно ни	1	1
69	это и есть	1	1
70	его жизни в	1	1
71	вытекает из предшествующего	1	1
72	бы то ни	2	1
73	и входит в	1	1
74	и теряет свою	1	1
75	зависит от того	1	1
76	свой смысл и	1	1
77	одного и того	1	1
78	биологический и психологический	1	1
79	уже не может	2	1
80	может быть только	7	1
