N	2gram	Propp_Isto	VerxiiNi
1	и в	43	26
2	таким образом	15	22
3	с тем	3	18
4	в этом	25	15
5	вместе с	12	15
6	точки зрения	3	13
7	как бы	5	12
8	в том	13	11
9	не только	28	10
10	и с	10	10
11	может быть	22	10
12	из этих	5	10
13	после смерти	2	10
14	что в	29	9
15	так как	13	9
16	связи с	9	9
17	но и	24	9
18	в области	1	9
19	и у	6	8
20	и не	16	8
21	как на	1	8
22	главным образом	3	8
23	с другой	10	8
24	но не	10	8
25	с одной	2	7
26	но все	5	7
27	в эпоху	1	7
28	том что	12	7
29	потому что	8	7
30	одной стороны	2	7
31	то что	20	7
32	но в	15	7
33	из них	7	7
34	к нему	12	7
35	так и	6	6
36	несмотря на	1	6
37	все это	4	6
38	что и	17	6
39	представление о	3	6
40	все эти	8	6
41	все же	13	6
42	к тому	9	6
43	о том	4	6
44	во всяком	2	6
45	и потому	2	6
46	всяком случае	2	6
47	мы должны	9	6
48	с точки	1	6
49	в себе	2	6
50	и к	4	5
51	до сих	7	5
52	том числе	1	5
53	в его	7	5
54	к жизни	2	5
55	тому же	4	5
56	в мире	1	5
57	не имеет	3	5
58	с другом	2	5
59	сих пор	7	5
60	так же	16	5
61	отношение к	4	5
62	одной из	1	5
63	тем чтобы	1	5
64	образом в	2	5
65	в силу	2	5
66	богов и	1	5
67	друг с	2	5
68	а не	13	5
69	и для	3	5
70	никогда не	9	5
71	при жизни	1	4
72	в самом	1	4
73	попадает в	14	4
74	ничем не	2	4
75	и по	6	4
76	то же	11	4
77	боги и	2	4
78	из которых	1	4
79	только в	8	4
80	в этих	18	4
81	должен был	5	4
82	с другими	1	4
83	целый ряд	3	4
84	что он	17	4
85	и вместе	1	4
86	в которых	7	4
87	к своим	1	4
88	в котором	5	4
89	в течение	6	4
90	он не	11	4
91	и что	6	4
92	далеко не	3	4
93	а в	13	4
94	очень мало	1	4
95	в этой	7	4
96	и от	3	4
97	не может	8	4
98	на этот	1	4
99	в виде	2	4
100	в то	2	4
101	и только	6	4
102	в нем	11	4
103	во время	8	4
104	уже с	3	3
105	к сожалению	1	3
106	и другие	6	3
107	с этой	3	3
108	и при	2	3
109	при этом	4	3
110	из всех	1	3
111	что это	4	3
112	тем не	6	3
113	и если	3	3
114	в качестве	4	3
115	так или	1	3
116	и даже	4	3
117	если бы	7	3
118	в которой	1	3
119	в народных	1	3
120	или иначе	1	3
121	с ней	6	3
122	на нее	4	3
123	с самого	1	3
124	в таком	1	3
125	случае не	1	3
126	в связи	5	3
127	ясно что	2	3
128	и как	6	3
129	как о	1	3
130	же как	8	3
131	но по	4	3
132	не менее	6	3
133	из которого	3	3
134	в других	6	3
135	а так	1	3
136	можно сказать	3	3
137	но с	1	3
138	хотя бы	3	3
139	представляет собой	6	3
140	так что	8	3
141	а после	2	3
142	у них	1	3
143	когда он	2	3
144	точно так	8	3
145	в одном	9	3
146	оказывается что	2	3
147	большей частью	1	3
148	и те	1	3
149	не вполне	7	3
150	к ним	1	3
151	и о	2	3
152	отношению к	2	3
153	в своем	2	3
154	уже не	11	3
155	к этому	10	3
156	к богу	2	3
157	того что	8	3
158	на востоке	1	2
159	связан с	5	2
160	такое положение	1	2
161	все что	4	2
162	из человеческих	2	2
163	для всех	1	2
164	один из	7	2
165	и здесь	8	2
166	ему в	2	2
167	и на	7	2
168	связанных с	4	2
169	на небе	1	2
170	по тому	1	2
171	только что	3	2
172	к одной	1	2
173	положение дела	1	2
174	и заставляет	1	2
175	уже в	1	2
176	или по	5	2
177	мы имеем	24	2
178	не с	2	2
179	утверждать что	2	2
180	с тех	1	2
181	только не	2	2
182	те же	2	2
183	не как	1	2
184	не исчерпывается	1	2
185	прежде всего	3	2
186	одно из	2	2
187	они в	2	2
188	его от	3	2
189	в русском	3	2
190	со всеми	1	2
191	в них	6	2
192	связь с	12	2
193	из него	3	2
194	не было	2	2
195	к его	1	2
196	этой точки	1	2
197	не в	9	2
198	а также	5	2
199	в виду	2	2
200	одним из	4	2
201	с целью	2	2
202	по существу	3	2
203	именно в	1	2
204	и действительно	5	2
205	героев и	1	2
206	принято называть	1	2
207	очень много	3	2
208	творец и	1	2
209	с одним	2	2
210	эти черты	2	2
211	к которым	3	2
212	большею частью	1	2
213	и перед	1	2
214	одновременно и	1	2
215	но когда	1	2
216	при таком	1	2
217	по своему	1	2
218	приводит к	1	2
219	на все	2	2
220	только для	1	2
221	отличается от	1	2
222	должно было	2	2
223	в новом	1	2
224	в русских	5	2
225	сравнению с	2	2
226	и материальной	1	2
227	ничего общего	1	2
228	в эту	1	2
229	так например	3	2
230	особенно в	2	2
231	связано с	4	2
232	еще не	15	2
233	во всех	1	2
234	перестает быть	1	2
235	начиная с	1	2
236	ко всему	1	2
237	выступает в	1	2
238	мы можем	10	2
239	уже давно	2	2
240	больше чем	1	2
241	что мы	5	2
242	ли это	2	2
243	чтобы от	1	2
244	силы и	1	2
245	если не	2	2
246	его не	3	2
247	по сравнению	2	2
248	между тем	2	2
249	в свою	5	2
250	не всегда	7	2
251	быть и	3	2
252	связана с	4	2
253	не могло	1	2
254	ни один	2	2
255	и является	1	2
256	так чтобы	1	2
257	тем и	1	2
258	и это	5	2
259	ее с	1	2
260	в начале	2	2
261	этот факт	1	2
262	превращается в	10	2
263	конечно не	3	2
264	по своей	1	2
265	но вместе	1	2
266	самого начала	1	2
267	или иное	1	2
268	еще на	2	2
269	этот период	1	2
270	состоит в	4	2
271	же самое	1	2
272	он в	3	2
273	тех пор	1	2
274	общего с	1	2
275	сказать что	5	2
276	которые в	1	2
277	не могла	3	2
278	и другой	1	2
279	в образе	2	2
280	к которому	6	2
281	относится к	3	2
282	жизни и	2	2
283	но если	2	2
284	в разных	1	2
285	что именно	1	2
286	на то	4	2
287	из этого	1	2
288	с его	1	2
289	от них	5	2
290	и все	4	2
291	для этого	1	2
