N	2gram	Kanaev_Sov	VerxiiNi
1	и в	7	26
2	таким образом	11	22
3	в этом	7	15
4	вместе с	4	15
5	точки зрения	12	13
6	как бы	4	12
7	в том	4	11
8	не только	4	10
9	может быть	12	10
10	из этих	2	10
11	что в	2	9
12	так как	4	9
13	связи с	1	9
14	в области	3	9
15	и у	1	8
16	и не	6	8
17	с другой	1	8
18	но не	1	8
19	с одной	2	7
20	но все	2	7
21	том что	1	7
22	одной стороны	1	7
23	но в	3	7
24	из них	4	7
25	к нему	1	7
26	в конце	3	6
27	несмотря на	1	6
28	все это	3	6
29	представление о	1	6
30	все эти	5	6
31	все же	3	6
32	о том	1	6
33	во всяком	2	6
34	и потому	3	6
35	всяком случае	2	6
36	мы должны	4	6
37	и т.д	3	6
38	с точки	5	6
39	в себе	3	6
40	того же	1	6
41	и к	3	5
42	до сих	1	5
43	в его	2	5
44	в мире	1	5
45	не имеет	1	5
46	с другом	2	5
47	сих пор	1	5
48	по крайней	1	5
49	так же	1	5
50	одной из	1	5
51	друг с	2	5
52	а не	3	5
53	и для	1	5
54	крайней мере	1	5
55	никогда не	1	5
56	в самом	2	4
57	и по	2	4
58	то же	3	4
59	из которых	2	4
60	только в	1	4
61	должен был	1	4
62	в течение	1	4
63	и тогда	1	4
64	он не	1	4
65	и что	2	4
66	а в	4	4
67	очень мало	1	4
68	в этой	3	4
69	и от	1	4
70	не может	17	4
71	что все	2	4
72	на этот	2	4
73	в виде	2	4
74	в то	1	4
75	и только	1	4
76	в нем	3	4
77	и при	1	3
78	при этом	3	3
79	из всех	1	3
80	что это	2	3
81	тем не	2	3
82	и если	1	3
83	в результате	6	3
84	и даже	2	3
85	если бы	1	3
86	в которой	2	3
87	с самого	3	3
88	в таком	2	3
89	случае не	1	3
90	в связи	1	3
91	ясно что	3	3
92	же как	1	3
93	если в	1	3
94	не менее	2	3
95	к концу	1	3
96	и нет	1	3
97	каждая из	2	3
98	за собой	1	3
99	в одном	3	3
100	и те	1	3
101	всегда и	1	3
102	отношению к	1	3
103	в своем	1	3
104	уже не	2	3
105	к этому	1	3
106	бы то	1	2
107	влечет за	1	2
108	все что	1	2
109	поэтому что	1	2
110	один из	1	2
111	благодаря этому	1	2
112	уже в	3	2
113	мы имеем	1	2
114	ни было	1	2
115	только не	1	2
116	те же	1	2
117	прежде всего	5	2
118	не могут	2	2
119	различия между	1	2
120	со всеми	2	2
121	первое время	1	2
122	не было	1	2
123	не в	3	2
124	у всех	3	2
125	образом если	1	2
126	без остатка	1	2
127	по существу	1	2
128	именно в	1	2
129	и действительно	1	2
130	в процессе	1	2
131	можно назвать	2	2
132	положение в	1	2
