N	2gram	Tiupa_Anal	KFilosof
1	может быть	33	45
2	в его	15	42
3	в нем	3	32
4	не может	26	29
5	и не	33	28
6	и в	30	28
7	в бытии	1	26
8	по отношению	10	26
9	в котором	5	24
10	не есть	8	22
11	отношению к	9	22
12	в себе	17	21
13	только в	8	18
14	и его	9	18
15	в своем	2	17
16	в ее	2	17
17	а не	25	17
18	в этом	31	15
19	для него	5	13
20	не в	17	13
21	точки зрения	10	13
22	к нему	4	12
23	ни в	5	12
24	но не	13	12
25	в своей	7	11
26	все эти	3	11
27	во всех	5	11
28	из себя	1	11
29	соотнесении с	1	11
30	все это	2	10
31	это не	7	10
32	с точки	6	10
33	и есть	3	10
34	бытия и	2	10
35	от себя	4	10
36	и для	3	10
37	в целом	9	10
38	в их	8	9
39	и все	5	9
40	единого и	1	9
41	но и	29	9
42	как бы	15	9
43	для нее	2	9
44	эмоционально-волевом тоне	1	9
45	момент его	1	9
46	не было	1	8
47	если бы	6	8
48	быть только	1	8
49	в мире	14	8
50	со стороны	5	8
51	было бы	4	8
52	лишь в	12	8
53	в себя	8	8
54	жизни и	1	8
55	себя в	8	8
56	во всем	1	7
57	и здесь	1	7
58	что и	5	7
59	должен быть	6	7
60	вовсе не	4	7
61	уже не	6	7
62	совершенно не	2	7
63	то что	11	7
64	я должен	1	7
65	на основе	3	7
66	для себя	3	7
67	и только	1	7
68	отнюдь не	22	7
69	ее и	1	6
70	должно быть	2	6
71	не значит	1	6
72	но все	1	6
73	я не	2	6
74	не имеет	1	6
75	эстетическое видение	1	6
76	смысл и	3	6
77	в том	36	6
78	и их	2	6
79	отношение к	2	6
80	место в	3	6
81	он не	4	6
82	но это	1	6
83	мира в	2	6
84	в событии	1	5
85	то же	12	5
86	ко всему	1	5
87	мы имеем	9	5
88	не только	30	5
89	эстетического созерцания	1	5
90	с ним	6	5
91	но как	1	5
92	его в	2	5
93	не знает	4	5
94	в основе	6	5
95	есть лишь	1	5
96	но в	11	5
97	именно в	6	5
98	бы быть	3	5
99	но ведь	1	5
100	как и	23	5
101	все же	4	5
102	жизни в	1	5
103	себя и	5	5
104	еще не	5	5
105	что я	1	5
106	время и	1	5
107	принципиально не	3	5
