N	3gram	Medvedev_V	Narrotol
1	в том что	5	18
2	в данном случае	1	17
3	не только в	2	13
4	по отношению к	7	11
5	к тому же	1	9
6	о том что	3	9
7	не может быть	8	8
8	в соответствии с	1	8
9	той или иной	1	8
10	то же время	5	8
11	в то же	5	8
12	в этом отношении	14	8
13	мы имеем дело	1	6
14	можно сказать что	4	6
15	с одной стороны	2	6
16	для того чтобы	3	5
17	в свою очередь	1	5
18	но и в	1	5
19	подобно тому как	3	5
20	имеем дело с	1	5
21	в конечном счете	5	4
22	к тому что	4	4
23	войны и мира	1	4
24	во всяком случае	2	4
25	заключает в себе	1	3
26	в самом деле	1	3
27	и не может	2	3
28	а в том	1	3
29	до сих пор	2	3
30	следует подчеркнуть что	1	3
31	в этом и	2	3
32	иметь в виду	2	3
33	в зависимости от	5	3
34	в связи с	4	3
35	то же самое	1	3
36	того или иного	1	3
37	на то что	1	3
38	в той или	1	2
39	бы и не	3	2
40	все то что	1	2
41	которая не может	2	2
42	и в то	3	2
43	и т п	9	2
44	следует иметь в	2	2
45	не в том	2	2
46	далеко не всегда	1	2
47	более или менее	6	2
48	и то же	1	2
49	в частности в	2	2
50	в таком случае	1	2
51	сами по себе	1	2
52	а между тем	1	2
53	не только не	2	2
54	чем иным как	1	2
55	как если бы	1	2
56	это то что	1	2
57	хотя и не	1	2
58	в сумасшедшем доме	1	2
59	сумасшедшем доме или	1	2
60	в том смысле	1	2
61	но все же	1	2
62	между тем это	1	2
63	все же не	1	2
64	одно и то	1	2
65	можно было бы	2	2
66	так же как	1	2
67	видел во сне	1	2
68	он и не	1	2
69	на одном полюсе	1	2
70	человека в футляре	1	1
71	в этой системе	1	1
72	но то же	1	1
73	одной стороны и	2	1
74	отнюдь не в	1	1
75	в письме к	11	1
76	не было в	2	1
77	не могло бы	1	1
78	таким образом для	1	1
79	о том как	3	1
80	том смысле что	1	1
81	реальной действительности как	1	1
82	одной из этих	1	1
83	в этом смысле	1	1
84	по сравнению с	1	1
85	его собственному признанию	1	1
86	и в другом	2	1
87	с большей или	1	1
88	для проникновения в	1	1
89	во всех его	2	1
90	то или иное	1	1
91	хотя бы его	1	1
92	что они не	1	1
93	и так или	1	1
94	в этом процессе	2	1
95	в том числе	2	1
96	не отличается от	1	1
97	и многих других	1	1
98	бы не было	2	1
99	можно свести к	1	1
100	могло бы быть	1	1
101	у него еще	1	1
102	так или иначе	1	1
103	что один из	1	1
104	в ней не	1	1
105	что для него	1	1
106	в том случае	1	1
107	а порой и	1	1
108	что все эти	2	1
109	оснований видеть в	1	1
110	бросается в глаза	1	1
111	и не по	1	1
112	может быть сведена	1	1
113	большей или меньшей	3	1
114	ильфа и петрова	1	1
115	по аналогии с	1	1
116	если можно так	1	1
117	еще в году	1	1
118	по его собственному	1	1
119	в том или	1	1
120	противном случае он	1	1
121	в частности из	1	1
122	из них не	2	1
123	не может не	2	1
124	следует смешивать с	1	1
125	в целом и	1	1
126	систему персонажей и	1	1
127	в конечном итоге	2	1
128	достоевского и толстого	1	1
129	только то что	2	1
130	том числе и	2	1
131	с другой стороны	8	1
132	нет никаких оснований	2	1
133	об этом свидетельствует	1	1
134	а не только	1	1
135	хотя оно и	1	1
136	в чем же	2	1
137	сад и в	1	1
138	качестве одной из	1	1
139	в силу его	1	1
140	можно так выразиться	1	1
141	между ними не	1	1
142	и т д	16	1
143	том как он	1	1
144	приходится признать что	1	1
145	т п все	1	1
146	в каждой из	1	1
147	в качестве одной	1	1
148	в противном случае	2	1
149	в саду и	1	1
150	по крайней мере	2	1
151	в этом же	1	1
152	как это было	1	1
153	как об этом	2	1
154	в результате чего	2	1
155	из которых он	1	1
156	в которой он	1	1
157	этой точки зрения	2	1
158	том или ином	1	1
159	одна из них	1	1
160	не следует смешивать	1	1
161	же как это	1	1
162	в реальной действительности	1	1
163	не следует понимать	5	1
164	быть сведена к	1	1
165	как один из	1	1
166	сознании а не	1	1
167	действительной жизни и	1	1
168	и тем более	1	1
169	быть определена как	1	1
170	в то время	1	1
171	бесконечное число раз	1	1
172	на этот вопрос	1	1
173	точки зрения на	1	1
174	в большей или	2	1
175	именно в этом	1	1
176	прежде всего следует	1	1
177	и в конечном	1	1
178	ни одна из	1	1
179	как это обычно	1	1
180	как и все	1	1
181	ответ на этот	1	1
182	том что и	1	1
183	не подлежит сомнению	1	1
184	них не может	1	1
185	может быть определена	1	1
186	то время как	1	1
187	об отсутствии у	1	1
188	же как и	1	1
189	не может обойтись	1	1
190	в качестве материала	1	1
191	и не слишком	1	1
192	том случае если	1	1
193	было бы совершенно	1	1
194	с другой в	1	1
195	по его мнению	1	1
196	как это делает	3	1
197	в анне карениной	1	1
198	на протяжении жизни	1	1
199	в виду что	1	1
200	нет и не	1	1
201	с этой точки	1	1
202	но с другой	1	1
203	может быть и	1	1
