N	4gram	Vinokur_St	FransuaR
1	в то же время	5	55
2	но в то же	2	20
3	в том числе и	2	17
4	до сих пор еще	1	15
5	дело в том что	7	13
6	и в то же	1	12
7	в той или иной	1	10
8	за то что тот	1	3
9	о том что в	1	3
10	и в данном случае	1	2
11	второй половине xviii века	1	2
12	заключается в том что	3	2
13	и в наши дни	1	2
14	бы то ни было	1	2
15	для этого прежде всего	1	2
16	но дело в том	1	2
17	нужно сказать что в	1	2
18	которой можно было бы	1	2
19	совершенно так же как	1	2
20	говорит о том что	3	2
21	этого прежде всего необходимо	1	2
22	до сих пор не	1	2
23	и в том что	1	2
24	был тесно связан с	1	2
25	но даже и в	1	2
26	во второй половине xviii	1	2
27	не может быть и	1	2
28	после того как он	1	2
29	может быть и речи	1	2
30	и по отношению к	1	2
31	то же время не	1	2
32	одним и тем же	2	2
33	так же как и	1	2
34	на вопрос о том	1	1
35	для него самого и	1	1
36	но также и в	1	1
37	том числе конечно и	1	1
38	для правильного понимания всего	1	1
39	до сих пор они	1	1
40	что с точки зрения	1	1
41	во всяком случае не	2	1
42	с одной стороны в	1	1
43	для того чтобы не	1	1
44	в данном случае в	2	1
45	в том что в	3	1
46	то же время оно	1	1
47	о том что он	3	1
48	в то время как	1	1
49	с точки зрения их	2	1
50	и в самом деле	2	1
51	до сих пор в	1	1
52	свидетельствует о том что	1	1
53	нечего и говорить о	1	1
54	гораздо больше чем кажется	1	1
55	они свидетельствуют о том	1	1
56	одно и то же	1	1
57	но это вовсе не	1	1
58	и вместе с тем	1	1
59	во всяком случае в	2	1
60	имеет ничего общего с	2	1
61	за то что он	1	1
62	как будто бы склонен	1	1
63	в настоящее время можно	1	1
64	в том что эти	1	1
65	во всех трех случаях	1	1
66	говорит об этом в	1	1
67	и в том и	1	1
68	в том что она	1	1
69	речь идет не о	1	1
70	я имею в виду	1	1
71	не знает и не	1	1
72	быть конечно и речи	1	1
73	в том же духе	1	1
74	что только таким путем	1	1
75	не имеет ничего общего	2	1
76	он не только не	1	1
77	в том что он	3	1
78	и в этом отношении	1	1
79	в том числе конечно	1	1
80	так и на материале	1	1
81	для того чтобы получить	1	1
82	говорить о том что	1	1
83	в каждом из этих	1	1
84	и то обстоятельство что	1	1
85	свидетельствуют о том что	1	1
