N	2gram	Medvedev_V	Mirosoze
1	и в	2	97
2	в этом	1	55
3	и не	1	39
4	потому что	1	37
5	в самом	1	21
6	том что	2	16
7	в том	2	16
8	и его	1	16
9	в конце	2	14
10	так как	1	14
11	все это	1	12
12	хотя бы	1	11
13	только в	1	11
14	но это	1	11
15	то же	1	10
16	я не	1	9
17	более чем	1	7
18	не хотел	1	7
19	к чему	1	6
20	в которых	1	6
21	все время	1	5
22	да и	1	5
23	в их	1	5
24	для них	1	4
25	и только	1	4
26	конце концов	2	4
27	значительной степени	1	3
28	к этому	1	3
29	в значительной	1	3
30	и то	1	3
31	стоит на	1	3
32	ведь это	1	3
33	столь же	1	2
34	самом деле	1	2
35	ни к	1	2
36	вещь и	1	1
37	по своим	1	1
38	жизни которое	1	1
39	в другом	1	1
40	не одно	1	1
41	хотел сказать	1	1
42	по поводу	1	1
43	открыть и	1	1
44	как же	1	1
45	связанным с	1	1
46	под влиянием	1	1
47	же все	1	1
48	бы уже	1	1
49	главным образом	1	1
50	о пределах	1	1
51	все то	1	1
52	они тогда	1	1
53	от многих	1	1
54	к созданию	1	1
55	и заключается	1	1
56	не хочу	1	1
57	связаны и	1	1
58	то я	1	1
59	по существу	1	1
60	так в	1	1
61	на одном	1	1
62	тем более	1	1
63	стоило бы	1	1
64	то чего	1	1
65	и почти	1	1
66	в частности	1	1
67	чем к	1	1
