N	3gram	Voloshinov	Sotsiolo
1	по отношению к	11	2
2	только в этом	1	2
3	в том что	9	2
4	в конце концов	2	2
5	это и есть	2	1
6	и в то	1	1
7	конечно не в	1	1
8	в то же	6	1
9	а между тем	1	1
10	в конечном счете	3	1
11	сказать и о	2	1
12	в этом нужно	1	1
13	выходит за пределы	2	1
14	с одной стороны	2	1
15	то же самое	2	1
16	на первый план	4	1
17	по крайней мере	1	1
18	что это вовсе	1	1
19	то же время	6	1
20	только то что	3	1
21	в наше время	1	1
22	это как будто	1	1
23	благодаря тому что	2	1
24	с помощью тех	1	1
25	а с другой	2	1
26	это вовсе не	4	1
27	во всяком случае	8	1
28	и наконец в	1	1
29	том что это	1	1
30	не дает никаких	1	1
31	между ними в	1	1
32	очень далеки от	1	1
33	в настоящее время	1	1
34	не выходит за	1	1
35	не было бы	1	1
36	и потому его	1	1
