N	2gram	Propp_Isto	Myslijsy
1	потому что	13	182
2	то есть	1	142
3	и в	41	121
4	может быть	19	107
5	в том	14	103
6	то что	12	83
7	для нас	8	75
8	что в	21	73
9	и не	12	73
10	только в	10	72
11	т с	1	71
12	не только	30	67
13	а не	9	67
14	таким образом	15	64
15	в этом	19	59
16	но и	20	59
17	том что	18	59
18	так как	21	59
19	то же	12	56
20	не в	12	54
21	если бы	3	53
22	в себе	3	53
23	по себе	2	52
24	не может	19	52
25	того что	7	47
26	в сознании	1	46
27	было бы	4	45
28	в нем	12	45
29	не есть	1	42
30	как и	8	42
31	так что	6	39
32	вместе с	17	39
33	что и	13	38
34	мы не	10	38
35	при этом	7	37
36	как в	17	37
37	так и	8	37
38	тогда когда	3	36
39	что мы	3	36
40	точно так	2	35
41	тем что	11	33
42	и что	15	32
43	по отношению	3	30
44	а в	12	30
45	что не	3	29
46	но не	8	29
47	вовсе не	6	28
48	мы можем	11	28
49	есть только	1	28
50	с этим	3	27
51	могут быть	3	27
52	не было	3	26
53	независимо от	3	26
54	и т	29	26
55	то и	6	26
56	отношению к	3	26
57	этого слова	1	25
58	в то	6	24
59	с тем	8	23
60	как бы	8	23
61	того как	5	23
62	от того	4	23
63	по мере	1	22
64	то это	7	22
65	с другой	20	22
66	не имеет	6	22
67	только тогда	1	22
68	но в	7	22
69	и потому	1	21
70	не менее	5	21
71	мысль о	1	20
72	в одном	2	20
73	это не	14	20
74	в ней	4	20
75	и как	3	19
76	но это	5	19
77	сказать что	5	19
78	с ним	9	19
79	того же	3	19
80	тем не	4	19
81	что это	6	19
82	и то	3	19
83	из этих	6	19
84	о том	15	19
85	тем самым	3	19
86	должно быть	1	19
87	есть не	1	19
88	в самом	2	18
89	в таком	1	18
90	там же	3	18
91	для того	2	18
92	не могут	3	18
93	очевидно что	1	18
94	тогда как	4	18
95	что я	2	18
96	еще не	13	18
97	точки зрения	4	17
98	со стороны	3	17
99	заметить что	1	17
100	что оно	1	17
101	уже в	4	17
102	в его	4	17
103	во всяком	3	17
104	не можем	3	17
105	только что	1	16
106	и на	12	16
107	к тому	4	16
108	так же	6	16
109	в своем	3	16
110	в которой	2	16
111	а только	1	16
112	в них	4	16
113	что если	2	16
114	и наоборот	2	16
115	же с	2	16
116	на то	5	16
117	в этих	16	15
118	уже не	8	15
119	только как	1	15
120	с одной	12	15
121	и тем	4	15
122	и по	7	15
123	что он	29	15
124	в свою	1	15
125	т д	25	15
126	прежде всего	6	15
127	думать что	3	15
128	без сомнения	1	15
129	все же	14	14
130	в одно	2	14
131	в котором	3	14
132	в действительности	2	14
133	то в	1	14
134	связи с	3	14
135	во всех	8	14
136	когда мы	2	14
137	бы ни	1	14
138	там где	7	14
139	мере того	1	14
140	должны быть	4	14
141	и язык	1	14
142	и без	1	14
143	мы должны	7	14
144	те же	2	13
145	например в	6	13
146	как на	3	13
147	из них	2	13
148	что все	1	13
149	т п	1	13
150	и все	6	13
151	зависит от	1	13
152	смысле этого	1	13
153	и может	1	13
154	и его	11	13
155	от него	6	12
156	другой стороны	17	12
157	до сих	4	12
158	более или	3	12
159	никогда не	16	12
160	и при	2	12
161	хотя и	3	12
162	быть только	2	12
163	и вместе	3	12
164	в чем	5	12
165	под влиянием	2	12
166	сих пор	5	12
167	в каждом	1	12
168	оно не	2	12
169	всяком случае	3	12
170	что же	2	12
171	относится к	2	12
172	друг друга	2	12
173	только потому	1	12
174	что такое	2	12
175	все это	9	12
176	есть в	1	12
177	или менее	3	12
178	тем более	2	12
179	как мы	6	12
180	что на	1	12
181	все что	4	11
182	и если	4	11
183	из себя	1	11
184	только на	2	11
185	и это	9	11
186	к нему	8	11
187	в состоянии	4	11
188	его в	7	11
189	в силу	2	11
190	мы видели	17	11
191	сами по	1	11
192	сравнительно с	1	11
193	того чтобы	1	11
194	к ней	3	11
195	что например	1	11
196	если не	4	11
197	и только	4	11
198	другими словами	3	11
199	и их	1	11
200	же что	2	11
201	указывает на	1	11
202	же в	1	11
203	быть названо	1	10
204	но тем	2	10
205	и с	4	10
206	хотя бы	1	10
207	одной стороны	12	10
208	духа и	1	10
209	находится в	2	10
210	мы видим	14	10
211	что при	3	10
212	не от	3	10
213	что как	1	10
214	в других	6	10
215	бы в	1	10
216	если же	1	10
217	тем и	1	10
218	и от	5	10
219	и есть	2	10
220	он не	8	10
221	то время	4	10
222	том как	3	10
223	тех пор	1	10
224	можно думать	1	10
225	если мы	1	10
226	тем же	1	10
227	согласно с	1	10
228	и другое	4	10
229	так в	10	10
230	между прочим	3	10
231	по которому	2	10
232	только по	1	10
233	тому что	2	10
234	то не	5	9
235	и даже	3	9
236	вопрос о	6	9
237	во многих	2	9
238	связь между	1	9
239	до того	1	9
240	на него	3	9
241	что она	6	9
242	есть представление	1	9
243	в нее	1	9
244	во время	7	9
245	от нее	2	9
246	не будет	6	9
247	один из	7	9
248	известно что	3	9
249	себе не	2	9
250	самом деле	1	9
251	никто не	2	9
252	в сравнении	1	9
253	но оно	3	9
254	с точки	1	9
255	не все	4	9
256	и других	2	9
257	далеко не	3	9
258	но вместе	2	9
259	в целом	2	9
260	нам кажется	5	9
261	и о	2	9
262	можно сказать	3	9
263	таким же	2	9
264	во всем	2	8
265	по тому	1	8
266	которые не	2	8
267	не как	1	8
268	но все	5	8
269	вслед за	2	8
270	от одного	1	8
271	именно в	2	8
272	что по	2	8
273	их в	3	8
274	в более	3	8
275	так например	5	8
276	что они	5	8
277	от них	2	8
278	что есть	1	8
