N	2gram	Bakhtin_Pr	Vladivir
1	и в	64	116
2	то что	21	71
3	и не	55	67
4	у него	11	65
5	не только	26	65
6	в этом	33	53
7	в том	12	52
8	том что	8	51
9	что в	11	48
10	но и	26	47
11	в конце	8	41
12	в его	30	40
13	и с	9	39
14	то есть	3	37
15	и даже	5	36
16	сказать что	4	36
17	также и	3	36
18	учение о	1	35
19	так что	6	35
20	потому что	8	33
21	что он	15	32
22	еще и	1	32
23	не может	26	31
24	о том	5	30
25	только в	13	30
26	как мы	13	29
27	никогда не	11	29
28	для него	23	29
29	вовсе не	12	27
30	а в	10	27
31	не было	5	26
32	а к	1	25
33	в себе	11	25
34	но в	14	25
35	в то	15	25
36	и его	21	25
37	точки зрения	31	23
38	он не	14	23
39	может быть	43	23
40	что же	9	23
41	кроме того	5	22
42	он был	2	22
43	ни в	5	22
44	так как	9	22
45	об этом	3	22
46	в своей	11	21
47	вместе с	1	21
48	а именно	2	20
49	и что	5	20
50	в своем	12	20
51	для нас	2	20
52	прежде всего	16	20
53	не менее	3	19
54	и вообще	1	19
55	по поводу	1	19
56	как раз	9	19
57	тем не	2	19
58	таким образом	15	19
59	так и	8	19
60	и потому	7	19
61	как и	25	18
62	не мог	1	18
63	не в	15	18
64	не был	2	18
65	хотя и	5	18
66	как это	1	18
67	с его	11	18
68	в письме	2	17
69	то это	3	17
70	что и	7	17
71	в этой	5	17
72	едва ли	1	17
73	и если	2	17
74	а не	29	17
75	у нас	3	17
76	все же	11	16
77	уже не	15	16
78	к тому	4	16
79	не есть	4	16
80	для себя	3	16
81	и все	6	16
82	было бы	8	16
83	того что	3	16
84	в котором	7	16
85	и к	5	15
86	то же	18	15
87	в своих	4	15
88	к этому	1	15
89	в эти	1	15
90	несмотря на	7	15
91	в связи	1	15
92	письме к	2	15
93	иной раз	1	15
94	до конца	10	15
95	но это	6	15
96	это было	1	15
97	того же	3	14
98	все эти	13	14
99	раз и	6	14
100	его жизни	2	14
101	же касается	1	14
102	мы уже	4	14
103	и на	16	14
104	уже в	5	14
105	и как	9	14
106	во всем	1	13
107	в результате	7	13
108	можно сказать	2	13
109	так же	8	13
110	на этот	4	13
111	и от	3	13
112	что это	2	13
113	то время	2	13
114	да и	2	13
115	дело в	2	13
116	жизни и	3	13
117	по себе	16	12
118	только на	3	12
119	и это	8	12
120	и у	3	12
121	и по	1	12
122	в нем	28	12
123	то в	2	12
124	если не	1	12
125	всяком случае	4	12
126	ничего не	8	12
127	во всяком	7	12
128	связи с	3	12
129	при этом	8	11
130	него в	5	11
131	но что	1	11
132	более или	4	11
133	всякого рода	1	11
134	в данном	2	11
135	хотя бы	4	11
136	тому же	2	11
137	в которой	2	11
138	я не	6	11
139	на то	5	11
140	он уже	1	11
141	и здесь	6	11
142	в основном	2	11
143	никак не	4	11
144	в отношении	5	11
145	это есть	1	11
146	все это	9	11
147	то он	3	11
148	или менее	4	11
149	мы должны	3	11
150	и о	7	11
151	конце концов	7	11
152	в самом	17	10
153	даже в	6	10
154	вот что	1	10
155	что все	2	10
156	такого рода	1	10
157	с точки	21	10
158	в качестве	1	10
159	можно было	3	10
160	что для	2	10
161	к нему	11	10
162	с ним	8	10
163	в россии	2	10
164	еще не	10	10
165	которую он	3	10
166	в истории	2	10
167	здесь не	7	10
168	он и	8	10
169	о нем	15	10
170	в ней	2	10
171	но не	12	10
172	и был	1	9
173	о чем	1	9
174	и сам	6	9
175	именно в	5	9
176	с этим	3	9
177	смысле слова	2	9
178	с другой	7	9
179	мы знаем	1	9
180	и притом	1	9
181	но он	4	9
182	а только	1	9
183	но как	4	9
184	а с	2	9
185	не будет	1	9
186	этом смысле	12	9
187	мы будем	2	9
188	в начале	1	9
189	оно есть	1	9
190	отношения к	5	9
191	своей жизни	2	9
192	что мы	1	9
193	что если	3	9
194	это не	12	9
195	же время	13	9
196	ни с	1	9
197	по существу	6	9
198	что касается	1	9
199	в целом	8	9
200	с этой	2	8
201	не столько	1	8
202	в этих	5	8
203	тем что	6	8
204	в это	1	8
205	конечно не	4	8
206	себя в	3	8
207	и он	5	8
208	в смысле	3	8
209	и особенно	2	8
210	как в	7	8
211	со стороны	1	8
212	должно быть	8	8
213	как бы	33	8
214	и для	7	8
215	тот же	2	8
216	тоже не	3	8
217	только и	1	8
218	когда он	2	8
219	из этих	3	8
220	отношение к	4	8
221	мы и	2	7
222	к этой	1	7
223	в одном	20	7
224	в них	5	7
225	но все	6	7
226	на первый	1	7
227	что этот	2	7
228	но даже	1	7
229	на первом	1	7
230	точно так	1	7
231	в нашем	2	7
232	и мы	2	7
233	себе и	5	7
234	за пределы	7	7
235	даже не	1	7
236	и есть	3	7
237	который был	1	7
238	мы видели	1	7
239	здесь мы	4	7
240	если бы	12	7
241	к его	1	7
242	не имеет	2	7
243	в каком	1	7
244	ничего общего	1	7
245	бы и	6	7
246	и вот	1	7
247	того чтобы	2	7
248	из его	3	7
249	но если	1	7
250	к концу	1	7
251	нисколько не	3	7
252	на его	2	7
253	первый план	1	7
254	в таком	3	7
255	то и	3	7
256	другими словами	1	7
257	е в	3	7
258	как он	3	7
259	или как	8	7
260	по этому	1	7
261	же в	2	7
262	и очень	1	6
263	же и	5	6
264	тому что	3	6
265	мысли и	6	6
266	те же	3	6
267	в виду	3	6
268	другой стороны	6	6
269	его на	2	6
270	но у	4	6
271	для того	1	6
272	в отличие	4	6
273	настоящее время	3	6
274	на него	6	6
275	он сам	5	6
276	если мы	3	6
277	той же	8	6
278	его в	8	6
279	чем в	3	6
280	том же	4	6
281	что она	7	6
282	на себя	4	6
283	время как	2	6
284	под влиянием	1	6
285	и речи	1	6
286	но только	1	6
287	он пишет	2	6
288	она была	1	6
289	не раз	2	6
290	почему же	2	6
291	сказать о	2	6
292	взгляд на	1	6
293	не с	1	6
294	и вполне	2	6
295	должен был	1	6
296	так или	1	6
297	но на	3	6
298	нельзя сказать	2	6
299	в настоящее	3	6
300	данном случае	2	6
301	мы не	4	6
302	которых он	1	6
303	и всегда	2	6
304	здесь в	2	6
305	или иначе	1	6
306	в общем	1	6
307	к своему	2	6
308	по своему	1	6
309	жизнь и	1	6
310	отличие от	4	6
311	в жизни	5	6
312	есть и	5	6
313	от того	4	6
314	такой же	4	6
315	само по	4	6
316	и наконец	7	6
317	что на	1	6
318	тех кто	1	5
319	еще более	2	5
320	весь этот	2	5
321	и до	6	5
322	отношением к	1	5
323	вопрос о	3	5
324	в каких	1	5
325	он писал	2	5
326	как на	4	5
327	и еще	2	5
328	без всякого	1	5
329	него не	4	5
330	будем говорить	1	5
331	из них	3	5
332	вся эта	1	5
333	бы то	3	5
334	что они	1	5
335	во всех	4	5
336	что у	2	5
337	а и	1	5
338	и за	1	5
339	для своего	2	5
340	говорит в	1	5
341	эти три	1	5
342	того и	4	5
343	в философии	1	5
344	для его	4	5
345	то ни	3	5
346	и тем	1	5
347	что бы	1	5
348	в последний	3	5
349	и глубоко	2	5
350	он в	3	5
351	вера в	1	5
352	во время	1	5
353	однако и	1	5
354	в частности	1	5
355	один из	3	5
356	утверждает что	1	5
357	все то	5	5
358	вера и	1	5
