N	4gram	Vinokur_St	Analitik
1	в то же время	5	14
2	в той или иной	1	5
3	мы имеем дело с	1	5
4	обращает на себя внимание	1	4
5	в том что он	3	4
6	одни и те же	1	3
7	дело в том что	7	3
8	бы то ни было	1	3
9	той мере в какой	2	2
10	в каждом отдельном случае	1	2
11	мысль о том что	1	2
12	в той мере в	2	2
13	не говоря уже о	2	2
14	одних и тех же	1	2
15	заключается в том что	3	2
16	одно и то же	1	2
17	но в то же	2	2
18	и в том что	1	1
19	относится не только к	1	1
20	и в этом случае	2	1
21	и в самом деле	2	1
22	во всяком случае не	2	1
23	воспоминания в царском селе	1	1
24	и в данном случае	1	1
25	в том смысле что	2	1
26	в той же мере	1	1
27	что во времена пушкина	2	1
28	то же время оно	1	1
29	сколько в том что	1	1
30	внимание на то что	1	1
31	по его выражению не	1	1
32	свидетельствует о том что	1	1
33	и вместе с тем	1	1
34	но дело в том	1	1
35	только в том что	1	1
36	в самом деле не	1	1
37	не только в том	1	1
38	том что он не	2	1
39	в том числе и	2	1
40	или иного из этих	1	1
41	так или иначе в	1	1
42	однако с другой стороны	1	1
43	того или иного из	1	1
44	в ответ на вопрос	1	1
45	но с другой стороны	2	1
46	и та и другая	1	1
47	дело не только в	1	1
48	с другой стороны и	1	1
49	по его собственному признанию	1	1
50	отвечает на этот вопрос	1	1
51	одним и тем же	2	1
52	по тем или иным	1	1
53	в каждом из этих	1	1
54	ответ на этот вопрос	1	1
55	мере в какой он	1	1
