N	3gram	Vinokur_St	Myshleni
1	в том что	29	133
2	с точки зрения	10	89
3	для того чтобы	13	78
4	заключается в том	4	51
5	по сравнению с	1	45
6	по отношению к	3	42
7	так же как	5	39
8	с одной стороны	2	39
9	с самого начала	3	36
10	в этом отношении	13	30
11	можно было бы	8	28
12	в этом случае	3	27
13	вместе с тем	2	26
14	с другой стороны	8	26
15	на то что	5	25
16	о том что	19	25
17	не может быть	5	23
18	смысле этого слова	1	22
19	в то время	2	22
20	к тому что	4	22
21	в высшей степени	1	22
22	в зависимости от	2	22
23	не только не	2	21
24	то время как	1	20
25	в самом деле	7	19
26	в отличие от	1	18
27	во всяком случае	8	18
28	в этом смысле	2	18
29	до сих пор	12	17
30	же как и	1	17
31	и то что	2	15
32	в данном случае	7	15
33	в известном смысле	1	15
34	друг от друга	1	14
35	на этот вопрос	2	14
36	в первую очередь	2	14
37	потому что он	1	14
38	к выводу что	1	14
39	точно так же	2	13
40	а с другой	1	13
41	в другом месте	1	13
42	и то же	1	12
43	в том чтобы	1	12
44	тем не менее	4	12
45	одно и то	1	12
46	является то что	1	11
47	том что в	4	11
48	то обстоятельство что	3	11
49	том числе и	2	10
50	то что в	3	10
51	тот факт что	5	10
52	в том числе	3	10
53	вместо того чтобы	1	10
54	как и в	2	9
55	на вопрос о	3	9
56	более или менее	2	9
57	на самом деле	7	9
58	ту мысль что	1	9
59	том что он	6	9
60	свое выражение в	2	8
61	то что он	3	8
62	только в том	3	8
63	сам по себе	1	8
64	речь идет о	3	8
65	той или иной	1	8
66	что он не	5	8
67	в том же	3	8
68	в этой области	5	8
69	в пользу того	1	8
70	в равной мере	2	8
71	и в отношении	1	8
72	что и в	4	8
73	о том как	1	7
74	и вместе с	1	7
75	по этому поводу	4	7
76	содержит в себе	1	7
77	как раз в	4	7
78	вопрос о том	4	7
79	той и другой	1	7
80	в наших глазах	2	7
81	совершенно так же	1	6
82	ничего общего с	3	6
83	в обоих случаях	2	6
84	и таким образом	1	6
85	и тем же	2	6
86	в лучшем случае	1	6
87	если бы мы	2	6
88	только то что	1	6
89	и не может	1	6
90	в том смысле	4	6
91	в качестве средства	1	6
92	одним и тем	2	6
93	в том и	1	6
94	мере в какой	3	5
95	той мере в	2	5
96	что в этом	1	5
97	но все же	3	5
98	так как в	2	5
99	пользу того что	1	5
100	и что в	1	5
101	в той мере	2	5
102	том смысле что	2	5
103	в той же	2	5
104	то что с	1	5
105	во втором случае	2	5
106	сами по себе	2	5
107	в конце концов	2	5
108	не может не	1	5
109	и в этом	4	5
110	не отдает себе	1	5
111	но он не	1	5
112	в свое время	3	5
113	в то же	5	5
114	ответ на этот	1	5
115	только потому что	2	5
116	не только в	4	5
117	принять во внимание	1	5
118	представление о том	1	5
119	себе отчета в	2	4
120	одни и те	1	4
121	в какой степени	1	4
122	виде в каком	2	4
123	так и в	5	4
124	должны были бы	1	4
125	на этот раз	2	4
126	что они являются	1	4
127	не то что	1	4
128	мы имеем дело	1	4
129	того чтобы показать	1	4
130	что с точки	1	4
131	но и в	2	4
132	таким образом в	1	4
133	что оба эти	2	4
134	с которыми мы	1	4
135	как увидим ниже	1	4
136	речи в этом	1	4
137	так что в	1	4
138	сомнений в том	2	4
139	потому что оно	1	4
140	в значительной степени	2	4
141	и те же	1	4
142	если бы оно	1	4
143	той же мере	1	4
144	если принять во	1	4
145	не до конца	2	4
146	в предисловии к	2	4
147	после того как	5	4
148	но то что	1	3
149	до того как	3	3
150	в применении к	3	3
151	на том что	1	3
152	то ни было	1	3
153	и в другом	1	3
154	мы говорим о	1	3
155	хотя бы и	2	3
156	том и другом	1	3
157	сказать что в	3	3
158	никаких сомнений в	2	3
159	надо сказать что	1	3
160	к тому же	2	3
161	можно считать установленным	1	3
162	то же время	5	3
163	и только в	3	3
164	не имеет никакого	1	3
