N	2gram	Tiupa_Narr	Problema
1	и в	22	182
2	то есть	15	165
3	и не	34	152
4	вовсе не	2	145
5	то что	14	144
6	не только	50	104
7	потому что	7	89
8	в этом	23	88
9	может быть	24	82
10	в том	20	81
11	том что	15	81
12	не просто	2	80
13	только в	23	73
14	сказать что	5	72
15	но и	39	70
16	в виде	2	69
17	у нас	4	68
18	также и	4	68
19	и даже	4	66
20	по себе	4	64
21	не менее	6	58
22	о том	5	57
23	тем не	7	56
24	а не	27	56
25	так и	12	56
26	но в	10	55
27	так что	1	52
28	ни в	1	51
29	для нас	2	50
30	в себе	14	48
31	отнюдь не	6	48
32	и вообще	1	48
33	было бы	2	46
34	прежде всего	7	45
35	в своей	8	45
36	что в	6	44
37	в его	12	44
38	не в	12	43
39	все эти	3	43
40	то же	12	42
41	а именно	2	42
42	как раз	9	42
43	таким образом	5	42
44	и что	1	40
45	и то	3	40
46	что он	7	40
47	так как	1	40
48	что мы	2	40
49	во всяком	2	39
50	не может	16	39
51	такого рода	17	39
52	и тем	9	39
53	в этой	8	39
54	как бы	11	39
55	той или	7	38
56	в данном	17	38
57	хотя бы	4	37
58	никак не	5	37
59	в нем	9	37
60	того что	7	37
61	точки зрения	8	36
62	еще не	6	36
63	и все	7	36
64	и т	3	35
65	в виду	2	34
66	уже не	11	34
67	и с	3	34
68	как и	15	34
69	указывает на	1	34
70	же самое	3	33
71	в таком	4	33
72	не является	7	33
73	т д	1	33
74	или иной	6	33
75	как символ	1	33
76	здесь не	4	32
77	в то	9	32
78	но не	7	32
79	едва ли	5	32
80	так же	2	31
81	в своем	7	31
82	связи с	3	31
83	в конце	4	31
84	но это	2	31
85	все это	1	31
86	ясно что	2	30
87	и для	4	30
88	с другой	6	30
89	в связи	3	29
90	все же	10	29
91	можно сказать	11	29
92	перед нами	9	29
93	как мы	3	29
94	об этом	8	29
95	данном случае	12	28
96	мы не	5	28
97	а в	19	28
98	есть только	1	28
99	и о	4	28
100	и как	4	27
101	хотя и	8	27
102	ничего не	8	27
103	в результате	4	26
104	другой стороны	2	26
105	крайней мере	1	26
106	да и	5	26
107	как будто	4	26
108	вместе с	3	26
109	по крайней	1	26
110	еще и	1	26
111	это не	6	26
112	и его	12	26
113	мы можем	2	25
114	и на	5	25
115	тем самым	9	25
116	с точки	2	25
117	всяком случае	2	25
118	с тем	1	24
119	на самом	1	24
120	тем более	2	24
121	в нашем	4	24
122	не имеет	3	24
123	содержит в	1	23
124	таком случае	1	23
125	по своему	3	23
126	на то	4	23
127	при этом	31	23
