N	2gram	Berdyaev_N	Tvorches
1	и в	16	56
2	в его	1	37
3	в то	2	30
4	не только	5	24
5	но в	2	24
6	как и	7	23
7	и не	11	23
8	а в	2	23
9	и его	1	23
10	в этом	7	22
11	что в	9	21
12	в том	8	21
13	он не	8	19
14	том что	2	19
15	может быть	7	19
16	потому что	4	19
17	у него	2	18
18	то что	4	18
19	и на	2	17
20	что он	1	17
21	все это	5	17
22	но и	3	16
23	никогда не	6	16
24	как в	3	16
25	прежде всего	4	16
26	не может	16	16
27	и с	2	15
28	xix века	5	15
29	в мире	3	15
30	но это	6	15
31	в этой	1	15
32	с его	6	15
33	и даже	2	14
34	это не	4	14
35	о том	4	13
36	времени в	2	13
37	а не	17	13
38	в котором	1	12
39	в своей	3	11
40	в самом	1	10
41	не в	6	10
42	в конце	1	10
43	только в	1	10
44	уже в	1	10
45	так и	2	10
46	но не	2	10
47	как будто	2	10
48	наряду с	3	9
49	по природе	1	9
50	и от	2	9
51	жизни в	3	9
52	в свою	1	9
53	человека в	1	9
54	в нем	5	9
55	во многом	1	9
56	в духе	3	8
57	не менее	4	8
58	так же	2	8
59	хотя и	2	8
60	это уже	1	8
61	вместе с	2	8
62	еще не	3	8
63	в себе	2	8
64	так как	1	8
65	человека и	3	8
66	в этих	1	7
67	уже не	2	7
68	что она	2	7
69	в которой	1	7
70	в чем	1	7
71	не случайно	1	7
72	своего рода	1	7
73	не столько	1	6
74	хотя бы	2	6
75	одна из	2	6
76	с ним	1	6
77	и все	4	6
78	приводит к	1	6
79	все эти	2	6
80	место в	2	6
81	более не	2	5
82	из всех	1	5
83	мысли и	2	5
84	быть может	4	5
85	в них	4	5
86	что этот	1	5
87	с другой	3	5
88	в своем	1	5
89	все время	2	5
90	из них	1	5
91	в ее	3	5
92	не было	4	5
93	что не	1	5
94	я не	2	5
95	и это	2	5
96	и у	1	5
97	в наше	3	5
98	значит что	4	5
99	наше время	4	5
100	с этим	2	5
101	в россии	3	5
102	не имеют	2	5
103	в истории	3	5
104	в образе	1	5
105	но если	1	5
106	мы не	2	5
107	с собой	1	4
108	тем что	1	4
109	роль в	2	4
110	говорить о	1	4
111	и когда	1	4
112	говорит что	1	4
113	превращается в	1	4
114	с большим	1	4
115	что все	2	4
116	это значит	1	4
117	к нему	1	4
118	и мы	4	4
119	по преимуществу	1	4
120	и потому	4	4
121	и через	1	4
122	стремится к	3	4
123	не знает	6	4
124	что его	1	4
125	который в	2	4
126	же как	2	4
127	сих пор	1	4
128	в такой	1	4
129	не был	1	4
130	не означает	3	4
131	как это	2	4
132	себя в	2	4
133	могут быть	2	4
134	и есть	10	4
135	до сих	1	4
136	нет ничего	1	4
137	это и	2	4
138	в основе	3	4
139	и более	1	4
140	связана с	2	4
141	времени и	2	4
142	в отличие	1	4
143	зависит от	2	4
144	отказаться от	1	4
145	к жизни	3	4
146	творческий процесс	1	4
147	отличие от	1	4
148	но он	1	4
149	еще в	1	4
150	в xix	1	4
151	такой же	2	4
152	и к	5	3
153	о свободе	1	3
154	в виду	1	3
155	другой стороны	2	3
156	по себе	1	3
157	людей и	1	3
158	в средневековой	1	3
159	в мир	1	3
160	в жизни	5	3
161	давно уже	1	3
162	только для	1	3
163	к тому	3	3
164	во всяком	1	3
165	можно сказать	1	3
166	вот почему	2	3
167	в этот	1	3
168	особое место	1	3
169	и еще	1	3
170	бога и	3	3
171	сказать что	3	3
172	на протяжении	2	3
173	к себе	1	3
174	к которому	1	3
175	для того	1	3
176	на себя	1	3
177	не есть	3	3
178	и мир	1	3
179	человек как	1	3
180	всяком случае	1	3
181	эти слова	1	3
182	совсем не	12	3
183	идей и	1	3
184	должны быть	1	3
185	и что	2	3
186	оба они	1	3
187	более всего	1	3
188	и особенно	1	3
189	в статье	1	3
190	на западе	1	3
191	переходит в	1	3
192	для себя	1	3
193	от этой	1	3
194	других людей	1	3
195	во имя	15	3
196	до этого	1	3
197	времени он	1	3
198	в которую	1	3
199	и до	1	3
200	сами по	1	3
201	нет и	2	3
202	друг друга	1	3
203	во времени	1	3
204	жизни не	3	3
205	нет ни	1	3
206	сам себя	1	3
207	свидетельствует о	1	3
208	он и	1	3
209	у нас	1	3
210	в русском	2	3
211	не существует	3	3
212	в будущее	1	3
213	не по	1	3
214	в ней	5	3
215	из этих	1	3
216	а по	1	3
217	и их	1	3
218	не с	1	3
219	с ее	5	3
220	лишь в	6	3
221	к ней	1	3
222	бы он	1	3
223	жизни и	8	3
224	в области	1	3
225	и только	1	3
226	все что	1	2
227	же и	1	2
228	которая в	1	2
229	познания и	2	2
230	и имеет	1	2
231	на смену	1	2
232	вот что	1	2
233	жизнь в	1	2
234	с тем	3	2
235	их в	1	2
236	и очень	1	2
237	связано с	1	2
238	и нет	1	2
239	и того	1	2
240	во все	1	2
241	века с	1	2
242	не могли	2	2
243	то это	1	2
244	нас и	1	2
245	духовной жизни	2	2
246	когда она	1	2
247	свободу от	1	2
248	как на	1	2
249	быть понята	1	2
250	того же	1	2
251	жизни с	1	2
252	во всех	3	2
253	и красота	1	2
254	с одной	2	2
255	это я	1	2
256	он стремился	1	2
257	с другими	1	2
258	каждого человека	2	2
259	к достижению	1	2
260	свободы и	2	2
261	прогресса и	1	2
262	xviii века	2	2
263	но ведь	1	2
264	xix век	2	2
265	в эту	1	2
266	войне и	1	2
267	времени а	1	2
268	права на	2	2
269	ли это	2	2
270	мы уже	1	2
271	не будет	7	2
272	совести и	1	2
273	себя на	1	2
274	по своей	1	2
275	в нее	1	2
276	было бы	1	2
277	культуры и	7	2
278	процессы в	1	2
279	не значит	3	2
280	в силу	1	2
281	от жизни	1	2
282	жизни а	1	2
283	и должно	2	2
284	большую роль	4	2
285	в сущности	1	2
286	сама жизнь	2	2
287	для них	1	2
288	ни в	6	2
289	не могут	1	2
290	заключает в	1	2
291	тоже не	1	2
292	не знал	2	2
293	известном смысле	1	2
294	это время	1	2
295	не имеет	4	2
296	ли он	1	2
297	в известном	1	2
298	знает что	1	2
299	не во	4	2
300	ни к	2	2
301	то он	1	2
302	того чтобы	2	2
303	образ человека	1	2
304	они считают	2	2
305	но сам	1	2
306	от других	1	2
307	всемирной истории	2	2
308	числе и	1	2
309	учит нас	1	2
310	а во	1	2
311	переход от	1	2
312	он в	1	2
313	высшей степени	6	2
314	сильнее и	2	2
315	значение в	1	2
316	мир в	1	2
317	о человеке	1	2
318	том числе	1	2
319	этом он	1	2
320	в формах	1	2
321	во время	1	2
322	с их	2	2
323	жить только	1	2
324	в силах	1	2
325	в глубине	1	2
326	в эпоху	9	2
327	всю жизнь	1	2
328	мира а	2	2
329	зла в	1	2
330	стремление к	2	2
331	должен быть	5	2
332	людей в	1	2
333	к одному	1	2
334	нуждается в	1	2
335	а к	1	2
336	свою противоположность	1	2
337	не могу	1	2
338	она не	3	2
339	от всех	1	2
340	в философском	1	2
341	но она	2	2
342	дня и	3	2
343	в высшей	6	2
344	все более	1	2
345	но для	2	2
346	не к	2	2
347	они являются	1	1
348	был и	1	1
349	для всех	1	1
350	бога в	1	1
351	и мира	1	1
352	к этой	1	1
353	есть прежде	1	1
354	но полного	1	1
355	вопросу о	1	1
356	своем развитии	1	1
357	или нет	1	1
358	и совсем	1	1
359	не хочет	1	1
360	борьбой с	1	1
361	из ее	2	1
362	создает себе	1	1
363	лежал в	1	1
364	вопрос об	1	1
365	их не	1	1
366	но все	1	1
367	равно как	2	1
368	французской революции	3	1
369	приближаемся к	2	1
370	социализма в	1	1
371	свободу как	1	1
372	была своя	1	1
373	я могу	1	1
374	показал что	1	1
375	выход из	1	1
376	этого быть	1	1
377	и русский	1	1
378	в речах	1	1
379	человеке и	1	1
380	вверх ногами	1	1
381	символы а	1	1
382	к своим	1	1
383	нем нет	2	1
384	к небытию	1	1
385	всего они	1	1
386	перестает быть	4	1
387	человека так	1	1
388	на человека	1	1
389	противоположные полюсы	1	1
390	в обществе	2	1
391	вопрос о	3	1
392	свободы в	2	1
393	и повести	1	1
394	земная жизнь	1	1
395	человека не	1	1
396	от творческих	1	1
397	центр тяжести	2	1
398	одной стороны	2	1
399	все свои	1	1
400	если нет	2	1
401	гордился своим	1	1
402	свободы от	2	1
403	было то	1	1
404	нужно быть	1	1
405	добро и	1	1
406	в смысле	2	1
407	как существо	1	1
408	всего что	1	1
409	в прошлом	3	1
410	новый мир	1	1
411	этого мира	1	1
412	мысль еще	1	1
413	к ним	3	1
414	жизни как	2	1
415	мы говорим	2	1
416	капитализм и	2	1
417	том чтобы	2	1
418	начиная со	1	1
419	в основу	1	1
420	быть в	2	1
421	природы ее	1	1
422	от формы	1	1
423	как я	1	1
424	есть по	1	1
425	чего он	1	1
426	и внешними	1	1
427	есть только	1	1
428	в атмосфере	1	1
429	что само	1	1
430	обречен на	1	1
431	истории я	1	1
432	бытия а	1	1
433	сам будет	1	1
434	от ритма	1	1
435	лишь там	1	1
436	идеями в	1	1
437	века как	1	1
438	роль она	1	1
439	него как	1	1
440	народ не	1	1
441	величие и	1	1
442	и вместе	1	1
443	такого рода	2	1
444	смысле в	1	1
445	связанный с	1	1
446	в недрах	1	1
447	что такое	3	1
448	падения и	1	1
449	каком-то новом	1	1
450	века но	2	1
451	с раскрытием	1	1
452	в будущем	2	1
453	как результат	1	1
454	человек а	1	1
455	будто бы	1	1
456	государства и	4	1
457	характер и	1	1
458	лишь на	1	1
459	личности с	1	1
460	время как	2	1
461	и она	1	1
462	будущего все	1	1
463	цивилизации и	1	1
464	большинстве случаев	1	1
465	так на	1	1
466	качеств в	1	1
467	это связано	2	1
468	уже давно	1	1
469	явились результатом	1	1
470	к вопросу	1	1
471	себе и	1	1
472	теперь и	1	1
473	жизнь не	1	1
474	вопроса о	1	1
475	солнечного дня	1	1
476	исторической эпохи	3	1
477	но можно	1	1
478	весь мир	1	1
479	есть признак	1	1
480	свои права	2	1
481	отпадения от	1	1
482	себя все	1	1
483	в высшем	1	1
484	можно было	2	1
485	потребность в	1	1
486	перед лицом	1	1
487	времени чем	1	1
488	сторон жизни	1	1
489	личность человека	1	1
490	возможно что	1	1
491	был понят	1	1
492	вера в	1	1
493	но нет	1	1
494	всех сторон	4	1
495	эпохи в	1	1
496	вопрос этот	1	1
497	волю к	3	1
498	совершается кризис	1	1
499	на место	1	1
500	он создает	1	1
501	речи о	1	1
502	до начала	1	1
503	своему духовному	1	1
504	одного и	1	1
505	раньше чем	1	1
506	и общественной	5	1
507	шекспира и	1	1
508	то время	1	1
509	это одна	1	1
510	том смысле	1	1
511	я уже	2	1
512	характерная для	1	1
513	и этот	1	1
514	по всем	1	1
515	погоня за	2	1
516	нашей эпохи	3	1
517	кризис и	1	1
518	во власти	1	1
519	в раскрытии	1	1
520	можно назвать	2	1
521	природе и	2	1
522	и из	1	1
523	нашего времени	2	1
524	самой жизни	2	1
525	истории в	5	1
526	переходит от	1	1
527	он действует	1	1
528	русского народа	1	1
529	человека во	2	1
530	разобраться в	1	1
531	это есть	7	1
532	и вполне	1	1
533	том и	2	1
534	не на	1	1
535	за моря	1	1
536	положения он	1	1
537	оно не	1	1
538	сферы в	1	1
539	в миру	1	1
540	есть лишь	4	1
541	современного человечества	1	1
542	так называемый	1	1
543	от бога	6	1
544	может сам	1	1
545	времени не	1	1
546	как не	8	1
547	человека на	1	1
548	отнесены к	1	1
549	и богато	1	1
550	себя и	1	1
551	и другая	1	1
552	который не	1	1
553	для настоящего	1	1
554	была лишь	1	1
555	все другие	1	1
556	с большей	1	1
557	очень любят	1	1
558	ничего нет	1	1
559	нет в	1	1
560	что вообще	1	1
561	которую она	2	1
562	огромную роль	1	1
563	говорят об	1	1
564	который и	1	1
565	все они	2	1
566	не терпит	1	1
567	истории не	3	1
568	есть бог	1	1
569	истории человечества	1	1
570	когда мы	2	1
571	этой теме	1	1
572	со всех	4	1
573	их стремление	1	1
574	самоутверждения и	2	1
575	не быть	1	1
576	вкус к	2	1
577	вступает в	1	1
578	в одиночестве	1	1
579	и ему	1	1
580	люди не	2	1
581	по старой	1	1
582	миру а	1	1
583	было и	1	1
584	и а	1	1
585	времени его	1	1
586	время тоже	1	1
587	они совсем	1	1
588	это тем	1	1
589	но внутри	1	1
590	их место	1	1
591	общества в	1	1
592	человечества и	1	1
593	гораздо больше	1	1
594	не имел	1	1
595	в мировой	2	1
596	власть над	1	1
597	только потому	1	1
598	и для	4	1
599	мир и	2	1
600	движения и	1	1
601	в более	1	1
602	менее чем	1	1
603	не сознавать	1	1
604	и личности	1	1
605	ничем не	1	1
606	на путях	2	1
607	они не	1	1
608	и было	2	1
609	не способен	1	1
610	всего мира	1	1
611	его борьбу	1	1
612	и зло	1	1
613	а это	1	1
614	настоящего и	1	1
615	играют большую	1	1
616	истории с	1	1
617	к самой	2	1
618	а на	1	1
619	века и	2	1
620	жизни это	1	1
621	а также	1	1
622	что ничего	1	1
623	карикатура на	1	1
624	и начинается	2	1
625	всегда есть	1	1
626	менее всего	1	1
627	мы переходим	1	1
628	он видел	1	1
629	что сами	1	1
630	вообще не	1	1
631	ним она	1	1
632	жить в	1	1
633	нас к	1	1
634	есть в	2	1
635	далеко еще	1	1
636	становится все	1	1
637	и религии	1	1
638	перед собой	1	1
639	по своему	4	1
640	и голодных	1	1
641	должно стать	2	1
642	ней нет	1	1
643	более реальным	1	1
644	это было	3	1
645	и началом	1	1
646	войны и	2	1
647	ему не	1	1
648	общественной жизни	6	1
649	как ни	1	1
650	силы и	2	1
651	возвращается к	2	1
652	принципу который	1	1
653	она должна	1	1
654	должно быть	4	1
655	одну из	1	1
656	говорим о	1	1
657	страшным и	1	1
658	мы должны	1	1
659	себя человек	1	1
660	ли это?	1	1
661	есть и	1	1
662	это была	1	1
663	к чему	1	1
664	движения в	1	1
665	если взять	1	1
666	думать что	2	1
667	в большинстве	1	1
