N	2gram	Savitsky_P	VeschiIm
1	т е	3	81
2	не есть	1	79
3	и не	12	57
4	не только	17	48
5	то что	4	48
6	не может	4	46
7	и в	14	45
8	и есть	2	40
9	и т	3	39
10	может быть	5	39
11	т д	1	38
12	а не	2	37
13	потому что	3	25
14	не просто	1	24
15	было бы	6	24
16	только в	7	23
17	по себе	4	23
18	в себе	3	23
19	в смысле	6	22
20	и что	1	22
21	как бы	4	20
22	что это	1	19
23	но и	6	19
24	и ее	1	19
25	в этом	10	18
26	все же	1	18
27	что мы	3	17
28	прежде всего	3	17
29	и это	2	17
30	и –	1	17
31	есть не	2	17
32	оно есть	1	16
33	того что	2	16
34	как раз	2	16
35	как и	1	15
36	в том	9	15
37	в ней	6	15
38	и то	1	14
39	не в	5	14
40	в самом	1	13
41	том что	4	13
42	есть и	1	13
43	в себя	1	13
44	что в	4	12
45	и с	2	12
46	то же	9	12
47	есть нечто	2	12
48	еще не	1	12
49	если мы	1	12
50	точки зрения	3	12
51	она есть	3	12
52	что и	1	12
53	и как	3	12
54	не менее	2	11
55	себя в	1	11
56	и пр	5	11
57	что не	1	11
58	также и	1	11
59	в то	7	11
60	и только	1	11
61	что оно	1	10
62	ясно что	1	10
63	с ее	1	10
64	я и	3	9
65	в результате	1	9
66	со стороны	2	9
67	бы и	1	9
68	хотя бы	8	9
69	нисколько не	1	9
70	говорить о	2	9
71	явление и	1	9
72	в своем	4	9
73	должно быть	2	9
74	это не	3	9
75	она не	1	9
76	но не	3	9
77	на то	1	9
78	должна быть	1	8
79	если бы	4	8
80	с тем	3	8
81	в свете	1	8
82	по сравнению	2	8
83	но в	9	8
84	мы не	3	8
85	в ее	2	8
86	все это	2	8
87	в отношении	10	8
88	его в	1	8
89	и потому	4	8
90	в философии	1	8
91	не с	1	8
92	с другой	5	8
93	что есть	1	8
94	отнюдь не	2	8
95	сравнению с	1	7
96	ни на	1	7
97	никак не	2	7
98	и тем	2	7
99	а в	4	7
100	из них	2	7
101	в каком	1	6
102	в данном	1	6
103	одна из	2	6
104	вопрос о	1	6
105	в сфере	2	6
106	с точки	3	6
107	в нем	3	6
108	одно и	1	6
109	никогда не	1	6
110	и здесь	1	5
111	как к	1	5
112	тогда когда	1	5
113	мысли и	1	5
114	в жизни	2	5
115	вместе с	1	5
116	да и	2	5
117	и если	4	5
118	о смысле	1	5
119	во всех	2	5
120	мы видим	1	5
121	и мы	2	5
122	в его	2	5
123	хотя и	3	5
124	в которой	1	5
125	на себя	1	5
126	и без	3	5
127	как она	1	5
128	между прочим	2	5
129	или что	1	5
130	должен быть	1	5
131	значило бы	1	5
132	мы должны	4	5
133	для этого	1	5
134	собственном смысле	1	4
135	переходит в	1	4
136	еще более	2	4
137	равным образом	1	4
138	сводится к	3	4
139	это значит?	1	4
140	более или	1	4
141	существует но	1	4
142	есть в	2	4
143	только а	1	4
144	с ними	3	4
145	в явлении	1	4
146	с этим	2	4
147	во всяком	1	4
148	и более	1	4
149	в котором	4	4
150	того чтобы	1	4
151	есть прежде	1	4
152	об отношении	1	4
153	отношении к	5	4
154	как оно	1	4
155	же время	7	4
156	так же	1	4
157	только это	2	4
158	и еще	1	4
159	она может	1	4
160	находится в	1	4
161	что все	1	4
162	что именно	1	4
163	в отдельности	1	4
164	тот же	3	4
165	реальное и	1	4
166	может не	1	4
167	и вот	2	4
168	в качестве	9	4
169	сущность в	1	4
170	и притом	1	4
171	или менее	1	4
172	мы можем	1	4
173	не было	2	4
174	она должна	1	4
175	в и	1	4
176	в силу	2	4
177	веры в	1	4
178	только то	1	4
179	в этой	1	4
180	– по	1	4
181	и о	5	4
182	главным образом	2	4
183	и чем	1	4
184	само по	1	4
185	только что	1	3
186	что то	1	3
187	другой стороны	1	3
188	быть может	6	3
189	нет никакого	1	3
190	и само	1	3
191	сами по	3	3
192	заключается в	3	3
193	сущности не	1	3
194	если он	1	3
195	отношения к	2	3
196	в собственном	1	3
197	не имеет	1	3
198	своего существования	1	3
199	ни к	1	3
200	было в	2	3
201	применении к	1	3
202	одной стороны	3	3
203	отрыве от	1	3
204	с которой	1	3
205	только один	1	3
206	только на	1	3
207	в истории	1	3
208	не все	1	3
209	казалось бы	1	3
210	мы возьмем	1	3
211	чтобы это	1	3
212	с одной	3	3
213	бы что	1	3
214	в виде	2	3
215	же как	1	3
216	идеи и	1	3
217	не нужно	2	3
218	в а	2	3
219	тем более	2	3
220	этих двух	1	3
221	но как	1	3
222	и эти	1	3
223	а с	1	3
224	является и	1	3
225	для тех	2	3
226	есть как	1	3
227	в частности	2	3
228	и смысла	1	3
229	нужно было	2	3
230	кто не	1	3
231	что из	2	3
232	для того	3	3
233	в отрыве	1	3
234	все еще	1	3
235	бы ни	2	3
236	может и	2	3
237	не к	2	3
238	т н	1	3
239	а я	5	3
240	и к	4	2
241	от нее	1	2
242	и другие	1	2
243	является в	2	2
244	и уже	1	2
245	можно говорить	1	2
246	в с	4	2
247	и на	1	2
248	и который	1	2
249	тех кто	4	2
250	в применении	1	2
251	есть для	1	2
