N	4gram	Bakhtin_Fr	Tvorches
1	в то же время	5	24
2	и в то же	2	6
3	но в то же	2	6
4	дело в том что	2	4
5	и не может быть	2	3
6	нет и не может	1	2
7	в том числе и	7	2
8	том числе и на	2	1
9	на самом же деле	3	1
10	как бы самое время	1	1
11	все более и более	1	1
12	так и не стал	1	1
13	на мир и на	1	1
14	одна и та же	1	1
15	мы уже говорили о	1	1
16	в их неразрывном единстве	1	1
17	или во всяком случае	1	1
18	мы уже говорили что	3	1
19	мы имеем в виду	1	1
20	до сих пор еще	4	1
21	что с точки зрения	1	1
22	отвлеченной мысли и не	1	1
