N	3gram	Bakhtin_Pr	Tragedij
1	униженных и оскорбленных	2	16
2	в униженных и	1	6
3	то же время	8	5
4	в то же	8	5
5	так и в	2	3
6	в романе идиот	1	3
7	в том что	6	2
8	но в то	3	2
9	преступлении и наказании	4	2
10	в данном случае	1	2
11	и в дальнейшем	2	2
12	о том что	3	2
13	в записках из	1	2
14	и в самом	1	2
15	в отличие от	1	2
16	в преступлении и	4	2
17	в рассказе бобок	1	1
18	и он сам	1	1
19	и если б	3	1
20	это очень важный	1	1
21	в какой-то мере	5	1
22	а я знаю	1	1
23	от достоевского чтобы	1	1
24	и прозе достоевский	1	1
25	романах достоевского все	1	1
26	как своего рода	2	1
27	в этом романе	2	1
28	в одном из	1	1
29	ничем не ограниченного	1	1
30	друг друга и	1	1
31	и даже отчасти	1	1
32	что он не	1	1
33	а между тем	2	1
34	в бесах с	1	1
35	все как бы	1	1
36	петра верховенского с	1	1
37	в обоих случаях	1	1
38	смысле этого слова	2	1
39	и всегда будет	1	1
40	особое значение для	1	1
41	в конце концов	1	1
42	самостоятельное значение и	1	1
43	в мире достоевского	1	1
44	как и его	1	1
45	добрую природу человека	1	1
46	в применении к	1	1
47	в той же	1	1
48	и вместе с	1	1
49	то что он	1	1
50	не может быть	8	1
51	в этом мире	1	1
52	один из авторов	1	1
53	записках из подполья	1	1
54	в селе степанчикове	1	1
55	роль в романе	1	1
56	имеют особое значение	1	1
57	но при этом	1	1
58	я не хочу	1	1
59	в этом случае	1	1
60	с авантюрным сюжетом	1	1
61	по сравнению с	6	1
62	в чем же	1	1
63	с самого начала	4	1
64	как мертвецы в	1	1
65	и то что	1	1
66	как и все	1	1
67	в xix веке	3	1
68	у него нет	1	1
69	настасья филипповна в	1	1
70	подчеркнуть что образ	1	1
71	значение для понимания	1	1
72	но это уже	1	1
73	в высшей степени	1	1
74	стихах и прозе	1	1
75	хотя бы и	2	1
76	романа и в	2	1
77	как и в	4	1
78	в связи с	1	1
79	в двойнике и	1	1
80	которую вы так	1	1
81	не знать и	1	1
82	мы бы сказали	1	1
83	во всяком случае	1	1
84	к тому что	1	1
85	если б я	2	1
86	тем не менее	2	1
87	в братьях карамазовых	4	1
88	все в этом	1	1
89	в исповеди ставрогина	1	1
90	ну а я	1	1
91	в романе бесы	1	1
92	позиции в мире	1	1
93	в известной мере	3	1
94	и оскорбленных нелли	1	1
95	в стихах и	1	1
96	одном из своих	1	1
97	романа достоевского в	1	1
98	отметить что в	1	1
99	не к области	1	1
100	у достоевского в	2	1
101	после того как	1	1
102	достоевский в году	1	1
103	все же не	1	1
104	и не может	6	1
105	и в этом	1	1
106	ни за что	1	1
