N	4gram	Voloshinov	Myslijsy
1	в то же время	7	13
2	но тем не менее	1	10
3	одного и того же	9	9
4	одной и той же	2	7
5	одно и то же	3	7
6	один и тот же	3	4
7	и в свою очередь	1	4
8	и в том что	1	4
9	не что иное как	1	4
10	все более и более	2	4
11	дело в том что	1	4
12	одним и тем же	2	4
13	что же касается до	1	3
14	в том что он	3	3
15	до тех пор пока	2	3
16	и та и другая	1	3
17	и в таком случае	1	3
18	с этой точки зрения	1	3
19	но во всяком случае	1	3
20	с одной стороны и	1	3
21	не говоря уже о	1	3
22	тем не менее в	1	3
23	языка по отношению к	1	2
24	уже с самого начала	2	2
25	то же самое что	1	2
26	смысле этого слова и	1	2
27	и то же слово	2	2
28	говоря уже о том	1	2
29	уже о том что	1	2
30	бы они ни были	1	2
31	одна и та же	1	2
32	бы то ни было	11	2
33	так а не иначе	1	2
34	вопрос о происхождении языка	1	2
35	именно в том что	1	1
36	для одного и того	2	1
37	как мы уже сказали	1	1
38	в более или менее	1	1
39	то с другой стороны	1	1
40	языка не может быть	1	1
41	же в таком случае	1	1
42	нет и не может	2	1
43	второй половины xix века	1	1
44	в том что это	1	1
45	а может быть и	1	1
46	но этого еще мало	1	1
47	если бы это было	1	1
48	ни начала ни конца	1	1
49	сводится к тому что	1	1
50	самый вопрос о том	1	1
51	языка с одной стороны	1	1
52	то же самое слово	1	1
53	с другой стороны и	1	1
54	этот вопрос мы не	1	1
55	друг с другом и	1	1
56	себе не может быть	1	1
57	то же самое делает	1	1
58	на этот вопрос мы	2	1
59	не может еще дать	1	1
60	не может обойтись без	1	1
61	до сих пор не	1	1
62	в их отношении к	1	1
63	в большей или меньшей	1	1
64	и не может быть	5	1
65	иначе и быть не	1	1
66	как мы видим все	1	1
67	себе отчет в том	1	1
68	тем не менее совершенно	1	1
69	в том числе и	3	1
70	по мере приближения к	1	1
71	отчет в том что	1	1
72	и сама по себе	1	1
73	не будет никаких оснований	1	1
74	с точки зрения этого	1	1
75	которое рано или поздно	1	1
76	по отношению к нему	1	1
77	могут быть сведены к	1	1
78	одну и ту же	1	1
79	язык имеет свою историю	1	1
80	так же как и	2	1
