N	3gram	Losev_Prob	VrazhdaK
1	и все же	1	5
2	то же время	1	4
3	в то же	2	4
4	в русской литературе	3	3
5	как и у	2	3
6	в связи с	11	3
7	в том что	13	2
8	не может быть	2	2
9	но в то	2	2
10	как раз в	1	2
11	с точки зрения	13	2
12	тургенев и некрасов	1	2
13	тургенева и некрасова	1	2
14	и о том	2	2
15	в году в	1	2
16	все же в	1	1
17	но для нас	1	1
18	общего ни с	2	1
19	войне и мире	1	1
20	в свою очередь	2	1
21	в ту эпоху	1	1
22	в войне и	1	1
23	в то время	4	1
24	далеко не все	1	1
25	в конце концов	7	1
26	преступлении и наказании	1	1
27	и в котором	1	1
28	равно как и	2	1
29	это не просто	1	1
30	о том как	1	1
31	достоевский прежде всего	1	1
32	точно так же	4	1
33	но это не	1	1
34	что в ней	1	1
35	на то что	2	1
36	и во всем	1	1
37	ничего общего ни	2	1
38	к себе на	1	1
39	по крайней мере	8	1
40	и никогда не	2	1
41	в этом смысле	4	1
42	заключается в том	1	1
43	а с другой	3	1
44	имеется в виду	1	1
45	и то что	3	1
46	не только не	1	1
47	о том что	14	1
48	в мировой литературе	1	1
49	уже в году	1	1
50	до сих пор	3	1
51	нет ничего общего	2	1
52	в это время	3	1
53	в том же	1	1
54	или по крайней	1	1
55	с тех пор	1	1
56	во всяком случае	6	1
57	что у человека	1	1
58	тем не менее	8	1
59	все равно не	1	1
60	то что я	1	1
61	едва ли не	1	1
62	с другой стороны	7	1
63	в известном смысле	1	1
64	связи с этим	1	1
65	дон кихота сервантеса	1	1
66	всего то что	2	1
67	что у него	1	1
68	это и есть	2	1
69	на первый взгляд	1	1
70	не только как	1	1
71	в этом отношении	4	1
72	и что он	1	1
73	все же не	3	1
74	в преступлении и	1	1
75	и в этом	1	1
76	говорит о себе	2	1
