N	4gram	Vinokur_Ku	Narrotol
1	в то же время	4	8
2	состоит в том что	4	6
3	дело в том что	1	3
4	той мере в какой	6	2
5	в той мере в	6	2
6	и в то же	1	2
7	одного и того же	2	2
8	одно и то же	1	2
9	еще и потому что	1	2
10	точно так же как	3	2
11	с этой точки зрения	3	1
12	в том смысле что	1	1
13	не что иное как	2	1
14	но для того чтобы	1	1
15	до сих пор еще	1	1
16	что с точки зрения	1	1
17	не для того чтобы	1	1
18	в том смысле как	1	1
19	и то же слово	1	1
20	ведь каждый из нас	1	1
21	не только потому что	3	1
22	т п все эти	1	1
23	и т п все	2	1
24	в том что и	1	1
25	бы то ни было	1	1
26	совсем не в том	1	1
27	позицию по отношению к	1	1
28	зависит не только от	1	1
29	чтобы рассказать о событии	1	1
30	и в самом деле	4	1
31	о том что в	1	1
32	по отношению к которому	1	1
33	со своей точки зрения	1	1
34	по мере того как	3	1
35	в том что он	3	1
36	в том что на	1	1
37	свидетельствует о том что	1	1
38	в том случае если	3	1
39	лишь в том случае	1	1
40	о том что если	1	1
41	и с точки зрения	1	1
42	и тем не менее	4	1
43	для обозначения различного рода	1	1
44	никак не может быть	1	1
45	какой бы то ни	1	1
46	ли в самом деле	1	1
47	не в том что	1	1
48	ни тот ни другой	1	1
49	ответ на этот вопрос	1	1
50	в том или ином	1	1
51	есть не что иное	1	1
