N	3gram	Vinokur_St	Vladivir
1	в том что	29	29
2	о том что	19	22
3	тем не менее	4	18
4	что же касается	3	14
5	и то что	2	14
6	в письме к	5	13
7	в то время	2	13
8	дело в том	7	13
9	во всяком случае	8	12
10	содержит в себе	1	11
11	более или менее	2	11
12	в конце концов	2	11
13	к тому же	2	11
14	не может быть	5	10
15	в то же	5	10
16	вместе с тем	2	10
17	с точки зрения	10	10
18	то что он	3	9
19	в этом смысле	2	9
20	на этот раз	2	9
21	то же время	5	9
22	а также и	2	8
23	на то что	5	8
24	точно так же	2	7
25	в свое время	3	7
26	в это время	3	7
27	так или иначе	3	6
28	в данном случае	7	6
29	том что в	4	6
30	в отличие от	1	6
31	также и то	1	6
32	с другой стороны	8	6
33	и в этом	4	6
34	в настоящее время	2	6
35	можно судить по	1	6
36	том что он	6	6
37	он никогда не	1	5
38	но даже и	1	5
39	и в то	1	5
40	бы то ни	2	5
41	само собой разумеется	1	5
42	и в том	3	5
43	он не только	2	5
44	то что в	3	5
45	не говоря уже	2	5
46	не только в	4	5
47	то время как	1	5
48	что и в	4	5
49	себе отчет в	1	4
50	говоря уже о	2	4
51	в том же	3	4
52	для того чтобы	13	4
53	в этом отношении	13	4
54	сам по себе	1	4
55	сказать что в	3	4
56	и вместе с	1	4
57	что в этом	1	4
58	и т д	25	4
59	в том чтобы	1	4
60	по крайней мере	2	4
61	заключается в том	4	4
62	можно было бы	8	4
63	с одной стороны	2	4
64	также и в	1	4
65	на эту тему	4	4
66	что он не	5	3
67	ни в каком	1	3
68	хотя бы и	2	3
69	а то что	1	3
70	в самом деле	7	3
71	в котором он	2	3
72	в том числе	3	3
73	что в своем	3	3
74	не в том	3	3
75	во что бы	1	3
76	но и вполне	1	3
77	в том случае	1	3
78	ничего общего с	3	3
79	свидетельствует о том	1	3
80	иметь в виду	2	3
81	и в отношении	1	3
82	даже и в	1	3
83	а с другой	1	3
84	а в том	1	3
85	не только не	2	3
86	всей его жизни	1	3
87	по этому поводу	4	3
88	это вовсе не	1	3
89	к тому что	4	3
90	только то что	1	3
91	но это не	1	3
92	во второй половине	1	3
93	или иначе но	1	3
94	не имеет никакого	1	3
95	собой разумеется что	1	3
96	на французском языке	1	3
97	на себя внимание	1	3
98	только в том	3	3
99	тем более что	2	3
100	что бы то	1	3
101	и притом в	1	3
102	так что в	1	3
103	с самого начала	3	3
104	в первую очередь	2	3
105	между прочим и	1	3
106	у нас нет	7	3
107	то ни стало	1	3
108	так же как	5	2
109	но то что	1	2
110	имеет ничего общего	2	2
111	второй половины xix	1	2
112	а не на	1	2
113	в конце года	1	2
114	и не в	1	2
115	в вопросе о	1	2
116	и на этот	1	2
117	то что с	1	2
118	был напечатан в	1	2
119	об этом не	1	2
120	можно только при	1	2
121	обращает на себя	2	2
122	совершенно так же	1	2
123	в этом споре	1	2
124	что у него	1	2
125	так и в	5	2
126	до сих пор	12	2
127	в этой области	5	2
128	не так уж	1	2
129	и в своих	1	2
130	для своего времени	1	2
131	не имеет ничего	2	2
132	то ни было	1	2
133	не может не	1	2
134	имел в виду	1	2
135	свидетельствуют о том	2	2
136	не то что	1	2
137	так как в	2	2
138	уже о том	2	2
139	те или иные	1	2
140	из рукописей а	1	2
141	то что у	2	2
142	отдавая себе отчет	1	2
143	в ответ на	1	2
144	сих пор не	1	2
145	в том и	1	2
146	за то что	5	2
147	но и здесь	2	2
148	да и в	3	2
149	но дело в	1	2
150	я не согласен	1	2
151	ни в чем	1	2
152	и без того	1	2
153	в которой он	1	2
154	по возвращении в	1	2
155	об этом и	1	2
156	вплоть до последних	1	2
157	из письма к	1	2
158	но в то	2	2
159	том что и	1	2
160	так же и	1	2
161	одно и то	1	2
162	и то же	1	2
163	в этом случае	3	2
164	и то обстоятельство	1	2
165	при таких условиях	1	2
166	что в нем	2	2
167	и что в	1	2
168	то обстоятельство что	3	2
169	в котором все	1	2
170	как это делает	1	2
171	если бы мы	2	2
172	после того как	5	2
173	и это самое	1	2
174	может быть и	2	2
175	нечего и говорить	1	2
176	в его работе	1	1
177	для него самого	2	1
178	он был очень	1	1
179	но все эти	1	1
180	как и всякая	1	1
181	как будто бы	1	1
182	это вовсе еще	1	1
183	я вовсе не	3	1
184	ведь и сам	1	1
185	и в данном	2	1
186	не потому ли	2	1
187	что же это	1	1
188	шесть лет раньше	1	1
189	и даже не	2	1
