N	3gram	Savitsky_E	TeoriaLi
1	в том что	6	10
2	не сводится к	1	9
3	в то же	15	8
4	то же время	14	8
5	в отличие от	1	7
6	того или иного	4	6
7	с другой стороны	2	6
8	более или менее	1	6
9	не может быть	2	5
10	для того чтобы	5	5
11	в данном случае	2	5
12	одного и того	1	4
13	и того же	1	4
14	в свою очередь	2	3
15	той или иной	4	3
16	с точки зрения	16	3
17	в этом смысле	3	3
18	в том числе	1	3
19	можно сказать что	3	3
20	тех или иных	1	3
21	в связи с	1	3
22	с одной стороны	8	3
23	в противном случае	1	2
24	по большей части	1	2
25	этой точки зрения	5	2
26	с этой точки	5	2
27	и некоторые иные	1	2
28	в отношении к	12	2
29	но в то	2	2
30	том числе и	1	2
31	в этом мире	1	2
32	и тем самым	1	2
33	и в то	8	2
34	в соответствии с	1	2
35	то ни было	4	2
36	не могут быть	1	2
37	к тому что	1	2
38	бы то ни	4	2
39	в известном смысле	3	2
40	ту или иную	3	2
41	в значительной степени	1	2
42	может быть и	1	2
43	и не быть	1	1
44	заключающее в себе	1	1
45	в той или	3	1
46	том случае если	1	1
47	принадлежат к числу	1	1
48	то есть в	1	1
49	и прежде всего	3	1
50	в известной степени	3	1
51	в большинстве случаев	2	1
52	заключается в том	2	1
53	он мог бы	1	1
54	то или иное	1	1
55	заключает в себе	3	1
56	они обращены к	1	1
57	а также в	1	1
58	и тем более	1	1
59	также и по	1	1
60	связи с этим	1	1
61	друг от друга	2	1
62	существенное значение в	1	1
63	одной стороны и	6	1
64	в одной из	1	1
65	в том случае	1	1
66	дело в том	1	1
67	то что может	1	1
68	именно потому что	1	1
69	в другой своей	1	1
70	и в частности	2	1
71	в то время	1	1
72	прежде всего к	2	1
73	речь идет о	1	1
74	в лучшем случае	1	1
75	из того что	2	1
76	так же как	5	1
77	а тем более	2	1
78	их отношении к	3	1
79	не только отдельные	1	1
80	к тому же	1	1
81	но не в	1	1
82	имеет место в	2	1
83	как столь же	1	1
84	как это случается	1	1
85	между тем в	3	1
86	та или иная	1	1
87	в их отношении	3	1
88	не более чем	2	1
89	в полной мере	1	1
