N	2gram	Bakhtin_fo	PoTuStor
1	может быть	18	17
2	и в	84	16
3	и пр	2	12
4	таким образом	14	9
5	в этом	41	9
6	прежде всего	28	9
7	мы можем	2	9
8	и проч	5	9
9	и только	3	9
10	совершенно не	3	8
11	точки зрения	14	8
12	и с	10	8
13	не может	8	8
14	и его	26	8
15	не только	16	7
16	сказать что	4	7
17	с его	10	7
18	и к	4	6
19	при этом	8	6
20	для него	5	6
21	самом деле	2	6
22	к отцу	1	6
23	я и	1	6
24	и это	5	6
25	конечно не	7	6
26	с точки	9	6
27	ни в	9	5
28	все эти	12	5
29	только для	2	5
30	в чем	3	5
31	еще не	8	5
32	как бы	11	5
33	отношение к	5	5
34	нуждается в	1	5
35	в него	2	5
36	все что	2	4
37	для всех	3	4
38	и на	13	4
39	так как	12	4
40	все это	10	4
41	в его	19	4
42	так и	17	4
43	на самом	1	4
44	по ту	2	4
45	его в	8	4
46	и даже	5	4
47	и все	10	4
48	с ними	1	4
49	только в	12	4
50	и не	19	4
51	но мы	1	4
52	можно сказать	2	4
53	с самого	3	4
54	но и	14	4
55	хотя бы	2	4
56	и может	2	4
57	и их	11	4
58	самого начала	3	4
59	в этой	3	4
60	как мы	19	4
61	мифов и	1	4
62	отнюдь не	7	4
63	в нем	28	4
64	с ее	7	4
65	в один	2	4
66	и ее	4	4
67	и наконец	6	4
68	но в	16	4
69	и вот	2	3
70	ребенка и	1	3
71	до сих	4	3
72	в основном	12	3
73	к себе	8	3
74	в том	16	3
75	те же	5	3
76	с другими	3	3
77	с их	2	3
78	на этой	4	3
79	между ними	5	3
80	их в	6	3
81	отношения к	7	3
82	учение о	1	3
83	и как	12	3
84	что в	9	3
85	том что	7	3
86	большинстве случаев	2	3
87	вместе с	9	3
88	на этом	2	3
89	в этих	6	3
90	мира и	6	3
91	и художественного	3	3
92	сравнению с	3	3
93	и оно	1	3
94	во всех	13	3
95	но оно	2	3
96	во всяком	5	3
97	и потому	4	3
98	реальности и	1	3
99	в основе	9	3
100	и притом	1	3
101	тех же	2	3
102	по сравнению	3	3
103	как это	2	3
104	только на	3	3
105	в одном	10	3
106	даже не	2	3
107	пр и	1	3
108	чем не	5	3
109	а в	6	3
110	в большинстве	3	3
111	то что	13	3
112	и др	13	3
113	могут быть	7	3
114	и есть	3	3
115	сих пор	4	3
116	в общем	1	3
117	жизни и	12	3
118	в области	1	3
119	всяком случае	1	3
120	во время	7	3
121	в самом	9	2
122	об его	1	2
123	всей последующей	1	2
