N	2gram	Berdyaev_O	VelikijI
1	великого инквизитора	1	36
2	во имя	3	32
3	великий инквизитор	8	31
4	и не	13	20
5	и в	19	16
6	свободы и	2	12
7	так как	2	9
8	то что	5	9
9	в истории	2	8
10	в пустыне	1	8
11	от бога	1	8
12	к богу	1	8
13	еще не	3	8
14	и потому	2	7
15	что они	2	7
16	а не	11	7
17	на земле	4	7
18	свободной любви	3	6
19	человека и	10	6
20	не есть	2	6
21	что есть	2	5
22	хотя и	2	5
23	того что	3	5
24	все это	6	5
25	ты не	1	5
26	как бы	3	5
27	бога и	1	5
28	великом инквизиторе	6	5
29	в мире	1	5
30	но и	13	5
31	имя твое	1	5
32	все что	3	4
33	в котором	1	4
34	в этом	12	4
35	потому что	9	4
36	в его	7	4
37	в ней	1	4
38	так и	2	4
39	с богом	2	4
40	и есть	3	4
41	и все	10	4
42	что не	4	4
43	счастье людей	1	4
44	великих и	1	4
45	что все	2	4
46	как и	6	4
47	что он	3	4
48	сделать людей	3	4
49	в силах	1	4
50	нет у	1	4
51	и я	1	4
52	в нем	10	4
53	о великом	6	4
54	что в	4	3
55	нет ничего	7	3
56	к счастью	1	3
57	бы и	1	3
58	и против	2	3
59	не нужна	1	3
60	в конце	1	3
61	должно быть	2	3
62	этого мира	2	3
63	тех которые	1	3
64	в первый	1	3
65	хотя бы	3	3
66	в том	5	3
67	десятки тысяч	1	3
68	имя свободы	1	3
69	миллионов счастливых	1	3
70	любовь к	2	3
71	личности и	2	3
72	хлеб небесный	1	3
73	от которого	1	3
74	гадательного и	1	3
75	хлеб земной	1	3
76	не в	11	3
77	не захотел	1	3
78	и что	1	3
79	что и	2	3
80	свободы от	1	3
81	они в	1	3
82	в этих	3	3
83	ты отверг	1	3
84	в них	1	3
85	не было	9	3
86	христа в	1	3
87	лишь в	7	3
88	к чему	1	3
89	инквизитор говорит	2	3
90	что во	1	3
91	необычайного гадательного	1	3
92	в жизни	1	3
93	человеческого благополучия	2	3
94	в своей	2	3
95	должна быть	1	3
96	и вечной	1	3
97	с его	4	3
98	от этого	1	3
99	не имеет	2	3
100	но это	1	3
101	и для	2	3
102	жизни и	1	3
103	есть необычайного	1	3
104	все эти	4	3
105	но в	2	3
106	никогда не	9	3
107	людей в	1	3
108	чтобы сделать	1	2
109	за тобою	1	2
110	что было	1	2
111	всего в	2	2
112	во всяком	1	2
113	от него	7	2
114	инквизитор хочет	1	2
115	его и	1	2
116	жизни все	3	2
117	дороги лишь	1	2
118	ее и	1	2
119	не сошел	1	2
120	над ними	1	2
121	они испугались	2	2
122	один из	1	2
123	начала ведет	1	2
124	нам дороги	1	2
125	не могли	2	2
126	они и	1	2
127	которым можно	1	2
128	и вечно	1	2
129	чтобы овладеть	1	2
130	его не	2	2
131	не так	1	2
132	того чтобы	4	2
133	это не	3	2
134	путь которым	1	2
135	это все	1	2
136	вместо того	2	2
137	как песок	1	2
138	дороги и	1	2
139	не только	11	2
140	для него	5	2
141	человека как	1	2
142	и неопределенного	1	2
143	ивана карамазова	7	2
144	и тогда	1	2
145	с ним	3	2
146	выше всего	2	2
147	на этих	1	2
148	не любя	1	2
149	ее в	2	2
150	и то	2	2
151	не с	1	2
152	с тобой	1	2
153	имя счастья	1	2
154	прежде всего	9	2
155	можно было	1	2
156	в форме	1	2
157	людей и	1	2
158	и это	1	2
159	тебе дороги	1	2
160	мы не	1	2
161	тысяч великих	1	2
162	сильных? нет	1	2
163	тогда уже	2	2
164	а с	1	2
165	те которые	2	2
166	поступил как	2	2
167	выше всякого	1	2
168	а в	5	2
169	христос отверг	1	2
170	истории и	1	2
171	и сам	1	2
172	более всех	1	2
173	счастливых младенцев	1	2
174	чудом и	1	2
175	раз навсегда	1	2
176	но не	1	2
177	и никогда	2	2
178	тем что	2	2
179	легенда о	2	2
180	духа и	1	2
181	могут быть	3	2
182	жаждал свободной	2	2
183	ничего и	2	2
184	тысячи миллионов	1	2
185	с тем	2	2
186	в аристократизме	1	2
187	аристократизме в	1	2
188	для счастья	1	2
189	одна из	1	2
190	лишь десятки	1	2
191	и сильных?	1	2
192	так для	1	2
193	божественной жизни	1	2
194	и успокоения	1	2
195	людей счастливыми	2	2
196	свободной и	1	2
197	не могут	3	2
198	да и	1	2
199	есть уже	1	2
200	том что	2	2
201	мир и	1	2
202	песок морской	1	2
203	и бунтовщики	1	2
204	от свободы	1	2
205	для человека	2	2
206	с креста	1	2
207	нем нет	3	2
208	что их	1	2
209	нет нам	1	2
210	уже не	1	2
211	мира в	1	2
212	по силам	1	1
213	в великом	1	1
214	влагает в	1	1
215	вечно неблагородного	1	1
216	свобода и	2	1
217	духа ты	1	1
218	и страшатся	1	1
219	боятся они	1	1
220	и мир	1	1
221	в новом	1	1
222	в самом	5	1
223	во всем	1	1
224	неужто же	1	1
225	природы в	2	1
226	и человеческого	1	1
227	сделали так	1	1
228	связь с	1	1
229	благополучия и	1	1
230	люди что	1	1
231	ее еще	1	1
232	было не	1	1
233	страшных даров?	1	1
234	а потому	1	1
235	и жаждал	1	1
236	человека в	11	1
237	все в	4	1
238	людского племени	1	1
239	и впрямь	1	1
240	тысячи лет	1	1
241	человеческой души	6	1
242	часто тогда	1	1
243	и самое	1	1
244	и скажет	1	1
245	ужаснувшим но	1	1
246	ты можешь	1	1
247	самой жизни	1	1
248	вдоволь для	1	1
249	могуществом раз	1	1
250	для нашего	1	1
251	людей свободы	1	1
252	осмыслить которого	1	1
253	человек был	3	1
254	любви и	1	1
255	с гордостью	1	1
256	из сторон	1	1
257	малосильны порочны	1	1
258	побороли свободу	1	1
259	обвиняет христа	1	1
260	не рабских	1	1
261	с голыми	1	1
262	он говорит	1	1
263	будто бы	1	1
264	и на	2	1
265	их веры	1	1
266	она и	1	1
267	всего еще	1	1
268	тому кто	1	1
269	ты обещал	1	1
270	ее мучениями	1	1
271	свободно пошел	1	1
272	вопрос о	10	1
273	сошел с	1	1
274	что бог	1	1
275	и плененный	1	1
276	же и	1	1
277	может быть	11	1
278	людях слишком	1	1
279	но вспомни	1	1
280	что нет	1	1
281	после того	1	1
282	достоинства человека	1	1
283	к человеку	9	1
284	ты хочешь	1	1
285	униженным и	1	1
286	тогда говорил	1	1
287	не имеют	1	1
288	ты ли	1	1
289	слабого вечно	1	1
290	бытие не	1	1
291	и сделали	1	1
292	свобода человека	1	1
293	человеколюбия и	1	1
294	человека не	1	1
295	обетом свободы	1	1
296	а остальные?	1	1
297	чтобы человек	1	1
298	лет назад	1	1
299	и хлеб	1	1
300	могли вытерпеть	1	1
301	указать на	1	1
302	того как	1	1
303	эта не	1	1
304	свободой людей	1	1
305	быть счастливыми?	1	1
306	из образов	1	1
307	ним вот	1	1
308	поработить человека	1	1
309	из полюсов	1	1
310	захотел поработить	1	1
311	человека вовеки	1	1
312	и вот	3	1
313	его с	1	1
314	она не	1	1
315	уже в	2	1
316	задача которая	1	1
