N	4gram	Tiupa_Teor	KulturaY
1	и в самом деле	2	10
2	той мере в какой	1	7
3	в той мере в	1	7
4	в то же время	8	6
5	с этой точки зрения	2	5
6	состоит в том что	5	4
7	одного и того же	4	4
8	заключается в том что	1	4
9	в том случае если	1	3
10	а с другой стороны	1	3
11	в том что он	2	3
12	точно так же как	1	3
13	обращает на себя внимание	1	2
14	в той или иной	1	2
15	не что иное как	1	2
16	и в то же	2	2
17	одним и тем же	1	2
18	в конечном счете к	1	2
19	в виду не только	3	1
20	ни в коем случае	2	1
21	в нашем языковом сознании	1	1
22	в том что она	1	1
23	одно и то же	2	1
24	дело в том что	1	1
25	по себе еще не	1	1
26	иметь в виду что	1	1
27	позицию по отношению к	1	1
28	в войне и мире	2	1
29	в связи с этим	1	1
30	можно сказать что для	1	1
31	сама по себе еще	1	1
32	которые лежат в основе	1	1
33	одном и том же	1	1
34	в том или ином	1	1
35	мы имеем в виду	3	1
36	в этом смысле можно	1	1
37	как это имеет место	1	1
38	в одном и том	1	1
39	из уст в уста	1	1
40	бы то ни было	2	1
41	приводит к тому что	2	1
42	никак не может быть	1	1
43	какой бы то ни	1	1
44	в том и состоит	1	1
45	имеем в виду не	3	1
46	еще и потому что	1	1
47	есть не что иное	1	1
