N	2gram	Vinokur_St	Myslijsy
1	потому что	13	182
2	то есть	2	142
3	и в	61	121
4	может быть	16	107
5	в том	56	103
6	то что	27	83
7	в слове	5	78
8	для нас	7	75
9	что в	41	73
10	и не	23	73
11	только в	11	72
12	не только	36	67
13	а не	19	67
14	таким образом	16	64
15	в этом	37	59
16	но и	28	59
17	том что	49	59
18	так как	7	59
19	то же	7	56
20	не в	15	54
21	если бы	11	53
22	в себе	3	53
23	по себе	3	52
24	не может	10	52
25	того что	14	47
26	в сознании	2	46
27	было бы	21	45
28	и проч	1	45
29	в нем	9	45
30	как и	11	42
31	так что	8	39
32	вместе с	5	39
33	что и	8	38
34	мы не	3	38
35	при этом	4	37
36	как в	15	37
37	так и	15	37
38	тогда когда	1	36
39	что мы	5	36
40	точно так	2	35
41	тем что	6	33
42	и что	8	32
43	по отношению	3	30
44	а в	18	30
45	что не	3	29
46	между тем	7	29
47	но не	5	29
48	вовсе не	24	28
49	мы можем	1	28
50	для него	10	28
51	есть только	2	28
52	с этим	6	27
53	могут быть	5	27
54	не было	7	26
55	независимо от	1	26
56	и т	36	26
57	то и	1	26
58	отношению к	3	26
59	языка и	4	25
60	этого слова	2	25
61	в то	10	24
62	с тем	3	23
63	как бы	8	23
64	того как	8	23
65	от того	1	23
66	а потому	2	22
67	что слово	1	22
68	то это	3	22
69	с другой	11	22
70	не имеет	5	22
71	но в	16	22
72	и потому	3	21
73	не менее	8	21
74	мысль о	2	20
75	в одном	7	20
76	это не	8	20
77	в ней	9	20
78	и как	2	19
79	но это	9	19
80	сказать что	9	19
81	того же	4	19
82	тем не	4	19
83	что это	5	19
84	и то	6	19
85	из этих	7	19
86	о том	30	19
87	тем самым	2	19
88	в самом	14	18
89	в таком	4	18
90	там же	1	18
91	для того	15	18
92	по поводу	13	18
93	не могут	2	18
94	очевидно что	1	18
95	бы не	2	18
96	в каком	4	18
97	тогда как	1	18
98	что я	3	18
99	еще не	4	18
100	точки зрения	16	17
101	крайней мере	2	17
102	со стороны	7	17
103	по крайней	2	17
104	заметить что	1	17
105	что оно	4	17
106	уже в	3	17
107	в его	19	17
108	во всяком	8	17
109	слова в	1	17
110	и на	7	16
111	к тому	9	16
112	так же	7	16
113	в своем	8	16
114	в которой	13	16
115	а только	1	16
116	в них	2	16
117	или же	3	16
118	если б	5	16
119	и наоборот	1	16
120	на то	5	16
121	в этих	5	15
122	уже не	1	15
123	с одной	3	15
124	и тем	3	15
125	и по	6	15
126	что он	23	15
127	т д	25	15
128	прежде всего	11	15
129	в ряду	1	15
130	думать что	2	15
131	без сомнения	1	15
132	на деле	1	14
133	все же	12	14
134	в одно	1	14
135	в котором	11	14
136	то в	3	14
137	связи с	3	14
138	во всех	8	14
139	когда мы	1	14
140	столь же	5	14
141	бы ни	3	14
142	там где	6	14
143	должны быть	4	14
144	сам по	1	14
145	и язык	1	14
146	в истории	5	14
147	же время	5	14
148	и без	4	14
149	мысли в	1	14
150	те же	1	13
151	например в	8	13
152	а между	2	13
153	как на	10	13
154	из них	11	13
155	что все	3	13
156	т п	11	13
157	и все	3	13
158	не следует	1	13
159	том смысле	4	13
160	смысле этого	2	13
161	образом в	1	13
162	и его	11	13
163	от него	1	12
164	одно из	3	12
165	другой стороны	9	12
166	до сих	13	12
167	более или	2	12
168	не то	1	12
169	никогда не	7	12
170	и при	1	12
171	хотя и	4	12
172	и вместе	1	12
173	в чем	4	12
174	сих пор	12	12
175	в каждом	3	12
176	оно не	3	12
177	всяком случае	8	12
178	что же	6	12
179	себе представить	1	12
180	только потому	2	12
181	что такое	2	12
182	все это	13	12
183	есть в	2	12
184	или менее	2	12
185	тем более	4	12
186	как мы	1	12
187	что на	3	12
188	все что	1	11
189	что человек	1	11
190	в первом	2	11
191	имеет для	1	11
192	которые мы	1	11
193	только на	1	11
194	и это	4	11
195	к нему	2	11
196	его в	4	11
197	и притом	1	11
198	сами по	2	11
199	того чтобы	15	11
200	быть не	2	11
201	к ней	1	11
202	той же	5	11
203	с нею	3	11
204	что для	4	11
205	если не	4	11
206	и вообще	5	11
207	к одному	1	11
208	и только	3	11
209	и их	3	11
210	же в	1	11
211	и с	6	10
212	хотя бы	8	10
213	одной стороны	2	10
214	представить себе	1	10
215	что при	3	10
216	это слово	6	10
217	что как	3	10
218	в других	2	10
219	бы в	2	10
220	мысль что	1	10
221	тем и	1	10
222	что только	2	10
223	и от	2	10
224	и есть	1	10
225	бы быть	1	10
226	он не	11	10
227	то время	2	10
228	мы говорим	1	10
229	том как	4	10
230	тех пор	1	10
231	если мы	1	10
232	тем же	3	10
233	и для	4	10
234	слово в	1	10
235	и другое	1	10
236	так в	1	10
237	и понимания	1	10
238	между прочим	10	10
239	только по	1	10
240	тому что	8	10
241	то не	3	9
242	и даже	8	9
243	вопрос о	9	9
244	во многих	3	9
245	связь между	1	9
246	до того	4	9
247	на него	3	9
248	что она	5	9
249	на язык	1	9
250	поэзии и	3	9
251	во время	5	9
252	для самого	1	9
253	не будет	1	9
254	один из	1	9
255	известно что	2	9
256	самом деле	14	9
257	никто не	4	9
258	но оно	1	9
259	с точки	10	9
260	это было	2	9
261	не все	3	9
262	разница между	3	9
263	и других	1	9
264	далеко не	1	9
265	в целом	5	9
266	и о	4	9
267	можно сказать	2	9
268	по тому	1	8
269	которые не	3	8
270	говорить о	3	8
271	не как	2	8
272	но все	9	8
273	мы называем	1	8
274	слова с	1	8
275	именно в	8	8
276	что по	1	8
277	их в	2	8
278	в более	1	8
279	и слово	1	8
280	так например	12	8
281	была бы	10	8
282	что они	9	8
283	только не	2	8
284	мы в	1	8
285	слово как	1	8
286	от них	1	8
287	одно и	1	8
288	что есть	1	8
289	судя по	2	8
290	не так	2	8
291	с и	1	8
292	отношений между	3	8
293	с ними	1	8
294	в которых	5	8
295	между ними	1	8
296	внимание на	5	8
297	и тогда	2	8
298	при помощи	4	8
299	и той	1	8
300	в глазах	1	8
301	тот же	2	8
302	этом случае	3	8
303	на вопрос	7	8
304	на самом	8	8
305	слова не	1	8
306	или в	1	8
307	и более	4	8
308	такое же	2	8
309	на все	2	8
310	по его	5	8
311	самого себя	1	7
312	с этой	5	7
313	в разных	1	7
314	но что	2	7
315	на основании	2	7
316	связь с	1	7
317	все эти	7	7
318	в данном	16	7
319	не существует	4	7
320	было в	2	7
321	одно целое	1	7
322	даже и	2	7
323	этого последнего	1	7
324	не всегда	2	7
325	превращается в	2	7
326	самого начала	3	7
327	видно что	3	7
328	указания на	1	7
329	для понимания	2	7
330	что именно	2	7
331	к этому	4	7
332	на котором	1	7
333	что у	8	7
334	притом не	1	7
335	несмотря на	4	7
336	столько же	3	7
337	судить о	1	7
338	одном из	4	7
339	в эту	3	7
340	но как	1	7
341	в своих	2	7
342	она не	3	7
343	не были	2	7
344	и та	1	7
345	и тот	1	7
346	за пределы	2	7
347	этом смысле	2	7
348	могла бы	1	7
349	а как	5	7
350	допустим что	2	7
351	во втором	5	7
352	все в	2	7
353	самое слово	1	7
354	к одной	1	7
355	для себя	3	7
356	в другой	1	7
357	вряд ли	8	7
358	себя и	1	7
359	о котором	2	7
360	бы и	4	7
361	и теперь	2	7
362	только один	1	7
363	то все	1	7
364	и во	3	7
365	том же	3	7
366	с но	1	7
367	в таких	1	7
368	как она	1	7
369	не имеют	2	7
370	с самого	4	7
371	образом мы	1	7
372	не с	1	7
373	на это	2	7
374	место в	2	7
375	и к	5	6
376	сколько и	1	6
377	несомненно что	1	6
378	же и	4	6
379	в виду	6	6
380	каким образом	1	6
381	если и	1	6
382	давно уже	3	6
383	а именно	3	6
384	в своей	12	6
385	одно время	1	6
386	себе в	2	6
387	к ним	1	6
388	к которому	4	6
389	после того	5	6
390	ни было	1	6
391	в ее	6	6
392	у него	3	6
393	но он	5	6
394	прежде чем	1	6
395	что его	1	6
396	могло бы	3	6
397	хотя в	2	6
398	показывает что	1	6
399	в последнем	1	6
400	например что	1	6
401	должна быть	3	6
402	в сущности	2	6
403	никак не	1	6
404	из сказанного	1	6
405	имеет значение	1	6
406	заключается в	5	6
407	которые могут	1	6
408	к нам	1	6
409	да и	4	6
410	друг от	1	6
411	ничего общего	3	6
412	язык и	1	6
413	и уже	3	6
414	лишь в	3	6
415	не могло	4	6
416	приводит в	2	6
417	в этой	13	6
418	и до	2	6
419	как например	2	6
420	таким путем	2	6
421	мог бы	1	6
422	при котором	1	6
423	в образе	3	6
424	но если	5	6
425	то тем	1	6
426	художественного произведения	1	6
427	но на	2	6
428	что с	4	6
429	у нас	12	6
430	в их	3	6
431	в виде	3	6
432	что ни	2	6
433	от друга	1	6
434	на нее	3	6
435	при таком	2	6
436	на его	2	6
437	в каждой	1	6
438	об этом	9	6
439	его не	3	6
440	как он	3	6
441	поэзия и	1	6
442	в один	1	6
443	жизни и	6	6
444	ни был	1	6
445	в той	9	5
446	были бы	2	5
447	даже в	5	5
448	или нет	1	5
449	в отдельном	1	5
450	не столько	6	5
451	не обнаруживает	1	5
452	по мнению	4	5
453	времени и	4	5
454	само собою	2	5
455	и другим	1	5
456	уже и	1	5
457	когда в	1	5
458	входит в	1	5
459	но даже	1	5
460	но эти	2	5
461	значительной степени	3	5
462	конечно не	2	5
463	с другим	1	5
464	языка не	2	5
465	том чтобы	1	5
466	в нашем	1	5
467	и чувства	1	5
468	или лучше	2	5
469	что то	2	5
470	на которую	1	5
471	время и	1	5
472	на том	1	5
473	из того	2	5
474	только при	1	5
475	а с	6	5
476	отношения между	1	5
477	чем в	3	5
478	во внимание	2	5
479	одним из	2	5
480	которое в	1	5
481	одна из	1	5
482	о которых	3	5
483	полагает что	1	5
484	и у	2	5
485	время когда	1	5
486	можно было	14	5
487	но только	2	5
488	этот вопрос	6	5
489	к первому	2	5
490	если это	3	5
491	однако в	1	5
492	мысль в	1	5
493	лучше сказать	2	5
494	есть еще	1	5
495	что до	3	5
496	можно только	1	5
497	в процессе	3	5
498	если в	2	5
499	время как	2	5
500	то на	1	5
501	можно назвать	3	5
502	из которого	2	5
503	к другому	1	5
504	перед нами	1	5
505	вытекает из	2	5
506	оба эти	4	5
507	о языке	2	5
508	в течение	7	5
509	следует сказать	1	5
510	мысли об	1	5
511	отношении к	3	5
512	на этот	5	5
513	общего с	3	5
514	и здесь	2	5
515	ответ на	4	5
516	с каким	1	5
517	они не	2	5
518	это можно	3	5
519	при таких	1	5
520	мы имеем	2	5
521	а это	1	5
522	указание на	1	5
523	на которой	2	5
524	виду что	1	5
525	на память	1	5
526	в какой	4	5
527	не подлежит	2	5
528	от своего	2	5
529	и языка	6	5
530	но уже	1	5
531	и таким	1	5
532	в области	16	5
533	что эти	1	5
534	не говоря	2	5
535	том случае	1	5
536	а к	2	5
537	бы только	2	5
538	но при	1	5
539	нужно было	2	5
540	в начале	5	5
541	как не	1	5
542	не по	5	5
543	и б	1	5
544	отношение к	3	5
545	в представлении	2	5
546	как увидим	1	5
547	с общим	1	5
548	не к	2	5
549	еще более	5	4
550	в применении	3	4
551	свою мысль	1	4
552	в некоторых	3	4
553	предполагает в	1	4
554	из нее	3	4
555	его мнению	1	4
556	не имели	2	4
557	при создании	1	4
558	можно считать	2	4
559	значение то	1	4
560	в другом	5	4
561	был бы	1	4
562	имея в	1	4
563	чего не	1	4
564	не вполне	1	4
565	иначе и	2	4
566	по одной	1	4
567	не мог	3	4
568	бы то	2	4
569	все его	1	4
570	с известным	1	4
571	обратить внимание	4	4
572	проявляется в	1	4
573	внешнего мира	1	4
574	не знает	2	4
575	но совершенно	1	4
576	появления в	2	4
577	внешней формы	1	4
578	будет иметь	1	4
579	от этого	2	4
580	с его	3	4
581	не иначе	1	4
582	и быть	1	4
583	на этом	1	4
584	в наше	1	4
585	эти слова	1	4
586	еще только	1	4
587	не дает	2	4
588	на другой	1	4
589	ту же	1	4
590	то ни	2	4
591	не один	1	4
592	кажется что	5	4
593	бы они	1	4
594	что нельзя	1	4
595	не могла	2	4
596	иметь в	2	4
597	и другая	1	4
598	а тем	1	4
599	он в	1	4
600	не зная	2	4
601	на который	2	4
602	если оно	1	4
603	в поэзии	1	4
604	для кого	2	4
605	ничего не	6	4
606	из этого	1	4
607	чтобы не	1	4
608	относятся к	3	4
609	нашего времени	1	4
610	бы мы	2	4
611	ни в	5	4
612	и вполне	4	4
613	том и	1	4
614	не на	3	4
615	но без	1	4
616	так или	3	4
617	в наших	2	4
618	живой речи	1	4
619	отношения к	2	4
620	к которым	1	4
621	в выражении	1	4
622	и так	3	4
623	эта последняя	1	4
624	что бы	1	4
625	только одно	1	4
626	одним и	2	4
627	более чем	3	4
628	в значении	1	4
629	не потому	3	4
630	образа в	1	4
631	начиная с	2	4
632	языка но	1	4
633	что во	3	4
634	только о	1	4
635	он должен	2	4
636	смысле что	2	4
637	данном случае	7	4
638	по этому	5	4
639	этой мысли	2	4
640	и хотя	1	4
641	этом отношении	13	4
642	что так	3	4
643	в науке	1	4
644	в обширном	1	4
645	как нечто	1	4
646	но с	7	4
647	отказаться от	2	4
648	что к	1	4
649	что будет	1	4
650	но эта	1	4
651	дело в	9	4
652	было для	2	4
653	из двух	3	4
654	в ту	1	4
655	виде в	2	4
656	стремление к	3	4
657	к своему	3	4
658	по своему	2	4
659	в такой	2	4
660	мы находим	4	4
661	та что	1	4
662	бы совершенно	1	4
663	на них	2	4
664	есть произведение	1	4
665	что касается	4	4
666	к тем	1	4
667	стороны и	1	4
668	только то	1	4
669	во многом	3	4
670	произведения не	1	4
671	в голову	2	4
672	такой же	6	4
673	только после	1	4
674	с которыми	3	3
675	каждой из	1	3
676	говоря уже	2	3
677	этого в	1	3
678	к этой	1	3
679	до него	3	3
680	бы даже	1	3
681	дело с	2	3
682	кроме того	3	3
