N	3gram	Losev_Dial	Tragedij
1	то же время	3	5
2	в то же	3	5
3	в том что	12	2
4	и как бы	2	2
5	и в частности	2	2
6	но в то	1	2
7	точно так же	3	2
8	в данном случае	3	2
9	о том что	6	2
10	в отличие от	1	2
11	не в силах	2	2
12	сам по себе	6	1
13	не только о	3	1
14	в одном из	1	1
15	имеет в виду	1	1
16	за то что	1	1
17	и при этом	2	1
18	что я вижу	1	1
19	в конце концов	1	1
20	это может быть	1	1
21	это как бы	1	1
22	на них он	1	1
23	и что же?	1	1
24	как это часто	1	1
25	в применении к	1	1
26	мы отнюдь не	2	1
27	вообще не имеет	1	1
28	и вместе с	1	1
29	что в ней	1	1
30	не может быть	12	1
31	в этом мире	1	1
32	и т п	1	1
33	а я люблю	1	1
34	но при этом	1	1
35	я не хочу	1	1
36	таком виде что	1	1
37	что это значит?	2	1
38	во всем его	1	1
39	по сравнению с	1	1
40	а стало быть	1	1
41	в чем же	2	1
42	с самого начала	1	1
43	и то что	1	1
44	как и все	5	1
45	не только не	7	1
46	своей и чужой	1	1
47	что он вообще	1	1
48	не могут быть	3	1
49	в таком виде	1	1
50	и сорвался с	1	1
51	как и в	3	1
52	в связи с	3	1
53	может быть в	1	1
54	в самом деле	6	1
55	во всяком случае	3	1
56	это не просто	1	1
57	к тому что	2	1
58	тем не менее	10	1
59	это и есть	4	1
60	по природе своей	1	1
61	по вопросу об	1	1
62	у достоевского в	1	1
63	и не может	1	1
64	и в этом	4	1
65	вопрос об этом	1	1
66	ни за что	1	1
