N	3gram	Tiupa_Anal	RusskieA
1	в том что	13	49
2	состоит в том	6	29
3	тем не менее	3	14
4	в этом случае	4	12
5	вместе с тем	1	11
6	о том что	8	10
7	в том чтобы	7	9
8	для того чтобы	3	8
9	в данном случае	3	8
10	подобно тому как	5	8
11	о том же	1	7
12	как мы увидим	1	7
13	не может быть	17	6
14	а н веселовский	1	6
15	в связи с	2	5
16	к тому что	2	5
17	не что иное	5	4
18	в отличие от	8	4
19	не только на	1	4
20	только тогда когда	1	4
21	в этих случаях	1	4
22	что иное как	6	4
23	на себя внимание	3	4
24	можно было бы	1	4
25	во всяком случае	1	4
26	тех пор пока	1	3
27	по отношению к	9	3
28	более или менее	2	3
29	до сих пор	1	3
30	до некоторой степени	1	3
31	самом же деле	1	3
32	на самом же	1	3
33	в свою очередь	1	3
34	на то что	2	3
35	с точки зрения	6	3
36	обращает на себя	3	3
37	приводит нас к	1	3
38	здесь мы имеем	1	3
39	до тех пор	1	3
40	все же не	1	3
41	далеко не все	1	3
42	о том как	1	2
43	и т п	3	2
44	но и на	1	2
45	дело не в	2	2
46	и не подтверждается	1	2
47	в течение всего	1	2
48	в е годы	1	2
49	друг с другом	2	2
50	умирающего и воскресающего	1	2
51	но и как	1	2
52	с другой стороны	2	2
53	в этой связи	2	2
54	в тех случаях	1	2
55	равно как и	1	2
56	как и в	2	2
57	можно сказать что	1	2
58	в равной степени	2	2
59	не только в	3	2
60	во всех этих	1	2
61	и в этом	4	2
62	тех случаях когда	1	2
63	с одной стороны	6	2
64	в этом отношении	5	2
65	в том же	1	1
66	и как бы	1	1
67	этого слова в	1	1
68	как будто бы	1	1
69	никак не может	1	1
70	дело не только	1	1
71	и он же	1	1
72	существует независимо от	1	1
73	рассказывает об этом	1	1
74	в этом ряду	3	1
75	одни и те	2	1
76	в мировом фольклоре	1	1
77	далеко не всегда	2	1
78	более высокой ступени	1	1
79	как бы с	1	1
80	в таком случае	5	1
81	одного и того	2	1
82	по своему содержанию	1	1
83	сам по себе	1	1
84	что один из	1	1
85	а между тем	1	1
86	того что в	2	1
87	в такой же	1	1
88	в особенности же	1	1
89	между тем как	2	1
90	в то что	1	1
91	ничего нам не	1	1
92	по аналогии с	1	1
93	и таким образом	1	1
94	точки зрения в	1	1
95	ставит себе целью	1	1
96	к тому же	6	1
97	на этот вопрос	1	1
98	это означает что	2	1
99	и того же	2	1
100	себя и не	1	1
101	вся его жизнь	1	1
102	то же самое	3	1
103	значении этого слова	7	1
104	сама по себе	1	1
105	как это происходит	1	1
106	себя но и	1	1
107	или во всяком	1	1
108	в применении к	1	1
109	как будто не	1	1
110	в значительной степени	1	1
111	в частности изучение	1	1
112	а в случае	1	1
113	близки к ним	1	1
114	быть не может	3	1
115	в тексте и	1	1
116	виду что в	1	1
117	собой не что	1	1
118	во второй половине	1	1
119	есть рассказ о	1	1
120	не только для	1	1
121	на тех же	1	1
122	или по меньшей	1	1
123	в своего рода	1	1
124	и те же	2	1
125	в противном случае	1	1
126	а вместе с	1	1
127	но и в	3	1
128	обращают на себя	1	1
129	а затем уже	1	1
130	друг у друга	1	1
131	что с ними	1	1
132	как один из	1	1
133	состоит не в	1	1
134	сказать что в	1	1
135	выходят за рамки	1	1
136	только в том	1	1
137	быть понято как	1	1
138	из того что	3	1
139	не выходят за	1	1
140	как это ни	1	1
141	и та же	1	1
142	приводит к тому	1	1
143	смысле этого слова	1	1
144	всех этих случаях	1	1
145	по меньшей мере	1	1
146	самом деле как	1	1
147	очень близки к	1	1
148	еще не означает	1	1
149	в первую очередь	1	1
150	в собственном смысле	1	1
151	одна и та	1	1
152	на первый взгляд	1	1
153	одно из значений	1	1
154	в таких случаях	1	1
155	в основе своей	2	1
156	еще в е	1	1
