N	2gram	Bakhtin_Fr	RusskieA
1	и в	105	79
2	в том	17	64
3	том что	9	59
4	что в	4	57
5	не только	24	41
6	во время	14	38
7	так как	11	34
8	и другие	10	33
9	в этом	22	33
10	как бы	33	31
11	но и	20	31
12	новый год	2	30
13	в других	3	30
14	как и	15	28
15	и на	25	28
16	может быть	11	28
17	в этот	1	26
18	одна из	5	24
19	о том	5	23
20	при этом	10	22
21	там же	2	20
22	это не	4	20
23	а в	4	20
24	как мы	12	20
25	из них	7	19
26	все это	16	18
27	с тем	1	17
28	таким образом	5	17
29	то что	7	17
30	вместе с	1	17
31	об этом	2	17
32	потому что	6	17
33	во многих	2	16
34	мы не	1	16
35	или на	1	15
36	будто бы	1	15
37	один из	5	15
38	в них	13	14
39	и с	8	14
40	не менее	2	14
41	в другие	1	14
42	как это	1	14
43	мы видели	3	14
44	и не	34	14
45	для нас	5	14
46	у нас	1	14
47	в xix	2	14
48	в день	3	13
49	уже не	3	13
50	к этому	2	13
51	в некоторых	2	13
52	так что	1	13
53	и по	3	13
54	как в	6	13
55	в которых	1	13
56	еще не	8	13
57	не может	9	13
58	тем что	5	12
59	других местах	1	12
60	этом случае	1	12
61	мы имеем	1	12
62	в виде	1	12
63	а затем	4	11
64	но это	5	11
65	а на	1	11
66	далеко не	6	11
67	что на	1	11
68	все же	10	10
69	так например	3	10
70	том чтобы	1	10
71	его в	7	10
72	между тем	5	10
73	что и	2	10
74	в течение	3	10
75	нового года	2	10
76	так и	16	10
77	или в	2	10
78	по существу	2	10
79	и других	6	10
80	то же	6	9
81	о чем	3	9
82	на части	1	9
83	видно что	1	9
84	что они	2	9
85	к жизни	2	9
86	по улицам	1	9
87	с ней	2	9
88	и все	7	9
89	того как	1	9
90	земли и	5	9
91	на голову	1	9
92	но в	16	9
93	в честь	1	9
94	в г	3	9
95	но не	7	9
96	одно из	7	8
97	в этих	6	8
98	представление о	2	8
99	что по	2	8
100	так же	2	8
101	связи с	5	8
102	и обрядов	2	8
103	во всех	13	8
104	подобно тому	2	8
105	их в	3	8
106	того чтобы	3	8
107	как например	2	8
108	того что	3	8
109	ее в	2	8
110	как уже	1	8
111	тому как	2	8
112	для того	2	8
113	же в	4	8
114	в это	2	7
115	в руках	1	7
116	настоящее время	1	7
117	в своем	11	7
118	на них	3	7
119	к нему	5	7
120	а и	2	7
121	не в	4	7
122	в свете	3	7
123	мы рассмотрим	1	7
124	было бы	4	7
125	главным образом	6	7
126	только в	16	7
127	с этого	1	7
128	еще в	3	7
129	это время	2	7
130	связанные с	2	7
131	из этих	7	7
132	а не	1	7
133	начиная с	2	7
134	до конца	4	7
135	в настоящее	1	7
136	ничего не	3	7
137	иногда и	1	7
138	животных и	1	7
139	и как	2	7
140	мы должны	2	7
141	в эти	1	7
142	пишет в	1	7
143	для этого	1	7
144	в обряде	3	6
145	в году	13	6
146	с собой	1	6
147	этого праздника	3	6
148	к тому	3	6
149	что этот	1	6
150	не всегда	1	6
151	только на	3	6
152	но они	4	6
153	в одном	8	6
154	также на	1	6
155	в качестве	1	6
156	в разные	1	6
157	в таком	2	6
158	на земле	3	6
159	должно было	2	6
160	и у	7	6
161	на этом	2	6
162	год и	1	6
163	должны были	1	6
164	в фольклоре	1	6
165	в этой	11	6
166	в нем	16	6
167	видели что	1	6
168	должен был	2	6
169	с ними	2	6
170	приводит к	2	6
171	и более	4	6
172	эти дни	1	6
173	что здесь	1	6
174	друг друга	3	6
175	и пр	5	6
176	не будем	1	6
177	в их	6	6
178	все эти	15	6
179	игра в	2	6
180	так в	4	6
181	а иногда	2	6
182	связаны с	5	6
183	она не	2	6
184	но она	1	6
185	и их	3	6
186	и о	4	6
187	и к	7	5
188	в разных	2	5
189	например в	3	5
190	только для	1	5
191	к земле	1	5
192	в праздник	3	5
193	г в	1	5
194	с этим	1	5
195	входит в	4	5
196	с другой	3	5
197	обряды и	2	5
198	к ним	1	5
199	по поводу	2	5
200	не было	3	5
201	в связи	2	5
202	в целях	2	5
203	мы уже	18	5
204	на новый	2	5
205	в тех	5	5
206	можно было	4	5
207	и др	32	5
208	там где	3	5
209	в то	5	5
210	прежде всего	26	5
211	в особенности	7	5
212	с ним	6	5
213	для них	2	5
214	то на	1	5
215	к таким	1	5
216	что он	5	5
217	то и	1	5
218	к себе	3	5
219	этой игры	1	5
220	и для	3	5
221	тот же	4	5
222	в его	24	5
223	на самом	6	5
224	за этим	1	5
225	или даже	2	5
226	и потому	14	5
227	в народе	1	5
228	в целом	3	5
229	вплоть до	2	5
230	во всем	5	4
231	можно встретить	1	4
232	кроме того	2	4
233	не столько	1	4
234	этого момента	2	4
235	как они	1	4
236	в своих	8	4
237	но все	5	4
238	в народном	2	4
239	именно в	6	4
240	на руси	1	4
241	становятся в	1	4
242	всякого рода	1	4
243	во всяком	2	4
244	некоторые из	3	4
245	на этой	5	4
246	в котором	1	4
247	ставили в	1	4
248	но эти	1	4
249	в домах	1	4
250	в глаза	1	4
251	в отличие	4	4
252	чтобы они	1	4
253	под названием	3	4
254	во всей	4	4
255	от них	1	4
256	не просто	3	4
257	влияние на	8	4
258	несмотря на	5	4
259	но он	5	4
260	а за	1	4
261	которое в	2	4
262	не был	1	4
263	здесь мы	2	4
264	тем и	1	4
265	этот вопрос	2	4
266	ко времени	1	4
267	что для	3	4
268	могут быть	4	4
269	и от	3	4
270	означает что	1	4
271	многие другие	1	4
272	своего рода	2	4
273	и здесь	4	4
274	та же	2	4
275	за ним	2	4
276	они и	1	4
