N	4gram	Voloshinov	Analitik
1	в то же время	7	14
2	не что иное как	2	6
3	одного и того же	1	6
4	есть не что иное	2	5
5	и не может быть	1	4
6	одни и те же	2	3
7	одной и той же	4	3
8	в то же самое	2	2
9	мысль о том что	1	2
10	то же самое время	2	2
11	в тех случаях когда	2	2
12	нет и не может	1	2
13	одних и тех же	1	2
14	одно и то же	5	2
15	но в то же	2	2
16	одна и та же	1	1
17	и в этом случае	1	1
18	во всех своих частях	1	1
19	и есть не что	1	1
20	в той же мере	1	1
21	мы должны помнить что	1	1
22	сколько бы мы ни	1	1
23	тех случаях когда мы	1	1
24	ни к чему не	2	1
25	он в то же	1	1
26	в собственном смысле слова	1	1
27	иметь дело не с	1	1
28	одним и тем же	1	1
29	уже содержит в себе	1	1
30	между внутренней и внешней	2	1
31	в дальнейшем мы будем	1	1
