N	2gram	Voloshinov	FransuaR
1	и в	12	367
2	то есть	1	209
3	в этом	4	112
4	и т.п	1	108
5	и не	10	101
6	таким образом	12	100
7	и его	13	99
8	в его	2	98
9	прежде всего	8	92
10	не только	4	87
11	мы уже	1	85
12	но и	3	84
13	как бы	13	82
14	все эти	3	79
15	вовсе не	1	77
16	как и	5	76
17	в нем	6	75
18	но в	5	75
19	и на	4	72
20	и др	5	72
21	в том	6	71
22	как мы	1	71
23	то же	5	66
24	и все	2	66
25	в них	3	65
26	так и	4	65
27	и с	3	64
28	в то	2	63
29	во всех	1	62
30	все это	3	62
31	же время	1	55
32	что в	2	52
33	в своем	2	51
34	только в	6	48
35	так как	9	46
36	том что	5	45
37	то что	5	41
38	у него	1	40
39	жизни и	4	40
40	в самом	4	38
41	точки зрения	14	37
42	в ней	6	37
43	с его	2	36
44	о том	3	35
45	может быть	14	35
46	сказать что	7	34
47	в себе	3	34
48	рядом с	1	32
49	мы видели	1	32
50	он не	2	32
51	для него	3	32
52	до конца	2	31
53	в литературе	4	31
54	в своей	3	31
55	так же	3	30
56	и потому	2	30
57	никогда не	5	30
58	в одном	1	29
59	еще не	3	29
60	связи с	1	29
61	в этих	2	29
62	не может	16	29
63	в особенности	2	29
64	при этом	6	29
65	его в	4	29
66	не в	4	29
67	и к	4	28
68	в основе	1	28
69	и другие	2	27
70	сих пор	3	27
71	до сих	3	27
72	все же	4	27
73	и их	1	27
74	кроме того	2	26
75	в условиях	2	26
76	все они	2	26
77	на самом	4	25
78	в области	1	25
79	с помощью	6	25
80	но это	2	25
81	но не	2	24
82	например в	1	24
83	в ее	1	24
84	как в	5	24
85	того чтобы	1	24
86	в частности	1	24
87	в большинстве	1	24
88	отношение к	4	24
89	и здесь	2	23
90	с ним	3	23
91	и для	3	23
92	к нему	4	23
93	это не	2	23
94	не было	1	22
95	что и	2	22
96	там где	2	22
97	вместе с	2	22
98	и во	1	22
99	связь с	2	22
100	и о	1	22
101	именно в	1	21
102	в отношении	2	21
103	уже в	2	21
104	есть в	1	21
105	в качестве	1	21
106	в себя	2	21
107	что это	1	21
108	ни в	3	21
109	и наконец	3	21
110	в виду	5	20
111	и это	1	20
112	в значительной	1	20
113	этом отношении	1	20
114	с точки	2	20
115	самом деле	3	20
116	к этому	2	19
117	за пределы	4	19
118	было бы	1	19
119	с ее	1	19
120	с другой	4	19
121	на протяжении	1	19
122	хотя и	1	19
123	в форме	2	19
124	далеко не	1	19
125	это и	1	18
126	здесь не	3	18
127	на этом	1	18
128	перед нами	1	18
129	конечно не	3	17
130	в результате	1	17
131	можно было	1	17
132	человеческого тела	1	17
133	связанных с	1	17
134	такой же	2	17
135	еще более	1	17
136	но все	2	17
137	и вот	1	17
138	того что	3	17
139	а не	5	17
140	в другом	1	16
141	влияние на	2	16
