N	4gram	Tiupa_Disk	Marksizm
1	в то же время	7	15
2	одного и того же	4	9
3	одни и те же	1	5
4	и не может быть	1	5
5	в том что он	1	4
6	с одной стороны и	3	3
7	в том числе и	3	3
8	одно и то же	2	3
9	в той или иной	1	3
10	одним и тем же	1	3
11	именно в том что	1	2
12	по крайней мере двух	1	2
13	в том или ином	1	2
14	из одного и того	1	2
15	нет и не может	1	2
16	только по отношению к	1	2
17	в их отношении к	1	1
18	не только по отношению	1	1
19	к чужой речи и	1	1
20	с той или иной	2	1
21	прежде всего в том	1	1
22	именно здесь в области	1	1
23	дело в том что	3	1
24	в большей или меньшей	1	1
25	может быть сведена к	1	1
26	в тех случаях когда	1	1
27	не говоря уже о	2	1
28	ни к чему не	1	1
29	лишь в тех случаях	1	1
30	языка с точки зрения	1	1
31	всего в том что	1	1
32	к тому или иному	1	1
33	пролить свет и на	1	1
34	между внутренним и внешним	1	1
35	или во всяком случае	1	1
36	в данном случае мы	1	1
37	дистанцию по отношению к	1	1
38	свидетельствует о том что	1	1
39	не имеют никакого отношения	1	1
40	то же время они	1	1
