N	2gram	Trubetskoy	Tragedij
1	и в	14	18
2	в этом	17	9
3	не только	9	8
4	и на	5	7
5	и не	19	7
6	может быть	9	7
7	и с	7	7
8	как бы	4	7
9	он сам	3	7
10	что он	6	6
11	у него	2	6
12	же время	10	6
13	но в	2	6
14	это не	1	5
15	несмотря на	3	5
16	что это	3	5
17	так и	1	5
18	все же	4	5
19	то же	11	5
20	как и	4	5
21	не может	22	5
22	в то	10	5
23	что в	4	4
24	в себе	9	4
25	и даже	2	4
26	он всегда	1	4
27	все это	6	4
28	прежде всего	8	4
29	и все	1	4
30	об этом	1	4
31	еще не	3	4
32	но и	10	4
33	том что	9	4
34	и что	2	4
35	так же	2	4
36	то что	13	4
37	в этой	4	4
38	в нем	5	4
39	но это	2	4
40	что с	2	3
41	один из	1	3
42	должно быть	3	3
43	в его	4	3
44	для него	6	3
45	в своем	6	3
46	с ним	2	3
47	в конце	3	3
48	и как	3	3
49	в мире	4	3
50	то есть	1	3
51	при этом	5	3
52	как это	1	3
53	тем самым	2	3
54	с ее	1	3
55	но главное	1	3
56	мог бы	1	3
57	как будто	2	3
58	отнюдь не	7	3
59	все эти	2	3
60	к нему	2	3
61	в самом	3	2
62	не так	2	2
63	и то	4	2
64	данном случае	3	2
65	и за	1	2
66	в том	17	2
67	с тем	6	2
68	в ее	1	2
69	даже если	2	2
70	что и	3	2
71	ни в	2	2
72	но при	1	2
73	в русском	1	2
74	что все	3	2
75	не могут	4	2
76	в виде	3	2
77	его в	4	2
78	как же	1	2
79	не в	4	2
80	но этого	1	2
81	но все	1	2
82	в таком	2	2
83	ничем не	1	2
84	вопрос о	5	2
85	вряд ли	3	2
86	имеет в	1	2
87	и это	1	2
88	но особенно	1	2
89	уже не	2	2
90	к тому	7	2
91	о том	7	2
92	перед нами	1	2
93	не был	1	2
94	что эти	1	2
95	в данном	7	2
96	ее к	1	2
97	только к	3	2
98	он был	1	2
99	то и	1	2
100	потому что	5	2
101	личности и	1	2
102	так что	2	2
103	он не	5	2
104	в частности	2	2
105	точно так	2	2
106	что князь	1	2
107	не за	1	2
108	до конца	1	2
109	в глазах	2	2
110	столь же	1	2
111	одна из	3	2
112	тем что	3	2
113	не просто	2	2
114	никогда не	5	2
115	в известной	1	2
116	друг друга	3	2
117	любви и	1	2
118	понял что	1	1
119	во всем	4	1
120	то в	3	1
121	очень скоро	1	1
122	от него	2	1
123	этом случае	3	1
124	ведь уже	1	1
125	могут быть	1	1
126	только не	1	1
127	что оно	3	1
128	таким образом	11	1
129	смотреть на	4	1
130	прекрасным и	1	1
131	он непременно	1	1
132	к этой	4	1
133	если он	1	1
134	все боятся	1	1
135	и вот	2	1
136	должна быть	2	1
137	самое большее	1	1
138	к себе	2	1
139	он считает	1	1
140	с этой	1	1
141	и при	6	1
142	ко всему	1	1
143	и должно	2	1
144	психику в	1	1
145	в применении	1	1
146	любовь к	2	1
147	что эта	1	1
148	естественно что	2	1
149	на деле	1	1
150	что при	1	1
151	это она	1	1
152	того что	3	1
153	тем не	1	1
154	совершенно ином	1	1
155	не вызывает	1	1
156	единственное что	1	1
157	всегда быть	1	1
158	для нас	2	1
159	и всегда	1	1
160	одному из	2	1
161	в такое	1	1
162	чем для	1	1
163	в результате	2	1
164	смысле этого	1	1
165	превратиться в	1	1
166	быть может	1	1
167	и теперь	1	1
168	только в	5	1
169	не столько	1	1
170	особое значение	1	1
171	по себе	2	1
172	требовать от	1	1
173	нас от	1	1
174	в самой	1	1
175	а на	1	1
176	а там	1	1
177	создать такой	1	1
178	не было	3	1
179	ко всем	3	1
180	в борьбе	2	1
181	в духе	1	1
182	здесь мы	1	1
183	этого не	2	1
184	и ярко	1	1
185	или от	2	1
186	в россии	6	1
187	только сам	1	1
188	тот кто	1	1
189	заключается в	1	1
190	мысль о	1	1
191	на себя	2	1
192	что не	1	1
193	в эпоху	1	1
194	не есть	3	1
195	именно в	3	1
196	представление о	1	1
197	указывает на	2	1
198	вообще не	1	1
199	жизни перед	1	1
200	тому что	2	1
201	народ может	1	1
202	из тех	1	1
203	в связи	1	1
204	с ними	1	1
205	так часто	2	1
206	на земле	4	1
