N	3gram	Propp_Isto	Stilisti
1	в зависимости от	1	7
2	с точки зрения	1	5
3	в свою очередь	1	4
4	и той же	2	4
5	одной и той	2	4
6	с самого начала	1	4
7	то же самое	1	4
8	но и в	2	3
9	эти слова в	1	3
10	на самом деле	1	3
11	как мы видели	7	3
12	мы уже видели	3	3
13	не только в	3	3
14	в этом случае	8	3
15	но все же	5	3
16	мы видели что	6	2
17	должны были бы	1	2
18	есть не что	2	2
19	вместе с тем	1	2
20	мы видим что	6	2
21	не может быть	4	2
22	по отношению к	2	2
23	о том что	3	2
24	мы увидим что	2	2
25	можно сказать что	2	2
26	связи с этим	1	2
27	не что иное	6	2
28	смысле этого слова	3	2
29	равно как и	1	2
30	тех случаях когда	2	2
31	как мы увидим	2	2
32	в связи с	5	2
33	к тому что	1	2
34	что иное как	6	2
35	и не только	1	2
36	в тех случаях	2	2
37	с нашей точки	1	1
38	в том что	8	1
39	происходит потому что	1	1
40	и о связи	1	1
41	в одном из	2	1
42	таким образом мы	2	1
43	это не совсем	2	1
44	а в этом	1	1
45	друг друга и	1	1
46	мы должны были	1	1
47	остановимся только на	1	1
48	и легче всего	1	1
49	мы уже знаем	3	1
50	но вместе с	1	1
51	все это дает	1	1
52	мы видели есть	1	1
53	в большинстве случаев	2	1
54	это дает нам	1	1
55	в себе элементы	1	1
56	что в одном	1	1
57	мы увидим ниже	3	1
58	не совсем так	2	1
59	из которых он	1	1
60	это только одна	1	1
61	но они еще	1	1
62	в другом месте	1	1
63	только одна сторона	1	1
64	в жизни и	1	1
65	как и в	2	1
66	он не будет	1	1
67	был связан с	1	1
68	перед тем как	1	1
69	можно заметить что	1	1
70	тем не менее	6	1
71	все еще не	1	1
72	мы должны поставить	1	1
73	племени и в	1	1
74	всего мы должны	1	1
75	об этом мы	1	1
76	голода или жажды	1	1
77	по сравнению с	2	1
78	независимо от того	2	1
79	на этот вопрос	1	1
80	легче всего поддается	1	1
81	именно так и	1	1
82	и тем что	2	1
83	до сих пор	7	1
84	они находятся в	1	1
85	от социального положения	1	1
86	воздействия на природу	1	1
87	и здесь мы	2	1
88	иметь в виду	1	1
89	это еще не	2	1
90	прежде всего мы	1	1
91	содержит в себе	2	1
92	связь с тем	1	1
93	уже видели что	1	1
94	бросается в глаза	1	1
95	отражает действительность но	1	1
96	таким образом появление	1	1
97	как нечто что	1	1
98	мы имеем в	4	1
99	но если бы	1	1
100	нашей точки зрения	1	1
101	же как мы	1	1
102	мы должны будем	1	1
103	и как мы	1	1
104	не только на	1	1
105	не только не	2	1
106	той роли которую	1	1
107	в своей жизни	1	1
108	с появлением собственности	1	1
109	тем что он	1	1
110	мы увидим дальше	1	1
111	другими словами к	1	1
112	но уже не	1	1
113	достаточно чтобы убедиться	1	1
114	и в таких	1	1
115	с другой стороны	10	1
116	нет ничего удивительного	1	1
117	так как в	1	1
118	это происходит потому	1	1
119	можно было бы	2	1
120	и он уходит	1	1
121	мы не можем	1	1
122	и не может	1	1
