N	4gram	Bakhtin_Pr	EvropaiC
1	о котором идет речь	1	5
2	до сих пор не	1	5
3	заключается в том что	1	3
4	бы то ни было	2	3
5	что до сих пор	1	2
6	в то же время	13	2
7	в целом ряде других	2	1
8	деле это не так	1	1
9	именно в том что	1	1
10	и до сих пор	1	1
11	в то время как	2	1
12	и в другом случае	1	1
13	с точки зрения всякой	1	1
14	в том и в	1	1
15	и в том и	1	1
16	и так или иначе	1	1
17	в том и другом	1	1
18	том и в другом	1	1
19	в том что он	4	1
20	не в том что	1	1
21	каких бы то ни	1	1
22	но с другой стороны	2	1
23	дело в том что	1	1
24	и в целом ряде	2	1
25	и не может быть	1	1
26	таким образом как бы	1	1
27	а в том что	1	1
28	нами до сих пор	1	1
29	в теснейшей связи с	1	1
30	в том числе и	1	1
31	мы уже говорили что	1	1
32	о том что он	1	1
33	тем не менее в	1	1
34	а может быть и	1	1
