N	3gram	Trubetskoy	Otkroven
1	для того чтобы	6	3
2	ни у кого	1	2
3	никогда не было	1	2
4	русского человека в	1	2
5	не может быть	4	2
6	что же это	1	2
7	и в этом	1	2
8	в его жизни	1	1
9	о том что	2	1
10	в том что	7	1
11	и судьбу ее	1	1
12	друг с другом	14	1
13	в том случае	4	1
14	в нем все	1	1
15	и то что	3	1
16	ее в этом	1	1
17	в силе и	1	1
18	а с ним	1	1
19	ли может быть	1	1
20	и вопрос о	1	1
21	в совершенно ином	1	1
22	только вопрос о	1	1
23	может быть назван	1	1
24	и все же	1	1
25	в самом деле	1	1
26	том случае если	3	1
27	смысле этого слова	1	1
28	во всяком случае	6	1
29	он еще не	1	1
30	в другом месте	1	1
31	ко всему этому	1	1
32	и на нем	1	1
33	и прежде всего	1	1
34	в этом отношении	1	1
35	это потому что	2	1
36	на то что	4	1
37	самим собой в	1	1
38	от того что	1	1
39	заключает в себе	1	1
40	прежде всего в	1	1
41	отношение человека к	1	1
42	и в том	2	1
43	к победе над	1	1
44	даже и в	1	1
45	и не может	3	1
46	друг к другу	1	1
