N	2gram	Kanaev_Sov	SlovoVZh
1	не может	17	16
2	может быть	12	14
3	точки зрения	12	14
4	как бы	4	13
5	и его	1	13
6	таким образом	11	12
7	и в	7	12
8	отношению к	1	11
9	по отношению	1	11
10	в нашем	2	11
11	и не	6	10
12	так как	4	9
13	если бы	1	9
14	прежде всего	5	8
15	для нас	3	7
16	сказать что	1	7
17	все время	1	6
18	в ней	1	6
19	с помощью	4	6
20	в том	4	6
21	в процессе	1	6
22	только в	1	6
23	в нем	3	6
24	при этом	3	6
25	то же	3	5
26	а не	3	5
27	как и	6	5
28	отнюдь не	3	5
29	том что	1	5
30	и следовательно	1	5
31	но в	3	5
32	никогда не	1	5
33	в самом	2	4
34	и к	3	4
35	не только	4	4
36	ни было	1	4
37	на самом	1	4
38	его в	1	4
39	с другой	1	4
40	не в	3	4
41	дело в	1	4
42	уже не	2	4
43	жизни и	4	4
44	в этом	7	4
45	все же	3	4
46	зависимости от	4	4
47	к нему	1	4
48	бы то	1	3
49	до сих	1	3
50	это как	1	3
51	и более	1	3
52	и по	2	3
53	и пр	2	3
54	мы не	9	3
55	то ни	2	3
56	с ним	1	3
57	быть и	2	3
58	тем не	2	3
59	в некоторых	2	3
60	все это	3	3
61	он должен	2	3
62	ни в	1	3
63	конечно не	1	3
64	по себе	1	3
65	так же	1	3
66	самом деле	2	3
67	только на	1	3
68	но для	1	3
69	в себе	3	3
70	ясно что	3	3
71	все эти	5	3
72	о том	1	3
73	не менее	2	3
74	в такой	1	3
75	и для	1	3
76	точка зрения	1	3
77	и наконец	5	3
78	сих пор	1	3
79	и вообще	1	3
80	еще не	3	3
81	что в	2	2
82	этих двух	2	2
83	все они	1	2
84	но это	1	2
85	и потому	3	2
86	мы можем	6	2
87	в данном	1	2
88	в то	1	2
89	еще раз	1	2
90	данном случае	1	2
91	с одной	2	2
92	уже в	3	2
93	там где	1	2
94	в его	2	2
95	она не	1	2
96	это не	4	2
97	одной стороны	1	2
98	метод в	1	2
99	с точки	5	2
100	мы имеем	1	2
101	кроме того	1	2
102	но тем	1	2
103	те же	1	2
104	но все	2	2
105	мы в	1	2
106	если же	2	2
107	и та	1	2
108	и что	2	2
109	же самое	2	2
110	конечно в	2	2
111	но отнюдь	1	2
112	но что	1	2
