N	3gram	Berdyaev_O	Morfolog
1	не может быть	2	9
2	в том что	1	4
3	не могут быть	2	4
4	действующих лиц в	1	3
5	на то что	1	3
6	о том что	1	3
7	как и в	1	3
8	для того чтобы	3	3
9	в том случае	1	3
10	о том как	1	2
11	то что в	1	2
12	том случае если	1	2
13	хотя и не	1	2
14	в иных случаях	1	2
15	а вовсе не	1	2
16	во всяком случае	1	2
17	в этом отношении	1	2
18	друг к другу	1	2
19	и сразу же	1	1
20	и действительно в	1	1
21	потому что в	1	1
22	друг с другом	1	1
23	о его судьбе	1	1
24	бросается в глаза	1	1
25	вместо того чтобы	1	1
26	прежде всего и	1	1
27	это было бы	2	1
28	как бы в	1	1
29	дается в форме	1	1
30	может быть сопоставлен	1	1
31	после того как	1	1
