N	3gram	Trubetskoy	VelikijI
1	что и я	1	3
2	за то что	1	3
3	к тому что	1	3
4	то что мы	1	3
5	в том что	16	2
6	в вопросе о	2	2
7	а между тем	8	2
8	вместо того чтобы	1	2
9	том что он	2	2
10	в мире если	1	2
11	не будет уже	1	2
12	и в жизни	1	1
13	и в сознании	1	1
14	не имеет никакой	1	1
15	никогда не было	1	1
16	в конце концов	4	1
17	от него в	1	1
18	вместе с тем	3	1
19	мы видим что	1	1
20	по сравнению с	5	1
21	как и в	2	1
22	более всего дорожил	1	1
23	самого себя и	1	1
24	в одно целое	1	1
25	по крайней мере	1	1
26	во всем мире	1	1
27	но все же	2	1
28	с другой стороны	4	1
29	не так значительны	1	1
30	и все это	1	1
31	его к жизни	1	1
32	бы то ни	3	1
33	пути на котором	1	1
