N	2gram	Voloshinov	ViktorSh
1	в шкловского	2	5
2	в книге	2	3
3	в конце	1	2
4	и в	13	2
5	в том	2	2
6	том что	2	2
7	в другом	2	1
8	все время	1	1
9	но это	1	1
10	одно и	3	1
11	столь же	1	1
12	стилистики в	1	1
13	и сводится	1	1
14	в самом	2	1
15	как же	1	1
16	теории литературы	1	1
17	и т.д	5	1
18	что слово	1	1
19	для них	1	1
20	без знания	1	1
21	все то	1	1
22	другое дело	1	1
23	самом деле	3	1
24	другом месте	1	1
25	речи и	1	1
26	стр и	1	1
27	и то	3	1
28	так в	1	1
29	время в	1	1
30	и его	12	1
31	сводится к	1	1
32	на одном	1	1
33	хотя бы	5	1
34	по поводу	1	1
35	далеко не	1	1
36	тем более	1	1
37	в которых	1	1
38	к этому	1	1
39	о теории	1	1
40	только в	6	1
41	потому что	1	1
42	в значительной	1	1
43	в их	3	1
44	то же	4	1
45	что язык	1	1
46	и не	8	1
47	да и	3	1
48	в этом	2	1
49	так как	3	1
50	все это	4	1
