N	3gram	Bakhtin_Pr	Sotsiolo
1	по отношению к	17	2
2	в том что	10	2
3	в конце концов	7	2
4	не в том	1	2
5	это и есть	3	1
6	и в то	3	1
7	конечно не в	1	1
8	из тех кто	1	1
9	в то же	10	1
10	друг от друга	2	1
11	как бы он	1	1
12	выходит за пределы	2	1
13	то же самое	1	1
14	поставить и разрешить	1	1
15	то что в	1	1
16	по крайней мере	3	1
17	то же время	10	1
18	в этом не	1	1
19	в противном случае	1	1
20	только то что	2	1
21	бы он ни	2	1
22	что он говорит	1	1
23	сама по себе	3	1
24	не должна быть	1	1
25	но только в	1	1
26	это вовсе не	2	1
27	во всяком случае	3	1
28	а в том	1	1
29	и наконец в	1	1
30	том что это	1	1
31	и в этом	8	1
32	в том и	2	1
33	все это как	1	1
34	именно в том	2	1
35	в лучшем случае	3	1
36	что все это	1	1
37	не было бы	1	1
38	они ни были	1	1
