N	3gram	Nazirov_Tv	Poddanst
1	то же время	18	7
2	в то же	19	7
3	в отношении к	1	5
4	в том что	8	4
5	не только в	2	4
6	сами по себе	2	3
7	с одной стороны	1	3
8	и если бы	1	2
9	и как раз	1	2
10	заключается в том	1	2
11	заключает в себе	1	2
12	и в то	3	2
13	в том числе	1	2
14	и т д	10	1
15	прикасается к миру	1	1
16	именно потому что	1	1
17	он живет в	1	1
18	за то что	1	1
19	чуть ли не	1	1
20	вместе с тем	1	1
21	но в то	5	1
22	в противоречии с	1	1
23	в отрыве от	1	1
24	в применении к	1	1
25	том числе и	1	1
26	мы знаем что	1	1
27	не может быть	2	1
28	на наш взгляд	1	1
29	мы видим в	1	1
30	том что в	3	1
31	в отличие от	2	1
32	то что его	1	1
33	в xix веке	3	1
34	гоголя и достоевского	1	1
35	в творчестве достоевского	8	1
36	хотя бы и	1	1
37	к единению с	1	1
38	во всяком случае	2	1
39	видим в нем	1	1
40	гоголь и достоевский	1	1
41	с другой стороны	2	1
42	в известном смысле	2	1
43	все это в	1	1
44	и не может	2	1
45	в настоящее время	1	1
46	так же как	1	1
47	в частности в	1	1
48	и в этом	1	1
