N	2gram	Tiupa_Narr	DiskursI
1	в качестве	21	72
2	а не	12	60
3	может быть	25	56
4	не только	32	49
5	и в	19	49
6	как и	7	47
7	тогда как	12	47
8	при этом	9	46
9	и не	20	44
10	в том	18	44
11	представляет собой	13	41
12	то есть	19	41
13	том что	14	40
14	в этом	17	38
15	в себе	8	37
16	состоит в	13	37
17	в частности	14	36
18	но и	23	35
19	и т.п	8	32
20	своего рода	12	32
21	но не	6	31
22	отличие от	5	28
23	со стороны	9	28
24	но в	6	28
25	так и	9	28
26	в отличие	5	27
27	не может	10	27
28	по своей	3	26
29	как в	7	25
30	такого рода	7	24
31	коммуникативного события	12	24
32	литературных жанров	1	23
33	отнюдь не	5	23
34	еще не	7	23
35	в рамках	12	23
36	а также	7	20
37	все же	7	19
38	в нем	4	19
39	прежде всего	4	19
40	далеко не	5	18
41	в основе	5	18
42	то же	4	17
43	в данном	5	17
44	с другой	8	17
45	в мире	9	17
46	по отношению	7	17
47	отношению к	6	17
48	точки зрения	10	16
49	только в	4	16
50	о том	6	15
51	то что	11	15
52	роль в	2	15
53	в его	9	15
54	речевых жанров	4	15
55	не менее	3	14
56	можно сказать	5	14
57	одной стороны	7	14
58	с одной	7	14
59	не в	14	14
60	картины мира	5	14
61	не является	8	14
62	это не	2	14
63	или иной	5	14
64	речевого общения	1	13
65	как бы	4	13
66	для него	2	13
67	в целом	1	13
68	при всей	4	12
69	в своем	2	12
70	того же	1	12
71	и на	3	12
72	и все	2	12
73	данном случае	4	12
74	являет собой	2	12
75	по мысли	3	11
76	как правило	4	11
77	не было	2	11
78	не сводится	2	11
79	столь же	3	11
80	что в	3	11
81	с его	6	11
82	и как	5	11
83	в тексте	16	11
84	не столько	4	10
85	той или	4	10
86	а с	3	10
87	для себя	1	10
88	по сути	2	10
89	а в	11	10
90	же время	4	10
91	также и	1	10
92	высказывания в	6	10
93	и т.д	7	10
94	в них	1	9
95	уже не	5	9
96	пока еще	4	9
97	себя в	5	9
98	внимание на	1	9
99	коммуникативное событие	3	9
100	между тем	3	9
101	в силу	4	9
102	в то	3	9
103	героя в	8	9
104	речевой жанр	1	9
105	сводится к	3	9
106	картина мира	5	9
107	тем самым	6	9
108	этого жанра	1	8
109	и даже	3	8
110	в соответствии	1	8
111	к тому	7	8
112	в котором	1	8
113	в противоположность	2	8
114	из них	3	8
115	хотя и	3	8
116	в себя	6	8
117	он не	3	8
118	если в	3	8
119	не на	2	8
120	жизни в	3	8
121	совпадает с	1	8
122	потому что	1	8
123	соответствии с	1	8
124	этом отношении	3	8
125	человека в	2	8
126	как уже	1	8
127	не с	3	8
128	очевидным образом	2	8
