N	3gram	Losev_Vlad	KFilosof
1	не может быть	4	11
2	ни в чем	1	4
3	в чем не	1	4
4	и только в	1	3
5	но и здесь	1	3
6	в этом смысле	4	3
7	один и тот	2	3
8	в котором он	1	3
9	не было бы	1	3
10	во всех своих	1	3
11	и тот же	2	3
12	и в этом	1	3
13	то что я	1	2
14	в том что	13	2
15	и для него	1	2
16	ни в каком	1	2
17	к чему не	1	2
18	во всем его	1	2
19	тем не менее	8	2
20	и ни в	1	2
21	здесь мы имеем	1	2
22	в то же	7	2
23	уже не может	1	2
24	на первом плане	2	2
25	вовсе не есть	1	2
26	тот же с	1	2
27	то ни было	1	2
28	в целом и	1	2
29	ни к чему	1	2
30	и в нем	1	2
31	для нас важно	1	2
32	бы то ни	2	2
33	то же время	7	2
34	раз и навсегда	2	2
35	для него самого	1	1
36	в этот момент	1	1
37	в истории философии	2	1
38	в свою очередь	2	1
39	и тем не	1	1
40	и как бы	1	1
41	себя я не	1	1
42	вместе с тем	2	1
43	равно как и	1	1
44	во всяком случае	8	1
45	а не к	1	1
46	на то что	6	1
47	не содержит в	1	1
48	не в этом	1	1
49	конечно не в	1	1
50	мы будем говорить	2	1
51	дело не в	1	1
52	он не может	1	1
53	и не в	1	1
54	в том же	3	1
55	за собой и	1	1
56	а следовательно и	1	1
57	для того чтобы	3	1
58	с ним в	2	1
59	не в том	3	1
60	потому что в	2	1
61	в настоящее время	2	1
62	есть для меня	1	1
63	ввиду того что	2	1
64	к которой мы	1	1
65	можно сказать только	1	1
66	него и в	2	1
67	как это было	1	1
68	не потому что	1	1
69	не было ни	1	1
70	того что в	1	1
71	дело в том	7	1
72	смысле этого слова	1	1
73	но в то	2	1
74	и в котором	1	1
75	и в своем	1	1
76	это нисколько не	2	1
77	то что этот	1	1
78	само по себе	1	1
79	уже не только	2	1
80	и тем самым	1	1
81	и в то	3	1
82	но отнюдь не	1	1
83	в разные стороны	1	1
84	не было и	1	1
85	все во всех	1	1
86	к той же	1	1
87	к которой он	1	1
88	но во всяком	1	1
89	и то что	7	1
90	время и в	1	1
91	с ним и	1	1
92	не в одном	1	1
93	не может не	1	1
94	заключать в себе	1	1
95	и все же	2	1
96	во второй половине	3	1
97	прочим и в	1	1
98	к тому что	1	1
99	но все это	1	1
100	притом не только	1	1
101	и в его	2	1
102	между прочим и	2	1
103	место в этом	1	1
104	это и есть	1	1
105	его жизни в	1	1
106	но это не	2	1
107	что и в	2	1
108	до конца и	1	1
109	нет и не	1	1
110	мы имеем не	1	1
111	и в своих	1	1
112	может быть и	1	1
