N	4gram	Propp_Isto	Problemy
1	в то время как	2	3
2	с другой стороны и	3	3
3	и в большинстве случаев	1	2
4	но тем не менее	2	2
5	но все же не	1	2
6	и т д как	1	1
7	на самом же деле	1	1
8	в огромном большинстве случаев	1	1
9	мы видели что в	2	1
10	и не может быть	1	1
11	и в этих случаях	1	1
12	как мы сейчас увидим	1	1
13	мы должны были бы	1	1
14	заключается в том что	1	1
15	но в этом случае	1	1
16	мы увидим дальше что	1	1
17	независимо от того кто	1	1
18	не может быть разрешен	1	1
19	и так или иначе	1	1
20	но в таком случае	1	1
21	несмотря на то что	1	1
22	миру подобно тому как	1	1
23	мы остановимся только на	1	1
24	с точки зрения нашего	1	1
25	так же как и	3	1
26	подобно тому как в	1	1
27	до сих пор не	1	1
28	и т д но	1	1
29	что же это за	1	1
30	их друг с другом	1	1
