N	4gram	Bakhtin_Fr	VLabPisa
1	в то же время	14	5
2	и в то же	3	3
3	в том числе и	3	2
4	одном и том же	1	2
5	с одной стороны и	1	2
6	большей или меньшей степени	1	2
7	и не может быть	1	2
8	в большей или меньшей	1	2
9	о том как он	1	1
10	в значительной мере и	1	1
11	может быть и речи	1	1
12	одно и то же	1	1
13	в одном и том	1	1
14	но вместе с тем	1	1
15	в другом месте в	1	1
16	в искусстве и в	1	1
17	не только в искусстве	1	1
18	в той или иной	1	1
19	с другой стороны в	1	1
20	но в то же	6	1
21	не может быть и	1	1
22	так же как и	2	1
23	к тому же выводу	1	1
24	нет и не может	1	1
25	быть и речи о	1	1
26	то же время она	1	1
27	в этом отношении очень	1	1
28	до сих пор не	1	1
29	есть в конечном счете	1	1
