N	2gram	Medvedev_I	Tragedij
1	и в	1	18
2	и оскорбленных	1	17
3	униженных и	1	16
4	в этом	2	9
5	и не	2	7
6	и с	3	7
7	так и	1	5
8	что в	2	4
9	все это	1	4
10	я не	1	4
11	в целом	1	4
12	для него	1	3
13	и сам	1	3
14	эпизод с	1	3
15	все эти	1	3
16	о жизни	1	2
17	не так	1	2
18	это был	1	2
19	ненависть к	1	2
20	то и	1	2
21	и дети	1	2
22	он не	2	2
23	по поводу	1	2
24	из мертвого	1	2
25	мертвого дома	1	2
26	тем что	1	2
27	не случайно	1	2
28	никогда не	1	2
29	ничего не	2	2
30	от нее	1	1
31	теперь я	1	1
32	только что	1	1
33	знать и	1	1
34	что при	1	1
35	того что	1	1
36	из униженных	1	1
37	видит в	1	1
38	что роман	1	1
39	а также	1	1
40	когда его	1	1
41	с жизнью	1	1
42	это было	1	1
43	могло бы	1	1
44	бы в	1	1
45	в них	1	1
46	более чем	1	1
47	того чтобы	1	1
48	а по	1	1
49	творчества достоевского	2	1
50	стало быть	1	1
51	и еще	1	1
52	во многом	1	1
53	и о	1	1
54	и др	1	1
55	с литературными	1	1
56	из подполья	1	1
57	пушкина и	1	1
58	на котором	1	1
59	он с	1	1
60	вплоть до	1	1
