N	4gram	Bakhtin_Fr	PoTuStor
1	ни в чем не	1	3
2	мы уже знаем что	1	1
3	но мы уже знаем	1	1
4	нечего и говорить о	1	1
5	не что иное как	1	1
6	ни в коем случае	1	1
7	не подлежит конечно никакому	1	1
8	одна и та же	1	1
9	в основе их лежит	1	1
10	подлежит конечно никакому сомнению	1	1
11	только для того чтобы	2	1
12	в самых широких кругах	1	1
13	до сих пор еще	2	1
14	дело в том что	4	1
15	в коем случае нельзя	1	1
16	говорить о том что	1	1
17	так же как и	2	1
18	мы можем сказать что	1	1
19	совершенно так же как	2	1
20	одного и того же	1	1
21	в связи с этим	3	1
22	и связанные с ним	1	1
23	не нуждается в особом	1	1
24	это касается не только	1	1
