N	4gram	Voloshinov	Myslijsy
1	в то же время	6	13
2	но тем не менее	1	10
3	одной и той же	3	7
4	одно и то же	1	7
5	в то время когда	1	4
6	один и тот же	3	4
7	или по крайней мере	1	4
8	не что иное как	1	4
9	дело в том что	1	4
10	то что мы называем	2	4
11	в том что он	2	3
12	заключается в том что	2	3
13	и в таком случае	1	3
14	но во всяком случае	3	3
15	во всяком случае не	1	2
16	по отношению к тому	1	2
17	бы то ни было	2	2
18	и по отношению к	1	2
19	больше и лучше чем	1	1
20	этом как и при	1	1
21	в свою очередь стремится	1	1
22	как мы уже сказали	1	1
23	при этом как и	1	1
24	что бы то ни	1	1
25	нет и не может	2	1
26	мы увидим что этот	1	1
27	не могут быть объяснены	1	1
28	а может быть и	1	1
29	о том что это	1	1
30	и не нуждается в	1	1
31	до сих пор говоря	1	1
32	в голову по поводу	1	1
33	и не могут быть	1	1
34	во что бы то	1	1
35	друг с другом и	1	1
36	собственном смысле этого слова	1	1
37	в том что она	2	1
38	по отношению ко всем	1	1
39	не может обойтись без	1	1
40	до сих пор не	1	1
41	имеющие ничего общего с	1	1
42	и связанное с ним	1	1
43	мы старались показать что	1	1
44	сих пор говоря о	1	1
45	в собственном смысле этого	1	1
46	бы то ни стало	1	1
47	ответить на этот вопрос	1	1
48	и не может быть	3	1
49	не имеющие ничего общего	1	1
50	тем не менее он	1	1
51	и тот же предмет	1	1
52	чтобы ответить на этот	1	1
53	не будет никаких оснований	1	1
54	с точки зрения этого	1	1
55	нужно сказать и о	1	1
56	зависит от того насколько	1	1
57	то же время служит	1	1
58	это относится и к	1	1
59	и быть не может	1	1
60	есть не что иное	1	1
