N	2gram	Voloshinov	VLabPisa
1	таким образом	34	32
2	в этом	28	29
3	не только	10	26
4	и в	28	26
5	и т	1	25
6	может быть	28	23
7	во сне	3	21
8	и не	34	20
9	хотя бы	7	20
10	художественного творчества	1	19
11	не может	30	17
12	в процессе	5	17
13	т д	1	16
14	в его	25	15
15	в том	10	15
16	этом отношении	4	14
17	все это	12	13
18	прежде всего	26	13
19	в качестве	2	12
20	вот что	1	12
21	как это	5	12
22	что в	7	11
23	с другой	2	11
24	из них	7	11
25	то же	12	10
26	не могут	7	10
27	о том	3	10
28	но и	10	10
29	по этому	1	10
30	и др	9	10
31	для него	12	9
32	как видим	1	9
33	об этом	7	9
34	к этому	9	9
35	могут быть	9	8
36	только в	11	8
37	на основании	5	8
38	все эти	15	8
39	вместе с	5	8
40	том что	12	8
41	ни один	3	8
42	было бы	8	8
43	не следует	2	8
44	в своем	4	8
45	в основном	4	7
46	это не	5	7
47	говорит о	3	7
48	в конечном	3	7
49	не было	5	7
50	по отношению	13	7
51	тому что	5	7
52	как и	13	7
53	их в	3	7
54	во всех	13	7
55	а не	9	7
56	то что	17	7
57	главным образом	4	7
58	отношению к	11	7
59	же в	1	7
60	в нем	7	7
61	из этих	6	7
62	один из	10	6
63	художественное творчество	2	6
64	у него	4	6
65	все же	8	6
66	работе над	1	6
67	приводит к	3	6
68	идеи и	2	6
69	это и	4	6
70	бы и	2	6
71	в искусстве	3	6
72	не в	10	6
73	между тем	3	6
74	так и	14	6
75	в себе	7	6
76	в зависимости	4	6
77	том же	1	6
78	и его	22	6
79	в то	7	6
80	образы и	2	5
81	утверждать что	1	5
82	художественный образ	2	5
83	даже в	1	5
84	в результате	3	5
85	в их	2	5
86	в них	3	5
87	связи с	1	5
88	следует понимать	1	5
89	одним из	3	5
90	конечном счете	3	5
91	как говорит	1	5
92	зависимости от	4	5
93	к тому	6	5
94	перед нами	1	5
95	не является	7	5
96	на основе	3	5
97	и при	3	5
98	в одном	3	5
99	в пределах	6	5
100	же время	6	5
101	как бы	19	5
102	в целом	4	5
103	сказать что	11	5
104	и есть	3	5
105	никогда не	10	5
106	в самом	12	4
107	основных чертах	1	4
108	ее в	5	4
109	познания и	1	4
110	вот как	2	4
111	в ее	5	4
112	как раз	6	4
113	можно сказать	6	4
114	в этой	7	4
115	следующим образом	1	4
116	что все	7	4
117	что он	12	4
118	равно как	2	4
119	в виду	4	4
120	по существу	1	4
