N	3gram	Vinokur_Vv	Vladivir
1	в том что	15	29
2	о том что	13	22
3	тем не менее	9	18
4	что же касается	2	14
5	и то что	3	14
6	дело в том	3	13
7	во всяком случае	5	12
8	в связи с	2	12
9	более или менее	1	11
10	в конце концов	2	11
11	не может быть	10	10
12	в то же	6	10
13	вместе с тем	3	10
14	с точки зрения	4	10
15	в этом смысле	10	9
16	у него в	1	9
17	то же время	6	9
18	а также и	2	8
19	точно так же	2	7
20	в свое время	3	7
21	так или иначе	4	6
22	само по себе	4	6
23	в данном случае	4	6
24	том что в	1	6
25	в отличие от	4	6
26	также и то	1	6
27	с другой стороны	5	6
28	и в этом	4	6
29	как мы знаем	1	6
30	в настоящее время	1	6
31	как мы видели	3	6
32	том что он	1	6
33	бы то ни	1	5
34	и в том	4	5
35	и потому что	2	5
36	то что в	1	5
37	не говоря уже	2	5
38	в сравнении с	1	5
39	не только в	4	5
40	брокгауза и ефрона	1	4
41	себе отчет в	1	4
42	можно сказать что	3	4
43	говоря уже о	1	4
44	как мы уже	2	4
45	в том же	1	4
46	для того чтобы	22	4
47	в этом отношении	4	4
48	сам по себе	2	4
49	сказать что в	1	4
50	что в этом	2	4
51	к этому времени	2	4
52	и т д	39	4
53	в том чтобы	5	4
54	по крайней мере	4	4
55	заключается в том	3	4
56	не что иное	5	4
57	можно было бы	4	4
58	что иное как	5	4
59	с одной стороны	4	4
60	также и в	3	4
61	на эту тему	1	4
62	еще и потому	1	4
63	хотя бы и	2	3
64	в самом деле	6	3
65	в том числе	1	3
66	не в том	2	3
67	потому что в	1	3
68	а в том	1	3
69	по этому поводу	3	3
70	к тому что	1	3
71	только то что	1	3
72	во второй половине	2	3
73	или иначе но	2	3
74	в свою очередь	2	3
75	и в дальнейшем	1	3
76	только в том	2	3
77	хотя бы на	1	3
78	с самого начала	1	3
79	между прочим и	1	3
80	уже не только	2	3
81	что несмотря на	2	3
82	так же как	1	2
83	одной стороны и	3	2
84	второй половины xix	2	2
85	но вместе с	2	2
86	с этим в	1	2
87	и не в	1	2
88	по вопросу о	1	2
89	в подлинном смысле	1	2
90	в существенном смысле	2	2
91	в таком случае	1	2
92	словаря брокгауза и	1	2
93	и в конце	1	2
94	до сих пор	7	2
95	есть не что	3	2
96	энциклопедического словаря брокгауза	1	2
97	и прежде всего	1	2
98	мы уже знаем	2	2
99	то ни было	1	2
100	не может не	1	2
101	имел в виду	1	2
102	а не только	1	2
103	не то что	1	2
104	так как в	1	2
105	уже о том	1	2
106	то что у	1	2
107	и тем не	3	2
108	что это есть	1	2
109	а так как	2	2
110	уже после смерти	1	2
111	тех пор пока	1	2
112	и без того	1	2
113	отчет в том	1	2
114	и есть тот	1	2
115	связи с этим	1	2
116	как это было	1	2
117	до тех пор	1	2
118	но в общем	1	2
119	но в то	3	2
120	одно и то	2	2
121	и то же	2	2
122	в этом случае	6	2
123	что в нем	2	2
124	с тем что	3	2
125	то обстоятельство что	1	2
126	притом не только	1	2
127	после того как	2	2
128	может быть и	2	2
129	нечего и говорить	1	2
130	лишь в том	1	1
131	в этом учении	1	1
132	да и что	1	1
133	вместе с ростом	1	1
134	что можно назвать	1	1
135	бы и не	1	1
136	все то что	1	1
137	может быть назван	1	1
138	а не иначе	1	1
139	как будто бы	2	1
140	не иначе как	1	1
141	не будет ошибкой	1	1
142	это впрочем не	1	1
143	что она была	2	1
144	в том как	1	1
145	учиться и что	1	1
146	к выводу что	6	1
147	себе полный отчет	1	1
148	в высшей школе	1	1
149	не в этом	1	1
150	совсем другое дело	1	1
151	и в результате	1	1
152	со стороны своих	2	1
153	наряду с этим	1	1
154	дело не в	1	1
155	истории и в	1	1
156	тех времен когда	1	1
157	не значит что	1	1
158	не могут привести	1	1
159	потому что она	1	1
160	в строгом смысле	3	1
161	большой сложностью и	1	1
162	в своем понимании	1	1
163	что на этот	1	1
164	сообщение о том	1	1
165	том виде в	1	1
166	единого и цельного	1	1
167	если бы и	1	1
168	не только с	1	1
169	все равно не	1	1
170	его отношение к	1	1
171	при помощи которого	1	1
172	каждое из этих	1	1
173	уже потому что	1	1
174	в его время	1	1
175	как и везде	1	1
176	именно в этой	1	1
177	так а не	1	1
178	т д в	2	1
179	то что можно	1	1
180	и в более	1	1
181	о том насколько	1	1
182	не потому что	1	1
183	но что такое	1	1
184	приходит к выводу	1	1
185	нужно было бы	1	1
186	того что в	1	1
187	то более то	1	1
188	с этой стороны	1	1
189	при жизни а	1	1
