N	3gram	Ircho_Kome	Otkroven
1	у него в	1	5
2	для того чтобы	3	3
3	до самого конца	3	2
4	у него не	1	2
5	но и в	2	2
6	что у него	3	2
7	в самом начале	3	1
8	для своих целей	1	1
9	не приходит в	1	1
10	сам по себе	1	1
11	хотя и не	1	1
12	так и не	1	1
13	дело доходит до	1	1
14	о том что	6	1
15	в том что	13	1
16	ни с кем	1	1
17	в том случае	1	1
18	утра до вечера	1	1
19	в этот период	1	1
20	в этих словах	1	1
21	как и в	2	1
22	то что в	1	1
23	том случае если	1	1
24	как будто бы	1	1
25	смысле этого слова	1	1
26	во всяком случае	4	1
27	это было у	1	1
28	с утра до	1	1
29	и в самом	1	1
30	бросается в глаза	1	1
31	там и здесь	1	1
32	у нее не	1	1
33	само по себе	1	1
34	человеку и его	1	1
35	и прежде всего	1	1
36	в этом отношении	3	1
37	и все это	1	1
38	по сравнению с	1	1
39	может быть сопоставлен	1	1
40	в которую он	1	1
41	на то что	2	1
42	свои силы в	1	1
43	том что в	1	1
44	нее не было	1	1
45	и в том	1	1
46	после того как	3	1
47	никто не может	1	1
48	никто еще не	1	1
49	приходит в голову	1	1
50	так и против	1	1
51	что он был	1	1
