N	2gram	Losev_Vlad	VLabPisa
1	таким образом	6	32
2	в этом	30	29
3	не только	35	26
4	и в	56	26
5	и т	3	25
6	может быть	12	23
7	во сне	2	21
8	и не	33	20
9	хотя бы	5	20
10	не может	12	17
11	в письме	16	16
12	т д	3	16
13	в его	18	15
14	в том	26	15
15	этом отношении	2	14
16	в силу	1	14
17	все это	7	13
18	прежде всего	5	13
19	в качестве	7	12
20	вот что	7	12
21	письме к	14	12
22	в частности	4	12
23	как это	11	12
24	что в	24	11
25	с другой	3	11
26	из них	3	11
27	то же	10	10
28	не могут	2	10
29	о том	13	10
30	но и	26	10
31	по этому	3	10
32	и др	1	10
33	для него	16	9
34	об этом	13	9
35	он пишет	5	9
36	т п	1	9
37	к этому	11	9
38	другой стороны	3	8
39	только в	11	8
40	на основании	3	8
41	все эти	6	8
42	вместе с	9	8
43	том что	22	8
44	ни один	1	8
45	было бы	7	8
46	не следует	1	8
47	в своем	10	8
48	в основном	5	7
49	это не	3	7
50	говорит о	1	7
51	в году	54	7
52	не было	12	7
53	по отношению	1	7
54	тому что	1	7
55	как и	7	7
56	их в	3	7
57	действительности и	1	7
58	во всех	4	7
59	а не	5	7
60	этому поводу	2	7
61	то что	30	7
62	главным образом	5	7
63	же в	3	7
64	в нем	7	7
65	из этих	5	7
66	один из	4	6
67	произведения как	2	6
68	у него	28	6
69	более или	5	6
70	в порядке	2	6
71	все же	11	6
72	это и	2	6
73	бы и	1	6
74	он же	2	6
75	не в	12	6
76	так и	11	6
77	в себе	5	6
78	или менее	5	6
79	том же	4	6
80	и его	12	6
81	в то	15	6
82	даже в	4	5
83	в результате	6	5
84	в их	2	5
85	в них	5	5
86	связи с	7	5
87	одним из	3	5
88	к тому	5	5
89	перед нами	1	5
90	он говорит	2	5
91	вот почему	1	5
92	и при	2	5
93	в одном	2	5
94	же время	7	5
95	как бы	5	5
96	в целом	3	5
97	сказать что	14	5
98	и есть	2	5
99	никогда не	15	5
100	в самом	3	4
101	ее в	1	4
102	только что	2	4
103	познания и	1	4
104	как раз	7	4
105	можно сказать	10	4
106	что для	5	4
107	в этой	4	4
108	вполне естественно	1	4
109	что все	2	4
110	что он	22	4
111	равно как	1	4
112	по существу	4	4
113	приведенных выше	1	4
114	с тем	4	4
115	с ними	2	4
116	в своей	7	4
117	роль в	1	4
118	с его	15	4
119	для его	2	4
120	в связи	9	4
121	в философии	2	4
122	когда он	6	4
123	их и	1	4
124	них не	2	4
125	из его	6	4
126	одна из	1	4
127	можно утверждать	1	4
128	по поводу	15	4
129	отнюдь не	3	4
130	пишет в	2	4
131	во время	4	4
132	в статье	2	4
133	у л	1	3
134	и к	10	3
135	что они	4	3
136	видели что	1	3
137	и он	7	3
138	что у	4	3
139	этой области	2	3
140	мы знаем	5	3
141	мы имеем	2	3
142	а толстой	6	3
143	а вот	3	3
144	того что	6	3
145	никак не	6	3
146	но как	6	3
147	видеть в	1	3
148	него в	4	3
149	со своим	5	3
150	что и	6	3
151	у нас	11	3
152	сводится к	1	3
153	его в	3	3
154	если бы	2	3
155	или в	1	3
156	говорит в	2	3
157	это мы	5	3
158	именно в	4	3
159	января года	6	3
160	в конце	22	3
161	например в	1	3
162	видно из	2	3
163	между ними	2	3
164	и как	7	3
165	же и	1	3
166	в которых	1	3
167	явлений и	1	3
168	не столь	2	3
169	к н	10	3
170	том как	1	3
171	мира и	1	3
172	что пишет	3	3
173	вовсе не	8	3
174	бы в	1	3
175	с этим	3	3
176	и мир	1	3
177	а в	20	3
178	попал в	1	3
179	говорил что	2	3
180	что не	3	3
181	как о	1	3
