N	4gram	Potebnia_M	VLabPisa
1	в то же время	8	5
2	с одной стороны и	1	2
3	и не может быть	1	2
4	в большей или меньшей	1	2
5	не в том что	4	2
6	только в том что	3	1
7	именно в том что	1	1
8	в том смысле что	2	1
9	в противном случае он	1	1
10	и т д само	1	1
11	в том случае если	1	1
12	что без них не	1	1
13	без них не было	1	1
14	одно и то же	7	1
15	но вместе с тем	1	1
16	от того что мы	1	1
17	т д само собою	1	1
18	только в том случае	1	1
19	а в том что	1	1
20	то же время нет	1	1
21	них не было бы	1	1
22	в то время как	3	1
23	в том что оно	2	1
24	нет и не может	1	1
25	не говоря уже о	1	1
