N	3gram	Bakhtin_Pr	VLabPisa
1	и т д	1	16
2	в этом отношении	2	14
3	и т п	13	9
4	не может быть	11	8
5	с другой стороны	4	8
6	по отношению к	19	7
7	в том что	3	5
8	в конечном счете	4	5
9	в процессе работы	1	5
10	хотя бы и	1	5
11	в художественном творчестве	9	5
12	в то же	3	5
13	то же время	3	5
14	в художественном произведении	4	4
15	равно как и	1	4
16	можно сказать что	2	4
17	не было бы	1	4
18	не могут быть	2	4
19	в связи с	1	4
20	к тому что	1	4
21	и др в	2	3
22	о том как	1	3
23	для того чтобы	2	3
24	подобно тому как	1	3
25	и в то	2	3
26	хотя бы в	1	3
27	в основных чертах	1	3
28	та или иная	1	3
29	это и есть	1	3
30	в своем творчестве	1	3
31	одной стороны и	1	2
32	война и мир	1	2
33	и в другом	1	2
34	во всех его	4	2
35	бы не было	1	2
36	не в том	1	2
37	таким образом в	1	2
38	в противном случае	3	2
39	до сих пор	1	2
40	иметь в виду	1	2
41	что все эти	1	2
42	и художественного творчества	2	2
43	не только в	2	2
44	можно определить как	1	2
45	с одной стороны	3	2
46	также и в	1	2
47	можно было бы	3	2
48	и не может	2	2
49	является таким образом	1	1
50	следует однако отметить	1	1
51	ни одна творческая	1	1
52	художественного произведения не	1	1
53	художественного творчества и	3	1
54	в свою очередь	1	1
55	в одном и	1	1
56	в том же	2	1
57	отнюдь не в	1	1
58	того или иного	2	1
59	отнюдь не может	1	1
60	все то что	3	1
61	если так то	1	1
62	художественного творчества оно	1	1
63	быть независимыми от	1	1
64	той или иной	2	1
65	художественное творчество и	3	1
66	не обходится без	1	1
67	в художественное произведение	1	1
68	в применении к	3	1
69	том смысле что	1	1
70	в какой мере	2	1
71	в художественную форму	1	1
72	на то что	1	1
73	и может быть	1	1
74	но и в	2	1
75	однако отметить что	1	1
76	художественного творчества на	1	1
77	в том смысле	1	1
78	словесного художественного творчества	2	1
79	в этом смысле	3	1
80	по сравнению с	1	1
81	не имели бы	1	1
82	ни в какой	1	1
83	же время она	1	1
84	то время как	1	1
85	всего человека а	1	1
86	содержания и формы	1	1
87	художественном творчестве и	2	1
88	говоря уже о	1	1
89	то что в	1	1
90	в самом деле	3	1
91	необходимо подчеркнуть что	1	1
92	и во всех	2	1
93	что все они	1	1
94	в таких же	1	1
95	только в пределах	1	1
96	далеко не всегда	3	1
97	в то время	1	1
98	а между тем	1	1
99	на этот вопрос	1	1
100	не говоря уже	1	1
101	со всех сторон	2	1
102	хотя и не	1	1
103	сами по себе	1	1
104	прежде всего следует	1	1
105	не чем иным	1	1
106	и в их	1	1
107	но в то	1	1
108	то или иное	2	1
109	всего следует отметить	1	1
110	на основе этого	1	1
111	только в искусстве	2	1
112	и не должна	2	1
113	по аналогии с	1	1
114	если бы все	1	1
115	в его своеобразии	3	1
116	в данном случае	4	1
117	часто приводит к	1	1
118	именно в том	1	1
119	может обойтись без	1	1
120	а в том	1	1
121	в романе война	1	1
122	лица и т	1	1
123	чем иным как	1	1
124	может быть признана	1	1
125	не может обойтись	1	1
126	и др и	1	1
127	бы и в	1	1
128	они отнюдь не	1	1
129	то же самое	2	1
130	вот несколько примеров	1	1
131	и не занимает	1	1
132	никогда не может	2	1
133	следует отметить что	1	1
134	можно ли на	1	1
135	лицом к лицу	1	1
136	произведения и его	1	1
137	от всех других	1	1
138	с ними в	1	1
139	вопрос о том	1	1
140	романе война и	1	1
141	таким образом и	1	1
142	оно может быть	1	1
143	в виду что	1	1
144	имеем дело с	1	1
145	мы имеем дело	2	1
146	может быть и	1	1
