N	2gram	Tiupa_Narr	IolandNe
1	и с	3	3
2	что в	6	2
3	он не	8	2
4	должен быть	1	2
5	ничего не	8	2
6	и не	34	2
7	в этом	23	2
8	все эти	3	1
9	для того	4	1
10	хотя его	1	1
11	а в	19	1
12	и о	4	1
13	жил в	1	1
14	за границей	3	1
15	как отец	1	1
16	утверждает что	2	1
17	это было	3	1
18	и со	1	1
19	и та	1	1
20	что для	1	1
21	для него	8	1
22	не остается	1	1
23	вплоть до	5	1
24	с героем	1	1
25	при такой	3	1
26	тех же	1	1
27	тем что	1	1
28	все тех	1	1
29	не случайно	2	1
30	только что	4	1
31	бы его	1	1
32	не слишком	1	1
33	когда его	1	1
34	того же	2	1
35	нам в	1	1
36	теперь я	1	1
37	о жизни	2	1
38	жизни и	7	1
39	с другой	6	1
40	в целом	5	1
41	более чем	2	1
42	было не	1	1
43	очевидно что	1	1
44	другой стороны	2	1
45	я не	5	1
46	себя в	4	1
47	произведения и	1	1
48	могло бы	3	1
49	то и	3	1
50	после смерти	2	1
51	и еще	2	1
52	что при	1	1
53	если бы	9	1
54	отношению к	5	1
55	следующим образом	1	1
56	и сам	4	1
57	того что	7	1
58	них не	1	1
59	а с	2	1
60	для других	3	1
61	стало быть	4	1
62	по поводу	3	1
63	и тот	1	1
64	автор и	1	1
65	а также	11	1
66	так и	12	1
67	личности для	1	1
68	автора и	2	1
69	в основе	1	1
70	все четыре	1	1
71	в значительной	1	1
72	о ней	5	1
73	того чтобы	7	1
74	и без	1	1
75	а для	4	1
76	другое дело	1	1
77	бы в	2	1
78	и ничего	1	1
79	а по	2	1
80	есть только	1	1
81	и в	22	1
82	его личности	1	1
83	видит в	3	1
84	это был	1	1
85	никогда не	8	1
86	еще одной	1	1
87	своего исследования	1	1
88	все это	1	1
89	по отношению	5	1
90	со всеми	3	1
91	на котором	1	1
92	нисколько не	1	1
93	как о	2	1
94	то она	1	1
95	во многом	1	1
