N	3gram	Medvedev_B	Problema
1	по крайней мере	1	26
2	во всяком случае	1	25
3	с другой стороны	1	25
4	как будто бы	1	14
5	можно было бы	1	13
6	все же не	1	4
7	и во всяком	1	4
8	говорить не о	1	2
9	у нас еще	1	2
10	выходит за пределы	1	2
11	можно было говорить	1	2
12	не было и	1	2
13	данном художественном произведении	1	1
14	в ней только	1	1
15	в своей книге	1	1
16	так по крайней	1	1
17	нас еще не	1	1
18	чтобы можно было	1	1
19	прежде всего в	1	1
20	основное значение слова	1	1
21	что все это	1	1
22	в данном художественном	1	1
23	и не вполне	1	1
24	по нашему мнению	1	1
