N	2gram	Kanaev_Sov	Hudozhes
1	в мире	1	24
2	и в	7	23
3	не только	4	20
4	в том	4	20
5	при этом	3	19
6	может быть	12	19
7	и не	6	16
8	а не	3	13
9	но не	1	13
10	а в	4	13
11	в себе	3	13
12	в этом	7	12
13	то же	3	12
14	такого рода	2	12
15	и его	1	12
16	как бы	4	11
17	точки зрения	12	11
18	в его	2	11
19	по отношению	1	10
20	но в	3	10
21	отношению к	1	10
22	или иной	2	9
23	том что	1	9
24	с другой	1	9
25	не в	3	9
26	не может	17	9
27	в области	3	8
28	в то	1	8
29	что в	2	7
30	в самом	2	7
31	только в	1	7
32	и т.п	1	7
33	же время	1	7
34	в отличие	2	7
35	отличие от	2	7
36	приводит к	2	6
37	уже не	2	6
38	с ее	1	6
39	с его	1	6
40	мы имеем	1	6
41	в нем	3	6
42	ни в	1	5
43	конечном счете	1	5
44	не менее	2	5
45	не является	1	5
46	прежде всего	5	5
47	а на	2	5
48	в конечном	1	5
49	между ними	1	5
50	той или	1	5
51	могут быть	2	5
52	во втором	1	4
53	еще не	3	4
54	в данном	1	4
55	в другом	1	4
56	говорить о	2	4
57	и т.д	3	4
58	сказать что	1	4
59	жизни как	1	4
60	к которому	1	4
61	в своем	1	4
62	это не	4	4
63	его в	1	4
64	не знает	1	4
65	так в	1	4
66	он не	1	4
67	и что	2	4
68	хотя и	1	4
69	и к	3	3
70	и составляет	1	3
71	если бы	1	3
72	как и	6	3
73	их в	4	3
74	тем не	2	3
75	к нему	1	3
76	одной стороны	1	3
77	в одном	3	3
78	во всей	1	3
79	из этих	2	3
80	и для	1	3
81	в системе	3	3
82	он должен	2	3
83	таким образом	11	3
84	по преимуществу	1	3
85	с одной	2	3
86	с точки	5	3
87	связи с	1	3
88	в таком	2	3
89	в связи	1	3
90	во всех	1	3
91	в свою	2	3
92	в которой	2	3
93	не будет	1	3
94	к области	1	3
95	этом смысле	1	3
96	того же	1	3
97	тот или	2	3
98	и прежде	1	3
99	не случайно	1	3
100	в целом	4	3
101	один из	1	2
102	о жизни	2	2
103	с ним	1	2
104	из которых	2	2
105	а затем	1	2
106	по себе	1	2
107	самом деле	2	2
108	все эти	5	2
109	именно в	1	2
110	и соответственно	1	2
111	дома и	1	2
112	роль в	2	2
113	жизни в	1	2
114	отличается от	3	2
115	вследствие этого	1	2
116	в известном	1	2
117	которая не	1	2
118	к другому	1	2
119	о том	1	2
120	свою очередь	2	2
121	это и	1	2
122	при условии	1	2
123	вытекает из	1	2
124	между собой	3	2
125	между двумя	1	2
126	и это	1	2
127	времени и	2	2
